regime_id,feed,kill,sample_index,initial_condition_seed,component_count,background_component_count,minority_component_count,phase_component_max,euler_characteristic,absolute_euler_characteristic,interface_length,area_fraction,minkowski_area,minkowski_perimeter,minkowski_euler,anisotropy,heldout_spectrum_1,heldout_spectrum_2,phi_mean,phi_second_moment,phi_shell_1,phi_shell_2
grid_F0280_k0620,0.028,0.062,10,31010,6.0,1.0,6.0,6.0,6.0,6.0,0.17578125,0.2587890625,0.2587890625,0.17578125,6.0,0.057942448721412014,0.00012393737731618233,1.9424257861648195e-06,0.0979396179318428,0.02152249962091446,0.01401305291801691,0.008501632139086723
grid_F0280_k0620,0.028,0.062,11,31011,6.0,1.0,6.0,6.0,6.0,6.0,0.171875,0.2568359375,0.2568359375,0.171875,6.0,0.08125728185779398,0.00012099257961111907,1.875408561201988e-06,0.09843091666698456,0.021621333435177803,0.01405914593487978,0.008514657616615295
grid_F0280_k0620,0.028,0.062,12,31012,6.0,1.0,6.0,6.0,6.0,6.0,0.177734375,0.255859375,0.255859375,0.177734375,6.0,0.05268747093438177,0.0001234966562412852,1.8936388179209381e-06,0.09805373847484589,0.021580025553703308,0.01404909323900938,0.008530349470674992
grid_F0280_k0620,0.028,0.062,13,31013,6.0,1.0,6.0,6.0,6.0,6.0,0.177734375,0.2548828125,0.2548828125,0.177734375,6.0,0.03988508040451525,9.688534021764242e-05,2.243741004689603e-06,0.09762486070394516,0.021486103534698486,0.0139703918248415,0.00849939975887537
grid_F0280_k0620,0.028,0.062,14,31014,6.0,1.0,6.0,6.0,6.0,6.0,0.177734375,0.259765625,0.259765625,0.177734375,6.0,0.07126245593049237,9.064486654142962e-05,2.6128552702662645e-06,0.09830205142498016,0.021585512906312943,0.013991043902933598,0.00849362462759018
grid_F0280_k0620,0.028,0.062,15,31015,6.0,1.0,6.0,6.0,6.0,6.0,0.169921875,0.240234375,0.240234375,0.169921875,6.0,0.0015987371880877403,8.034849131950339e-05,2.1355167128199925e-06,0.09334185719490051,0.02035040408372879,0.013176298700273037,0.007896121591329575
grid_F0280_k0620,0.028,0.062,16,31016,6.0,1.0,6.0,6.0,6.0,6.0,0.173828125,0.2587890625,0.2587890625,0.173828125,6.0,0.05143497732235491,0.00012413702735959454,1.9903923318490047e-06,0.09804940223693848,0.021604258567094803,0.014071165584027767,0.00853960681706667
grid_F0280_k0620,0.028,0.062,17,31017,7.0,1.0,7.0,7.0,7.0,7.0,0.1875,0.259765625,0.259765625,0.1875,7.0,0.010652726159308913,8.079189424393139e-05,2.9246811165603155e-06,0.10312086343765259,0.02256499044597149,0.013751690275967121,0.009294583462178707
grid_F0280_k0620,0.028,0.062,18,31018,6.0,1.0,6.0,6.0,6.0,6.0,0.185546875,0.26953125,0.26953125,0.185546875,6.0,0.09824260458935072,9.070873129140536e-05,2.8819353097998223e-06,0.10349074006080627,0.022542092949151993,0.013934815302491188,0.008945493027567863
grid_F0280_k0620,0.028,0.062,19,31019,6.0,1.0,6.0,6.0,6.0,6.0,0.173828125,0.2578125,0.2578125,0.173828125,6.0,0.0535302886869965,0.00013590039619462406,1.870758513763749e-06,0.0980810672044754,0.021579723805189133,0.014055519364774227,0.008534402586519718
grid_F0280_k0620,0.028,0.062,20,31020,6.0,1.0,6.0,6.0,6.0,6.0,0.169921875,0.2509765625,0.2509765625,0.169921875,6.0,0.03710171757031068,0.00011556178296923166,1.8139731100290877e-06,0.09761640429496765,0.021502293646335602,0.014008467085659504,0.008520473726093769
grid_F0280_k0620,0.028,0.062,21,31021,6.0,1.0,6.0,6.0,6.0,6.0,0.173828125,0.2529296875,0.2529296875,0.173828125,6.0,0.010546782095517342,0.00010035444416308067,1.907848582220267e-06,0.09695927053689957,0.021398644894361496,0.013942232355475426,0.008489204570651054
grid_F0280_k0620,0.028,0.062,22,31022,7.0,1.0,7.0,7.0,7.0,7.0,0.19140625,0.2607421875,0.2607421875,0.19140625,7.0,0.03343398217042146,7.00162180139817e-05,3.2793231194889136e-06,0.10247654467821121,0.022206638008356094,0.013530583120882511,0.009130358695983887
grid_F0280_k0620,0.028,0.062,23,31023,6.0,1.0,6.0,6.0,6.0,6.0,0.189453125,0.263671875,0.263671875,0.189453125,6.0,0.11482367003069888,7.527869983648907e-05,3.834766357999039e-06,0.10192403197288513,0.02206118032336235,0.013643171638250351,0.008649338036775589
grid_F0280_k0620,0.028,0.062,24,31024,7.0,1.0,7.0,7.0,7.0,7.0,0.19140625,0.2685546875,0.2685546875,0.19140625,7.0,0.0266889557153793,8.563140077491668e-05,2.3872280554992666e-06,0.10382521152496338,0.02280324324965477,0.013905306346714497,0.009416457265615463
grid_F0280_k0620,0.028,0.062,25,31025,6.0,1.0,6.0,6.0,6.0,6.0,0.17578125,0.2626953125,0.2626953125,0.17578125,6.0,0.06370066648446344,0.0001261642351328469,1.914211932401723e-06,0.09836259484291077,0.021621249616146088,0.014061800204217434,0.008522546850144863
grid_F0280_k0620,0.028,0.062,26,31026,6.0,1.0,6.0,6.0,6.0,6.0,0.173828125,0.259765625,0.259765625,0.173828125,6.0,0.07193105778499151,0.00010077671593669246,2.0738045980295376e-06,0.09838691353797913,0.021637484431266785,0.014065486378967762,0.008521857671439648
grid_F0280_k0620,0.028,0.062,27,31027,6.0,1.0,6.0,6.0,6.0,6.0,0.171875,0.2568359375,0.2568359375,0.171875,6.0,0.03235510512290513,0.0001073075799678013,1.5951763184949843e-06,0.09745356440544128,0.02140413038432598,0.01393388956785202,0.008467156440019608
grid_F0280_k0620,0.028,0.062,28,31028,6.0,1.0,6.0,6.0,6.0,6.0,0.17578125,0.2548828125,0.2548828125,0.17578125,6.0,0.047164328112369126,0.00010330901497184356,1.8534358724663196e-06,0.09787486493587494,0.021531105041503906,0.014003580436110497,0.008508719503879547
