candidate_key,geometry,geometry_deg,provenance,population_valid,finite_valid,population_loss,finite_risk,projective_separation_deg,allowance_percent,L_max,R_max,feasible,is_previous_incumbent,is_historical_full,is_stage_winner,proxy_evaluated,prescreen_evaluated,prescreen_A_full_h,prescreen_passes,prescreen_source,selection_evaluated,selection_A_full_h,selection_passes,selection_source,validation_evaluated,validation_A_full_h,validation_passes,validation_source,proxy_A_full_h,proxy_passes,proxy_source
"[1.273437191318765,2.444662196079211]","[1.273437191318765,2.444662196079211]","[72.96257653755879,140.0688261705221]","[""normal_multistart_4""]",True,True,0.08219763091637369,0.07760630834612284,67.10624963296331,5.0,0.0692360118546043,0.06949502355704645,False,False,False,False,False,False,,,,False,,,,False,,,,,,
"[2.1810485329415426,2.7938565793806336]","[2.1810485329415426,2.7938565793806336]","[124.96487585075029,160.07619056336716]","[""normal_multistart_5""]",True,True,0.08344258146931782,0.07919613454461051,35.111314712616874,5.0,0.0692360118546043,0.06949502355704645,False,False,False,False,False,False,,,,False,,,,False,,,,,,
"[1.9101654352309412,3.2263606337528867]","[1.9101654352309412,3.2263606337528867]","[109.44441761050294,184.85684750119395]","[""normal_multistart_6""]",True,True,0.08580858958090885,0.08598610999781357,75.41242989069102,5.0,0.0692360118546043,0.06949502355704645,False,False,False,False,False,False,,,,False,,,,False,,,,,,
"[0.9602498034084563,2.902481076645211]","[0.9602498034084563,2.902481076645211]","[55.01826101357156,166.2999158083578]","[""normal_multistart_7""]",True,True,0.08078164084206371,0.07866368952940603,68.71834520521375,5.0,0.0692360118546043,0.06949502355704645,False,False,False,False,False,False,,,,False,,,,False,,,,,,
"[4.039496061755349,4.554196857026328]","[4.039496061755349,4.554196857026328]","[231.44607569829884,260.936258979353]","[""normal_multistart_8""]",True,True,0.0745800789270553,0.07059112810438564,29.490183281054158,5.0,0.0692360118546043,0.06949502355704645,False,False,False,False,False,False,,,,False,,,,False,,,,,,
"[0.13397425233046445,5.796359392485462]","[0.13397425233046445,5.796359392485462]","[7.676159221956347,332.1069297304308]","[""normal_multistart_9""]",True,True,0.07963865306447998,0.07814673352116489,35.56922949152556,5.0,0.0692360118546043,0.06949502355704645,False,False,False,False,False,False,,,,False,,,,False,,,,,,
"[1.8683152607840914,2.57455463774643]","[1.8683152607840914,2.57455463774643]","[107.0465792428122,147.51111486870298]","[""normal_multistart_10""]",True,True,0.08161390542861433,0.0773889128988022,40.464535625890775,5.0,0.0692360118546043,0.06949502355704645,False,False,False,False,False,False,,,,False,,,,False,,,,,,
"[4.496326854599068,5.867958328334777]","[4.496326854599068,5.867958328334777]","[257.6205520798591,336.2092465722245]","[""normal_multistart_11""]",True,True,0.07578279096015551,0.07270857187056752,78.58869449236539,5.0,0.0692360118546043,0.06949502355704645,False,False,False,False,False,False,,,,False,,,,False,,,,,,
"[0.4481228613396657,1.2663795281336725]","[0.4481228613396657,1.2663795281336725]","[25.67554865808905,72.55820222382813]","[""initial_ring_center_0_r4_0"",""initial_ring_center_4_r4_0""]",True,True,0.0690433248901401,0.06627702344251499,46.88265356573908,5.0,0.0692360118546043,0.06949502355704645,True,False,False,False,True,False,,,,False,,,,False,,,,29.55085836166321,True,new_corrected_nested_sweep_evaluation
"[0.42767505723942995,1.3157448941132102]","[0.42767505723942995,1.3157448941132102]","[24.50397578283524,75.38662934857433]","[""initial_ring_center_0_r4_1"",""initial_ring_center_4_r4_1""]",True,True,0.06966400878416967,0.06683351793906414,50.88265356573909,5.0,0.0692360118546043,0.06949502355704645,False,False,False,False,False,False,,,,False,,,,False,,,,,,
"[0.37830969125989256,1.3361926982134458]","[0.37830969125989256,1.3361926982134458]","[21.67554865808905,76.55820222382813]","[""initial_ring_center_0_r4_2"",""initial_ring_center_4_r4_2""]",True,True,0.07032888515052663,0.06755525936034208,54.88265356573908,5.0,0.0692360118546043,0.06949502355704645,False,False,False,False,False,False,,,,False,,,,False,,,,,,
"[0.3289443252803551,1.3157448941132102]","[0.3289443252803551,1.3157448941132102]","[18.847121533342857,75.38662934857433]","[""initial_ring_center_0_r4_3"",""initial_ring_center_4_r4_3""]",True,True,0.07047019462117822,0.06792011187898553,56.539507815231474,5.0,0.0692360118546043,0.06949502355704645,False,False,False,False,False,False,,,,False,,,,False,,,,,,
"[0.30849652118011933,1.2663795281336725]","[0.30849652118011933,1.2663795281336725]","[17.67554865808905,72.55820222382813]","[""initial_ring_center_0_r4_4"",""initial_ring_center_4_r4_4""]",True,True,0.06995339821972665,0.06764014810914226,54.88265356573908,5.0,0.0692360118546043,0.06949502355704645,False,False,False,False,False,False,,,,False,,,,False,,,,,,
"[0.3289443252803551,1.2170141621541353]","[0.3289443252803551,1.2170141621541353]","[18.847121533342857,69.72977509908195]","[""initial_ring_center_0_r4_5"",""initial_ring_center_4_r4_5""]",True,True,0.06919076120276939,0.06689541397023377,50.88265356573909,5.0,0.0692360118546043,0.06949502355704645,True,False,False,False,True,True,22.606385154539225,True,new_corrected_nested_sweep_evaluation,False,,,,False,,,,12.815611681512772,True,new_corrected_nested_sweep_evaluation
"[0.37830969125989256,1.1965663580538994]","[0.37830969125989256,1.1965663580538994]","[21.67554865808905,68.55820222382813]","[""initial_ring_center_0_r4_6"",""initial_ring_center_4_r4_6""]",True,True,0.06879027952893137,0.0663326133392794,46.88265356573908,5.0,0.0692360118546043,0.06949502355704645,True,False,False,False,True,False,,,,False,,,,False,,,,17.729364668422754,True,new_corrected_nested_sweep_evaluation
"[0.4276750572394299,1.2170141621541353]","[0.4276750572394299,1.2170141621541353]","[24.503975782835237,69.72977509908195]","[""initial_ring_center_0_r4_7"",""initial_ring_center_4_r4_7""]",True,True,0.06878022170390087,0.06614388972989457,45.22579931624671,5.0,0.0692360118546043,0.06949502355704645,True,False,False,False,True,False,,,,False,,,,False,,,,24.616075240822113,True,new_corrected_nested_sweep_evaluation
"[0.41321627629977914,1.2663795281336725]","[0.41321627629977914,1.2663795281336725]","[23.67554865808905,72.55820222382813]","[""initial_ring_center_0_r2_0"",""initial_ring_center_4_r2_0""]",True,True,0.06908668424998102,0.06641979212462919,48.88265356573908,5.0,0.0692360118546043,0.06949502355704645,True,False,False,False,True,False,,,,False,,,,False,,,,23.885890273015548,True,new_corrected_nested_sweep_evaluation
"[0.4029923742496612,1.291062211123441]","[0.4029923742496612,1.291062211123441]","[23.089762220462145,73.97241578620122]","[""initial_ring_center_0_r2_1"",""initial_ring_center_4_r2_1""]",True,True,0.0694031547163677,0.06670839776369306,50.882653565739076,5.0,0.0692360118546043,0.06949502355704645,False,False,False,False,False,False,,,,False,,,,False,,,,,,
"[0.37830969125989256,1.3012861131735591]","[0.37830969125989256,1.3012861131735591]","[21.67554865808905,74.55820222382813]","[""initial_ring_center_0_r2_2"",""initial_ring_center_4_r2_2""]",True,True,0.06969715408749581,0.06704470921784772,52.88265356573908,5.0,0.0692360118546043,0.06949502355704645,False,False,False,False,False,False,,,,False,,,,False,,,,,,
