design_index,design_id,rank,risk,bootstrap_standard_error,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_rank_median,bootstrap_rank_ci_lower,bootstrap_rank_ci_upper,projection_valid,law_risk_valid,multiplier_dynamics_valid,tangent_action_valid,full_action_valid,maximum_projection_residual,mean_projection_kl,minimum_log10_intrinsic_ess,worst_covariance_condition
372,design_000372,462,0.0410271172489284,0.020147718230568715,0.017559762840588022,0.09494201296242134,460.0,256.37500000000006,488.0,True,True,False,False,False,0.02182873772001647,,,
373,design_000373,429,0.03521142931602128,0.015545807603988776,0.019277580161095414,0.07918396581845463,429.0,358.90000000000003,441.525,True,True,False,False,False,0.01196211686126329,,,
374,design_000374,470,0.04366735622997434,0.021102049832179302,0.018202080755342503,0.10002050340251083,470.0,306.425,495.0,True,True,False,False,False,0.021872640280754755,,,
375,design_000375,425,0.03481464016046288,0.01572010184047754,0.018659401216366757,0.07939603747476798,426.0,343.475,436.0,True,True,False,False,False,0.013055798666335666,,,
376,design_000376,427,0.035037823458800965,0.018855967577465403,0.014161529476589321,0.08662600309248088,427.0,180.32500000000007,467.525,True,True,False,False,False,0.034629620066588186,,,
377,design_000377,472,0.0449398119343394,0.016724965326870383,0.026272032747448215,0.09059027794403397,473.0,451.0,489.0,True,True,False,False,False,0.0045038233335632505,,,
378,design_000378,218,0.01813519328802935,0.010929855585484188,0.011507601780194646,0.05359456453689383,217.5,127.47500000000001,264.525,True,True,False,False,False,0.01364853014957615,,,
379,design_000379,375,0.027391747964125118,0.01537638138357676,0.012890430962538996,0.07193310025289175,369.0,141.47500000000002,387.0,True,True,False,False,False,0.0301020047018466,,,
380,design_000380,484,0.046522256987969836,0.017167361777638623,0.027461399060505234,0.09285715475333091,485.0,469.0,491.0,True,True,False,False,False,0.006739566546476182,,,
381,design_000381,493,0.048197765976662414,0.01676108193807098,0.02962322647705649,0.09359632926743024,492.0,473.475,498.0,True,True,False,False,False,0.0043955595093932015,,,
382,design_000382,508,0.058295353017395746,0.01965202615601812,0.03488826255138203,0.10997887311939351,507.0,503.0,509.0,True,True,False,False,False,0.0022882464225739024,,,
383,design_000383,388,0.02941902968179497,0.013148122411199458,0.01757951437242151,0.0688563915605468,385.0,307.8500000000001,418.525,True,True,False,False,False,0.00858356549285387,,,
384,design_000384,455,0.03970448867776682,0.016141885498047927,0.0227089388692965,0.08407921746508037,452.0,419.37500000000006,466.0,True,True,False,False,False,0.008984963201715126,,,
385,design_000385,272,0.02073021951484683,0.014489661333638125,0.008501123621203905,0.06345056829483889,269.5,18.95000000000002,340.525,True,True,False,False,False,0.03108800840522457,,,
386,design_000386,468,0.042832437261218485,0.018903422444667795,0.021410295211046208,0.09417041905444362,468.0,374.12500000000017,485.0,True,True,False,False,False,0.01726062674477947,,,
387,design_000387,351,0.025811663407326168,0.01556519228546184,0.01131296881617418,0.07120350324806962,347.0,99.0,390.525,True,True,False,False,False,0.030016708663951355,,,
388,design_000388,419,0.033458286353924276,0.01803302834700594,0.014429512016119833,0.08351645003224034,416.0,172.90000000000003,457.0,True,True,False,False,False,0.04563454359428269,,,
389,design_000389,502,0.054733883687353484,0.018334090889210782,0.033445161392081736,0.1034721003597114,502.0,495.475,506.0,True,True,False,False,False,0.003437641289001407,,,
390,design_000390,453,0.03940539402173723,0.01612370550775318,0.022303948451909073,0.08361164608817795,450.0,410.475,465.0,True,True,False,False,False,0.008704074511362693,,,
391,design_000391,319,0.023693124895640766,0.013545686275376735,0.01207424301746138,0.06487780629815444,319.0,133.47500000000002,346.0,True,True,False,False,False,0.027578690156215,,,
392,design_000392,428,0.035201227286107854,0.015892281600472746,0.018688307411032307,0.07992327523481418,429.0,343.37500000000006,439.525,True,True,False,False,False,0.012271584877600949,,,
393,design_000393,374,0.027106216131865965,0.014467507237377384,0.013634434026286042,0.06971365214535702,362.5,188.90000000000003,384.525,True,True,False,False,False,0.02235628500355837,,,
394,design_000394,378,0.027916672954944908,0.015669786889281376,0.012970573738119622,0.07306188201143575,375.0,142.47500000000002,398.0,True,True,False,False,False,0.030896334152437737,,,
395,design_000395,417,0.03335988211885612,0.015930474617646878,0.01703192999063104,0.07889888983163428,416.0,287.2750000000001,428.0,True,True,False,False,False,0.019773619317887892,,,
396,design_000396,449,0.038882703462402704,0.01998354474205026,0.015951699251167448,0.0923989469577478,448.0,225.85000000000005,486.525,True,True,False,False,False,0.036418838785996256,,,
397,design_000397,331,0.024456780241708432,0.01605161935062404,0.008764101796415208,0.07059496608086768,325.0,27.425000000000033,390.0,True,True,False,False,False,0.046510310264555904,,,
398,design_000398,386,0.029175033135645675,0.017365891585996805,0.01115564785148882,0.07780781478825474,386.0,88.0,431.525,True,True,False,False,False,0.04109268892324963,,,
399,design_000399,381,0.028339496840217776,0.015421739046991106,0.01369136145919246,0.0724456527041,378.0,170.90000000000003,406.04999999999995,True,True,False,False,False,0.02845937269321333,,,
400,design_000400,483,0.046455142968688454,0.021185371430203367,0.021107144199916383,0.10244684735935239,483.0,368.37500000000006,500.0,True,True,False,False,False,0.02595917860129291,,,
401,design_000401,509,0.058446407250197153,0.019492504695017055,0.035280356549813846,0.10973630594297262,508.0,504.0,510.0,True,True,False,False,False,0.0017011067668413634,,,
402,design_000402,490,0.04731421637196566,0.01668955422911845,0.02887566768972488,0.09272645275276016,489.0,464.475,496.0,True,True,False,False,False,0.003818096490332008,,,
403,design_000403,469,0.04335702935254625,0.018667853751362234,0.021289260077791992,0.09232285251689726,469.0,387.475,491.525,True,True,False,False,False,0.01809877816850986,,,
404,design_000404,454,0.03949874639141943,0.015889981779861534,0.022861045784902813,0.08322062207947056,451.0,420.475,467.0,True,True,False,False,False,0.009964310524708225,,,
405,design_000405,364,0.026465466364577483,0.015289849740750207,0.012239483964466448,0.07075611562632818,358.0,117.42500000000003,381.0,True,True,False,False,False,0.028524069232288774,,,
406,design_000406,477,0.045595426433555394,0.02172832343943784,0.018726948853931776,0.10344872521623057,477.0,320.07500000000016,499.525,True,True,False,False,False,0.026898018418380795,,,
407,design_000407,481,0.04611873877110552,0.017273671475899005,0.02675228997154685,0.09272139984973217,482.0,465.0,488.0,True,True,False,False,False,0.007494835717034111,,,
408,design_000408,402,0.03132979384377573,0.017512080151607167,0.013237075619998935,0.08051159107594416,399.0,133.47500000000002,447.525,True,True,False,False,False,0.03493054489176205,,,
409,design_000409,346,0.025288401168837973,0.01560201733267264,0.011147181721223335,0.07112805005679276,339.0,76.47500000000001,396.0,True,True,False,False,False,0.032857489758897074,,,
410,design_000410,497,0.051150723252203184,0.017655484016122318,0.03112571273392241,0.09857953256206378,497.0,487.0,502.0,True,True,False,False,False,0.00405407670143672,,,
411,design_000411,410,0.03206455510950052,0.014058658187950783,0.018430984025431477,0.07234399360651293,403.0,331.0,435.0,True,True,False,False,False,0.016743954368447275,,,
412,design_000412,362,0.026427822575273773,0.01599263972429249,0.011250262077677925,0.07206896079363123,356.0,76.70000000000013,409.0,True,True,False,False,False,0.03061841088776952,,,
413,design_000413,373,0.027079553596194458,0.01180763025385653,0.017506796634580355,0.06468620250253042,362.0,315.0,403.525,True,True,False,False,False,0.008342515037606902,,,
414,design_000414,503,0.054839726797992594,0.02357623006229657,0.024000544525067835,0.11561164458892786,502.0,439.95000000000005,509.0,True,True,False,False,False,0.020496492459880528,,,
415,design_000415,372,0.027061966674417667,0.016406106637166695,0.0114354068058981,0.07451988428480873,365.0,82.70000000000013,418.525,True,True,False,False,False,0.044751170916111756,,,
416,design_000416,338,0.024815397139491668,0.01603880060576433,0.009251208915867334,0.07180920906037919,330.0,37.47500000000001,400.57499999999993,True,True,False,False,False,0.03993031454311455,,,
417,design_000417,457,0.0404019698365654,0.01600027344044883,0.023578485354715115,0.0844935856383638,457.0,431.475,470.0,True,True,False,False,False,0.00948279557871773,,,
418,design_000418,341,0.025070238702498044,0.015326968123547712,0.011094034918174917,0.0701589081438739,336.0,84.47500000000001,381.525,True,True,False,False,False,0.030353155693501947,,,
419,design_000419,506,0.05744378484386277,0.019133758191159218,0.03488584548655979,0.10787367829348689,506.0,500.475,509.0,True,True,False,False,False,0.0032193752640173492,,,
420,design_000420,139,0.014695745328959172,0.008221679405635842,0.01073700878971004,0.04261544302066749,149.5,53.47500000000001,351.0,True,True,False,False,False,0.033203300077523513,,,
421,design_000421,314,0.023559611290838185,0.013137956499217052,0.013345666753651658,0.06403402758847282,312.0,157.47500000000002,358.0,True,True,False,False,False,0.025847549294558222,,,
422,design_000422,279,0.021191629482924884,0.008773899152739644,0.016809698761877743,0.050151949042689985,279.5,168.0,445.525,True,True,False,False,False,0.007279437878243562,,,
423,design_000423,312,0.023443325622234418,0.012247072609647032,0.014085979519017345,0.06151226082993702,310.0,182.85000000000005,398.0,True,True,False,False,False,0.02501643264353963,,,
424,design_000424,275,0.021049693258821753,0.013581265694718828,0.009693251278640498,0.06148408919533686,273.0,52.47500000000001,332.0,True,True,False,False,False,0.04858166567961405,,,
