candidate_key,geometry,geometry_deg,provenance,population_valid,finite_valid,population_loss,finite_risk,projective_separation_deg,feasible,proxy_evaluated,proxy_A_full_h,proxy_passes,proxy_trial_count,proxy_grid_n,prescreen_evaluated,selection_evaluated,validation_evaluated,is_saved_full,is_existing_pool_winner,is_rerun_winner,prescreen_A_full_h,prescreen_passes,prescreen_trial_count,prescreen_grid_n,selection_A_full_h,selection_passes,selection_trial_count,selection_grid_n,validation_A_full_h,validation_passes,validation_trial_count,validation_grid_n
"[0.34564968204419366,1.1769077405731918]","[0.34564968204419366,1.1769077405731918]","[19.80426797117113,67.43184641112148]","[""initial_ring_center_1_r2_5""]",True,True,0.06890184338553397,0.06657463554868125,47.627578439950355,False,False,,,,,False,False,False,False,False,False,,,,,,,,,,,,
"[0.37033236503396244,1.1666838385230738]","[0.37033236503396244,1.1666838385230738]","[21.218481533544228,66.84605997349458]","[""initial_ring_center_1_r2_6""]",True,True,0.06879155303741705,0.0663772138786129,45.62757843995035,True,True,16.24398451108579,True,2,51,False,False,False,False,False,False,,,,,,,,,,,,
"[0.39501504802373105,1.1769077405731918]","[0.39501504802373105,1.1769077405731918]","[22.63269509591732,67.43184641112148]","[""initial_ring_center_1_r2_7""]",True,True,0.06874318133612213,0.06624048852323855,44.79915131520416,True,True,19.16230839760419,True,2,51,False,False,False,False,False,False,,,,,,,,,,,,
"[0.38778565755390565,1.2015904235629604]","[0.38778565755390565,1.2015904235629604]","[22.218481533544225,68.84605997349458]","[""initial_ring_center_1_r1_0""]",True,True,0.06877621411086245,0.06628210208351813,46.627578439950355,True,True,18.947409070881868,True,2,51,False,False,False,False,False,False,,,,,,,,,,,,
"[0.3826737065288467,1.213931765057845]","[0.3826737065288467,1.213931765057845]","[21.92558831473077,69.55316675468113]","[""initial_ring_center_1_r1_1""]",True,True,0.06882874861375184,0.0663402205800946,47.627578439950355,True,True,18.592825973719922,True,2,51,False,False,False,False,False,False,,,,,,,,,,,,
"[0.37033236503396244,1.2190437160829037]","[0.37033236503396244,1.2190437160829037]","[21.218481533544228,69.84605997349458]","[""initial_ring_center_1_r1_2""]",True,True,0.06890109144144299,0.06644934911400605,48.62757843995035,True,True,17.20855753734974,True,2,51,False,False,False,False,False,False,,,,,,,,,,,,
"[0.357991023539078,1.213931765057845]","[0.357991023539078,1.213931765057845]","[20.51137475235768,69.55316675468113]","[""initial_ring_center_1_r1_3""]",True,True,0.06894205615729715,0.06654037837695612,49.04179200232345,False,False,,,,,False,False,False,False,False,False,,,,,,,,,,,,
"[0.35287907251401907,1.2015904235629604]","[0.35287907251401907,1.2015904235629604]","[20.218481533544225,68.84605997349458]","[""initial_ring_center_1_r1_4""]",True,True,0.06891983362905955,0.0665494196725856,48.627578439950355,False,False,,,,,False,False,False,False,False,False,,,,,,,,,,,,
"[0.357991023539078,1.189249082068076]","[0.357991023539078,1.189249082068076]","[20.51137475235768,68.13895319230802]","[""initial_ring_center_1_r1_5""]",True,True,0.06885567907448453,0.06647574271256185,47.62757843995034,True,True,15.393499441371977,True,2,51,False,False,False,False,False,False,,,,,,,,,,,,
"[0.37033236503396244,1.184137131043017]","[0.37033236503396244,1.184137131043017]","[21.218481533544228,67.84605997349458]","[""initial_ring_center_1_r1_6""]",True,True,0.06879590023437152,0.06637438344138943,46.62757843995035,True,True,16.599443550140357,True,2,51,False,False,False,False,False,False,,,,,,,,,,,,
"[0.3826737065288467,1.189249082068076]","[0.3826737065288467,1.189249082068076]","[21.92558831473077,68.13895319230802]","[""initial_ring_center_1_r1_7""]",True,True,0.06876651129716255,0.06629886355198714,46.21336487757725,True,True,18.068511833690014,True,2,51,False,False,False,False,False,False,,,,,,,,,,,,
