objective,model_seed,evaluation_seed,tangent_local_mmd,tangent_rollout_mmd,mfsi_rollout_mmd,velocity_gap,min_ess,max_moment_error,angular_error
full_phi5,20260811,20300811,0.09977796234582,0.08085245598937783,0.07855089104228445,0.2633776820983387,0.23142405114846598,0.0014384551914084745,0.05721706552501571
full_phi5,20260811,20300812,0.0900230861659189,0.08106584733273405,0.08695296135539998,0.2641176807187202,0.23142405114846598,0.00143839246543031,0.07539408968687658
full_phi5,20260811,20300813,0.0836763915271525,0.10562085219130701,0.10322658840961214,0.2708494597356278,0.23142405114846598,0.0014384356923857332,0.05361622444656192
full_phi5,20260811,20300814,0.07673984059474723,0.08176461879706894,0.08930472880989111,0.26103566912958603,0.23142405114846598,0.0014384372260236391,0.053334131431726085
full_phi5,20260811,20300815,0.07211709818981178,0.07159507894254241,0.07216314960986123,0.26604428619982806,0.23142405114846598,0.001438419524748178,0.07138611708724656
full_phi5,20260811,20300816,0.08025431219383418,0.07881531863266136,0.08116017912941396,0.2607787973974088,0.23142405114846598,0.001438398926434211,0.06360618901378019
full_phi5,20260811,20300817,0.08323014200815614,0.07494884098345822,0.07660948086582263,0.26838651274985703,0.23142405114846598,0.001438425907891162,0.0545371428673801
full_phi5,20260811,20300818,0.09536489552814806,0.09315548861231036,0.09471331071154417,0.26671678857995496,0.23142405114846598,0.001438442336118668,0.05818506811104859
full_phi5,20260811,20300819,0.07074254096060388,0.07572929184912937,0.07651842519648698,0.2712200854915964,0.23142405114846598,0.0014384040664911616,0.05788494549842862
info,20260812,20300810,0.07899468816947941,0.10093807736911058,0.08024780423200355,0.39963316539992055,0.2766653263276195,0.0017085545523005709,0.0613817173536132
info,20260812,20300811,0.09308199483906303,0.08686051025097143,0.08254642903147867,0.40987916486053666,0.2766653263276195,0.0017085545523011496,0.06948605422355335
info,20260812,20300812,0.08146903987186553,0.10228769755671736,0.08892340112728825,0.4032467620929997,0.2766653263276195,0.0017085545523007153,0.1045003732895707
info,20260812,20300813,0.07574756373017222,0.09301278208186352,0.10042331312811287,0.40655794515561355,0.2766653263276195,0.0017085545522999665,0.06902209148649695
info,20260812,20300814,0.07361687869417488,0.10927864227267413,0.08749149150629858,0.40476928968983145,0.2766653263276195,0.0017085545523011572,0.06804302237937555
info,20260812,20300815,0.07529837318839333,0.09112157697331917,0.07623898235000555,0.40767840850636033,0.2766653263276195,0.0017085545522996675,0.08167430588545692
info,20260812,20300816,0.08588460569772308,0.09297495901028935,0.07452664615545063,0.40232888200505634,0.2766653263276195,0.0017085545523010935,0.0631222904659293
info,20260812,20300817,0.0881453012468522,0.07799937069510447,0.06689190428422671,0.406906780981341,0.2766653263276195,0.0017085545522996168,0.05769637571216666
info,20260812,20300818,0.0908187297003112,0.07298259236691991,0.0824629319023782,0.40498484203207963,0.2766653263276195,0.0017085545523013745,0.08123336630105292
