time_parameterization,t,s,empirical_lhs_second_moment,analytic_rhs_second_moment,absolute_identity_error,second_moment_deficit,mean_squared_endpoint_displacement,candidate_rank,pair_id,coupling
identity,0.8,0.8,0.023487490327394188,0.023487490439834488,1.1244030012624862e-10,0.003946813525224275,0.02466758453265172,2,v6_F0300_k06100__v6_F0280_k05800,independent
identity,0.9,0.9,0.025214221222566523,0.025214221357120106,1.345535835528544e-10,0.0022200826079386542,0.02466758453265172,2,v6_F0300_k06100__v6_F0280_k05800,independent
smoothstep_reparameterization,0.1,0.028000000000000004,0.026762951042692353,0.026762950984418114,5.82742396004754e-11,0.0006713529806406494,0.02466758453265172,2,v6_F0300_k06100__v6_F0280_k05800,independent
smoothstep_reparameterization,0.2,0.10400000000000002,0.025135679809436297,0.025135679767968145,4.146815182903829e-11,0.0022986241970906185,0.02466758453265172,2,v6_F0300_k06100__v6_F0280_k05800,independent
smoothstep_reparameterization,0.3,0.216,0.02325699654666266,0.02325699652996139,1.6701272309571635e-11,0.004177307435097373,0.02466758453265172,2,v6_F0300_k06100__v6_F0280_k05800,independent
smoothstep_reparameterization,0.4,0.3520000000000001,0.02180772659012624,0.021807726603499035,1.33727959261698e-11,0.005626577361559727,0.02466758453265172,2,v6_F0300_k06100__v6_F0280_k05800,independent
smoothstep_reparameterization,0.5,0.5,0.021267407785795382,0.021267407831895832,4.6100449846431246e-11,0.00616689613316293,0.02466758453265172,2,v6_F0300_k06100__v6_F0280_k05800,independent
smoothstep_reparameterization,0.6,0.648,0.021807726524670924,0.021807726603499035,7.88281107055866e-11,0.005626577361559726,0.02466758453265172,2,v6_F0300_k06100__v6_F0280_k05800,independent
smoothstep_reparameterization,0.7,0.7839999999999999,0.02325699642105921,0.02325699652996139,1.0890217894132803e-10,0.004177307435097374,0.02466758453265172,2,v6_F0300_k06100__v6_F0280_k05800,independent
smoothstep_reparameterization,0.8,0.8960000000000001,0.025135679634299093,0.02513567976796815,1.3366905499134774e-10,0.002298624197090615,0.02466758453265172,2,v6_F0300_k06100__v6_F0280_k05800,independent
smoothstep_reparameterization,0.9,0.972,0.026762950833942964,0.026762950984418114,1.5047514970167875e-10,0.0006713529806406498,0.02466758453265172,2,v6_F0300_k06100__v6_F0280_k05800,independent
identity,0.1,0.1,0.026326474352836932,0.026326474372102702,1.926576953525938e-11,0.0017512111641654995,0.019457901824061104,3,v6_F0300_k06075__v6_F0280_k05800,maximal_same_ic
identity,0.2,0.2,0.024964421209566514,0.024964421244418424,3.4851909552768845e-11,0.003113264291849777,0.019457901824061104,3,v6_F0300_k06075__v6_F0280_k05800,maximal_same_ic
identity,0.3,0.3,0.023991526102777307,0.02399152615321537,5.043806344806612e-11,0.0040861593830528314,0.019457901824061104,3,v6_F0300_k06075__v6_F0280_k05800,maximal_same_ic
identity,0.4,0.4,0.023407789032469328,0.023407789098493538,6.602421040446949e-11,0.004669896437774664,0.019457901824061104,3,v6_F0300_k06075__v6_F0280_k05800,maximal_same_ic
identity,0.5,0.5,0.023213209998642573,0.023213210080252927,8.16103538914259e-11,0.004864475456015276,0.019457901824061104,3,v6_F0300_k06075__v6_F0280_k05800,maximal_same_ic
identity,0.6,0.6,0.02340778900129704,0.023407789098493538,9.719649737838232e-11,0.004669896437774664,0.019457901824061104,3,v6_F0300_k06075__v6_F0280_k05800,maximal_same_ic
identity,0.7,0.7,0.023991526040432733,0.02399152615321537,1.1278263739589178e-10,0.004086159383052832,0.019457901824061104,3,v6_F0300_k06075__v6_F0280_k05800,maximal_same_ic
identity,0.8,0.8,0.024964421116049643,0.024964421244418424,1.283687808828482e-10,0.0031132642918497763,0.019457901824061104,3,v6_F0300_k06075__v6_F0280_k05800,maximal_same_ic
identity,0.9,0.9,0.026326474228147774,0.026326474372102702,1.4395492783925157e-10,0.001751211164165499,0.019457901824061104,3,v6_F0300_k06075__v6_F0280_k05800,maximal_same_ic
smoothstep_reparameterization,0.1,0.028000000000000004,0.027548119272180805,0.027548119280224555,8.043749694097713e-12,0.0005295662560436471,0.019457901824061104,3,v6_F0300_k06075__v6_F0280_k05800,maximal_same_ic
smoothstep_reparameterization,0.2,0.10400000000000002,0.026264520392805676,0.02626452041269489,1.9889215274737637e-11,0.0018131651235733103,0.019457901824061104,3,v6_F0300_k06075__v6_F0280_k05800,maximal_same_ic
smoothstep_reparameterization,0.3,0.216,0.0247826065724287,0.024782606609774396,3.7345695980128824e-11,0.0032950789264938034,0.019457901824061104,3,v6_F0300_k06075__v6_F0280_k05800,maximal_same_ic
smoothstep_reparameterization,0.4,0.3520000000000001,0.0236394159032643,0.02363941596180716,5.854285806128345e-11,0.004438269574461042,0.019457901824061104,3,v6_F0300_k06075__v6_F0280_k05800,maximal_same_ic
smoothstep_reparameterization,0.5,0.5,0.023213209998642573,0.023213210080252927,8.16103538914259e-11,0.004864475456015276,0.019457901824061104,3,v6_F0300_k06075__v6_F0280_k05800,maximal_same_ic
