allowance_percent,method,phase,trial_count,time_trial_count,grid_n,bandwidth,minimum_q_h,maximum_mass_error,maximum_source_compatibility_error,maximum_component_compatibility_residual,maximum_conductive_component_count,incompatible_time_trial_count,unconverged_time_trial_count,invalid_trial_count,maximum_physical_poisson_relative_residual,maximum_full_moment_rate_residual,maximum_tangent_moment_rate_residual,maximum_hidden_nullspace_residual,maximum_absolute_orthogonality_residual,maximum_absolute_pythagorean_residual,maximum_raw_hierarchy_violation,A_full_h,A_tan_h,A_hid_h,Gamma_h,physical_poisson_tolerance,moment_tolerance,energy_tolerance,passes,flag_positive_q,flag_mass,flag_source,flag_component_compatibility,flag_solver_convergence,flag_trial_validity,flag_poisson,flag_full_moment,flag_tangent_moment,flag_hidden_nullspace,flag_orthogonality,flag_pythagorean,flag_hierarchy,flag_all,elapsed_seconds,source,full_action_se
2.0,candidate,validation,128,2688,101,0.41753010655193434,1.9246790770627902e-12,2.220446049250313e-16,4.047746246494554e-16,6.0279290211920275e-15,1,0,0,0,1.1895753240744788e-11,3.963884912402526e-14,7.447602459741819e-16,3.975156601658404e-14,6.459275772379679e-14,4.547473508864641e-13,-0.23086562298572966,29.013979671903794,0.6902284349372492,28.323751236966526,0.9762104874015038,1e-07,1e-06,1e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,
2.0,candidate,selection,64,1344,101,0.41753010655193434,1.9056508064036136e-12,3.3306690738754696e-16,4.493533278046817e-16,5.07343979803984e-15,1,0,0,0,9.829523451774958e-12,2.6425407063883964e-14,4.710277376051325e-16,2.6431703297108165e-14,7.657551313192163e-14,4.547473508864641e-13,-0.2247953010251644,38.32483626673544,0.5549870957547843,37.76984917098067,0.9855188658369696,1e-07,1e-06,1e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,
2.0,candidate,validation,128,2688,101,0.41753010655193434,1.918925635071154e-12,4.440892098500626e-16,4.9928147533853525e-16,5.658425777638817e-15,1,0,0,0,9.849876441498814e-12,2.6423541225180547e-14,5.661048867003676e-16,2.631228568361621e-14,6.958557247718214e-14,9.094947017729282e-13,-0.1663660054600585,36.57695597501567,0.5586682127832056,36.01828776223247,0.9847262245342447,1e-07,1e-06,1e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,
2.0,full,selection,64,1344,101,0.41753010655193434,1.9105730152669e-12,2.220446049250313e-16,3.530633289893928e-16,5.439112873811531e-15,1,0,0,0,6.505378512270325e-12,5.0521125390730084e-14,4.965068306494546e-16,5.0522955179012766e-14,1.141214800773795e-13,4.547473508864641e-13,-0.18702422591276008,20.32243166724836,0.8766570835225795,19.44577458372578,0.9568625891883105,1e-07,1e-06,1e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,87.49597233900022,new_corrected_nested_sweep_evaluation,
2.0,full,validation,128,2688,101,0.41753010655193434,1.906678057493785e-12,2.220446049250313e-16,4.493533278046817e-16,5.473083382276707e-15,1,0,0,0,6.479866286005476e-12,6.617264520526671e-14,7.108895957933346e-16,6.617078248312638e-14,1.3534807537177207e-13,4.547473508864641e-13,-0.13672990756146858,19.746995928782667,0.891947375144143,18.85504855363851,0.9548312371987641,1e-07,1e-06,1e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,171.95155844799956,new_corrected_nested_sweep_evaluation,0.5423273114842293
3.0,candidate,selection,64,1344,101,0.41753010655193434,1.908159088191579e-12,4.440892098500626e-16,3.887262915135739e-16,4.491854671767142e-15,1,0,0,0,9.610333006151088e-12,2.982111537472708e-14,7.108895957933346e-16,3.003773998359987e-14,6.162559924178492e-14,4.547473508864641e-13,-0.2881092928596021,30.201589389286397,0.6812904616289339,29.520298927657464,0.9774419003964536,1e-07,1e-06,1e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,
3.0,candidate,validation,128,2688,101,0.41753010655193434,1.9246790770627902e-12,2.220446049250313e-16,4.047746246494554e-16,6.0279290211920275e-15,1,0,0,0,1.1895753240744788e-11,3.963884912402526e-14,7.447602459741819e-16,3.975156601658404e-14,6.459275772379679e-14,4.547473508864641e-13,-0.23086562298572966,29.013979671903794,0.6902284349372492,28.323751236966526,0.9762104874015038,1e-07,1e-06,1e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,
3.0,candidate,selection,64,1344,101,0.41753010655193434,1.9056508064036136e-12,3.3306690738754696e-16,4.493533278046817e-16,5.07343979803984e-15,1,0,0,0,9.829523451774958e-12,2.6425407063883964e-14,4.710277376051325e-16,2.6431703297108165e-14,7.657551313192163e-14,4.547473508864641e-13,-0.2247953010251644,38.32483626673544,0.5549870957547843,37.76984917098067,0.9855188658369696,1e-07,1e-06,1e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,
3.0,candidate,validation,128,2688,101,0.41753010655193434,1.918925635071154e-12,4.440892098500626e-16,4.9928147533853525e-16,5.658425777638817e-15,1,0,0,0,9.849876441498814e-12,2.6423541225180547e-14,5.661048867003676e-16,2.631228568361621e-14,6.958557247718214e-14,9.094947017729282e-13,-0.1663660054600585,36.57695597501567,0.5586682127832056,36.01828776223247,0.9847262245342447,1e-07,1e-06,1e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,
3.0,full,selection,64,1344,101,0.41753010655193434,1.9117547085833306e-12,4.440892098500626e-16,3.92292587765992e-16,5.165811346142953e-15,1,0,0,0,7.0606931075290816e-12,5.143029522673714e-14,4.965068306494546e-16,5.144215718962517e-14,1.3329388873037924e-13,3.410605131648481e-13,-0.20579710155859587,19.671402294066905,0.8743787121618924,18.79702358190501,0.9555507686187874,1e-07,1e-06,1e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,83.01622929099995,new_corrected_nested_sweep_evaluation,
