theta1_deg,theta2_deg,population_law,finite_risk,finite_risk_se,pre_action,refined_action,is_law_best,is_full_best
24.000000000000004,74.0,0.07030222535878689,0.06916837843142132,0.0005965667249295836,nan,nan,0,0
25.0,62.0,0.07000512870339172,0.06849305465736125,0.00047858980596516843,4075.082798516043,nan,0,0
25.0,63.0,0.06986629917501704,0.06836488511950674,0.0004712426241653676,3849.3727315252754,nan,0,0
25.0,64.0,0.06974420037868113,0.06825606461937295,0.00046553865175578914,3630.7967639553044,nan,0,0
25.0,65.0,0.0696419070411054,0.06816998410764055,0.0004618528449647184,3419.3012539855763,nan,0,0
25.0,66.0,0.06956275447607163,0.06811027495086287,0.00046059687488821886,3214.8385374171294,nan,0,0
25.0,67.0,0.06951029948871365,0.06808076322213205,0.0004622141286388679,3017.5398504128652,nan,0,0
25.0,68.0,0.06948826508348592,0.06808540950090748,0.0004671717822293836,2828.2475422650477,nan,0,0
25.0,69.0,0.06950046574055475,0.06812823105372598,0.0004759484318210204,2647.322662975582,nan,0,0
25.0,70.0,0.06955070978368337,0.06821320262319033,0.0004890160327305826,2475.2318961394813,nan,0,0
25.0,71.0,0.06964267611122442,0.06834413238061077,0.0005068157051098439,2312.839400380666,2480.4863610332372,0,0
25.0,72.0,0.06977976445684936,0.06852451098646885,0.000529728150901252,2160.867267137878,2292.0404201983765,0,0
25.0,73.0,0.06996492112150973,0.06875733327579923,0.0005580404797947862,2020.1982751918913,2116.765654846399,0,1
25.0,74.0,0.0702004447488461,0.06904489325431777,0.0005919118009686111,nan,nan,0,0
26.0,62.0,0.07007105316807255,0.06855103533616232,0.00048791173265268624,3929.5165738025244,nan,0,0
26.0,63.0,0.06992921603865607,0.06841999528942305,0.0004812257854904032,3726.3902926008677,nan,0,0
26.0,64.0,0.0698028229309947,0.06830678041441733,0.0004759932913548635,3529.82749432577,nan,0,0
26.0,65.0,0.06969484421676925,0.06821468149213575,0.00047255927046327363,3339.916547941234,nan,0,0
26.0,66.0,0.06960851131879318,0.06814723397847573,0.0004713032247675868,3156.3918716938597,nan,0,0
26.0,67.0,0.06954728295202402,0.06810817721600601,0.0004726341286336591,2979.8548283315245,nan,0,0
26.0,68.0,0.06951479661045612,0.06810140040925239,0.0004769831077720608,2810.5688040198693,nan,0,0
26.0,69.0,0.0695148021490899,0.06813087231134873,0.0004847926846028492,2648.753902777167,nan,0,0
26.0,70.0,0.06955107401956453,0.0682005510159283,0.0004965015617031424,2495.0050763485538,nan,0,0
26.0,71.0,0.0696272993732657,0.06831427058200798,0.000512524392305148,2349.8073431562384,nan,0,0
26.0,72.0,0.06974694100770756,0.06847560246608031,0.0005332267327624629,2213.8957206522427,2332.009388258838,0,0
26.0,73.0,0.06991307664217268,0.06868769111834302,0.0005588961751037796,2087.7994070211266,2172.283734649553,0,0
26.0,74.0,0.07012821831516579,0.06895306381382649,0.000589711227651448,nan,nan,0,0
27.0,62.0,0.07014825242502652,0.06862280533187212,0.0004988591483569826,3799.0843140069173,nan,0,0
27.0,63.0,0.07000457506413617,0.0684899765520662,0.0004928862419204964,3617.048166844325,nan,0,0
27.0,64.0,0.06987511256848622,0.0683735191759394,0.0004881802323224157,3441.3238840623394,nan,0,0
27.0,65.0,0.06976272259036151,0.06827661351460784,0.0004850553624197741,3271.692128993287,nan,0,0
27.0,66.0,0.0696705225997781,0.06820268658343692,0.00048385816837667473,3108.341159631163,nan,0,0
27.0,67.0,0.06960186101962364,0.06815537598127216,0.0004849626966854892,2951.4973846597054,nan,0,0
27.0,68.0,0.06956027498929782,0.06813848166109997,0.0004887639114364169,2801.1940337115775,nan,0,0
27.0,69.0,0.06954943158596953,0.06815590263781013,0.0004956684382323146,2657.752882581118,nan,0,0
27.0,70.0,0.06957304925367072,0.06821155518505381,0.0005060818008963453,2521.5104059077307,nan,0,0
27.0,71.0,0.06963479660818797,0.06830926948154206,0.0005203915453753933,2393.0314982930418,nan,0,0
27.0,72.0,0.06973816749119718,0.06845266281215473,0.0005389460928170873,2272.431395942551,2377.148788039005,0,0
27.0,73.0,0.06988633342116758,0.06864498858743945,0.0005620297311487461,2160.622884047726,2232.247013120185,0,0
27.0,74.0,0.07008197659170634,0.06888896080127024,0.0005898346975371352,nan,nan,0,0
24.324324324324323,68.10810810810811,0.06948334774904788,0.06809214038995043,0.00046256510644635955,2823.6557768282037,nan,0,0
19.45945945945946,68.10810810810811,0.0698816593469162,0.06859352975561686,0.0004616021580274558,3052.1646118518015,3451.378999521406,0,0
24.324324324324323,63.24324324324325,0.06980182435309695,0.06831012390114934,0.00046387373408988573,3882.9918659232044,nan,0,0
