abs_external_sensor_corr,alpha_sensitivity_det,alpha_sensitivity_min_eig,alpha_sensitivity_trace,design,external_sensor_cov_det_mean,external_sensor_cov_min_eig_mean,external_sensor_cov_trace,raw_moment_gap_rms,raw_moment_gap_sq,raw_moment_mahal,ref_sensor_corr,ref_sensor_cov_det,ref_sensor_cov_min_eig,ref_sensor_cov_trace,t,target_speed_sq,zero_tilt_dynamic_mismatch_rms,zero_tilt_dynamic_mismatch_sq,zero_tilt_tangent_proxy
0.5149936937416179,6.371754115507174e-13,1.7164668791922835e-08,3.7138499153879975e-05,full,0.007277335974249248,0.04460576561962364,0.20777089111880495,0.06838183949875157,0.004676075973233019,0.13477074699073915,-0.6837786371571224,0.0065827572662717415,0.033861729378133275,0.22826282427680844,0.1,0.44967203388961485,0.37695940998085625,0.14209839677311525,0.2558946113456388
0.4460525024175529,2.566431684916631e-12,3.444853661862493e-08,7.453490448716511e-05,full,0.006981411866084157,0.04710628378315076,0.19534196323278769,0.07856293727740891,0.006172135113654087,0.16528268610303037,-0.6430788211057322,0.006625996622800642,0.03717802550383114,0.21540149307657358,0.15000000000000002,0.4063764264764545,0.2638707478353729,0.06962777156319896,0.12615585106538857
0.38604646282622723,6.364567532262302e-12,5.424882960035645e-08,0.000117375997135494,full,0.006388036976598031,0.047673359468769994,0.18171181876676157,0.07792523002524798,0.006072341474487809,0.1437550767717589,-0.5875130046143376,0.006155618753303487,0.039823038431522864,0.1943973500799997,0.2,0.3653208920410623,0.37307488593572047,0.13918487051595083,0.22387072705243063
0.3335221530085398,1.2003117453687344e-11,7.449943020471488e-08,0.00016119140221327805,full,0.005620626669358271,0.04664971173374392,0.16718837422569094,0.07252863969339315,0.005260403575774044,0.09956891044285501,-0.5258778412285673,0.0050292946143324375,0.03945437792625484,0.16692552000668048,0.25,0.3265054305405567,0.4845141592123803,0.2347539704772798,0.39443593796530135
0.2873409474109182,1.888713766306007e-11,9.345208514594438e-08,0.00020219849483046272,full,0.004775160113894202,0.04436196243190554,0.15206274556743055,0.06880236829066985,0.004733765882404973,0.06353130647771454,-0.46493426285807427,0.0034889324010005207,0.03442688440879621,0.13577013579256314,0.30000000000000004,0.2899300419351418,0.5150440469248686,0.2652703702727463,0.5204503144891357
0.24659912493984262,2.6014445315631177e-11,1.096764053802126e-07,0.00023730240008598572,full,0.003923777138927633,0.041116700988635735,0.13660924820311143,0.06958881962799428,0.004842603817217521,0.06916346854454442,-0.40854436128729504,0.002020465956554814,0.025638105947524775,0.10444525186892153,0.35000000000000003,0.2555947261881091,0.46486559957918616,0.21610002567211625,0.5413602929764978
0.2105715421245032,3.2220622940258784e-11,1.2205986610161427e-07,0.0002640959930624166,full,0.003118159035516354,0.037195997298970704,0.12108539699750082,0.0725968220241593,0.005270298568007461,0.16258951269090882,-0.35755609593503607,0.0009774807248635517,0.01642596858297597,0.07593422344939656,0.4,0.22349948326583638,0.37812376498175215,0.14297758164397534,0.47038980643727457
0.17867119079546812,3.644095740028534e-11,1.298078067389352e-07,0.00028085989882179076,full,0.0023926933101237986,0.03285324991503945,0.10573190626933016,0.07464969271583924,0.005572576622569222,0.4218201385055214,-0.31156181530000787,0.00039741073283279266,0.009283003375369057,0.05209358059515738,0.45,0.19364431313778868,0.2921210525772043,0.08533470935881375,0.34334930455658125
0.1504197518060089,3.793577841389168e-11,1.324434309531687e-07,0.0002865624924026207,full,0.0017674223876273723,0.02831026442307821,0.09077268979159633,0.0741301624770756,0.0054952809888776264,0.9944547655104333,-0.26998194725542196,0.00013651542828889434,0.004714445047448245,0.033671284487709646,0.5,0.1660292157765174,0.2274558299783469,0.05173615459113865,0.22598396346526492
0.12542598698305213,3.644095737084879e-11,1.2980780663573778e-07,0.0002808598988180967,full,0.001250776264276666,0.02375615001484358,0.07641486079183372,0.07073374153670332,0.00500326219178115,2.16711102487863,-0.23231507670095727,3.9879951400301534e-05,0.00217711328772578,0.020494925054866442,0.55,0.1406541911576611,0.19297034863417512,0.03723755545199509,0.264224568865337
0.10336994635686408,3.222062288820211e-11,1.220598659075336e-07,0.0002640959930554695,full,0.0008420891106118405,0.01934814145440247,0.0628487319523556,0.0648417033992565,0.004204446499717152,4.487539764404549,-0.19816216941952958,1.0005312838102518e-05,0.0009234353336454302,0.011758317294036447,0.6000000000000001,0.11751923925994477,0.18437547072562682,0.03399431420529647,0.7943080847207991
0.0839917997443681,2.6014445252585962e-11,1.0967640511862511e-07,0.00023730240007662225,full,0.000533899824351498,0.015214009592595676,0.050247815410469195,0.05712129483681761,0.003262842323834646,8.960135330641448,-0.16728263855442982,2.1848601859379873e-06,0.00036356925859151897,0.006373043751573184,0.65,0.09662436006518038,0.18775399394744696,0.035251562243217946,2.593586947012858
0.06708488397959686,1.8887137602030335e-11,9.34520848487544e-08,0.00020219849481982558,full,0.00031403653325810365,0.011455471911972648,0.038768822758659505,0.04829637103768554,0.002332539455409791,17.289399513897706,-0.1397160070807756,4.21906575025499e-07,0.0001343390005888693,0.0032749502391427434,0.7000000000000001,0.07796955355826661,0.19138141798479594,0.036626847149871175,7.460565069711648
0.052493680805571,1.2003117405204427e-11,7.449942990856082e-08,0.00016119140220267815,full,0.00016748504798822387,0.008151987555229324,0.02855166504474551,0.03902532356690312,0.0015229758795014842,31.93275943407931,-0.11584801631677676,7.336946270649418e-08,4.711081379116226e-05,0.0016044913131332895,0.75,0.06155481972718898,0.1898310745302644,0.036035836857314804,19.515758796035392
0.040119925858132406,6.364567501413271e-12,5.4248829341575605e-08,0.00011737599712623166,full,7.804126493361418e-05,0.005364449374865939,0.019719452772007144,0.02984788137489801,0.0008908960225699837,55.027300322309344,-0.09627627258371822,1.1779525467033661e-08,1.58779397023579e-05,0.0007577579120317892,0.8,0.04738015856301961,0.18182398710415276,0.03305996228645111,47.925926750204965
0.029947439666418843,2.56643167040408e-12,3.444853642691088e-08,7.453490448030347e-05,full,2.97475190582541e-05,0.003138468391060577,0.012378495899283106,0.021168963753161796,0.000448125026382678,83.53725832617829,-0.08151983027712509,1.8259144871110637e-09,5.2436105730021415e-06,0.0003534606380754209,0.8500000000000001,0.035445570059917615,0.16808853742636448,0.028253756414134336,111.53997694928707
0.022122781805794647,6.371754074329715e-13,1.7164668682752358e-08,3.713849914997236e-05,full,8.11288673534374e-06,0.001507109645971397,0.00661830384103988,0.013257020144391325,0.0001757485831087974,97.02847667591323,-0.07169233115925158,3.0007375157919045e-10,1.7716152314855798e-06,0.0001711502400289059,0.9,0.02575105421512879,0.1503810559506377,0.022614461988828827,240.29510636046012
0.01719428492300179,4.943828614985784e-14,4.7812078705545275e-09,1.034490602326031e-05,full,1.1174385872458407e-06,0.0004930506319107189,0.0025115854674118893,0.006246777308525127,3.902222674230443e-05,56.755179622995115,-0.06603578690494952,6.277890642861541e-11,6.730403693559019e-07,9.394962419254435e-05,0.9500000000000001,0.018296611028985655,0.1311152797778485,0.01719121659122349,445.39997147653366
0.028434453956511438,0.0,0.0,0.0,full,4.4233031029984976e-10,4.012555880912738e-06,0.00011424910421260432,0.00035753043362129756,1.2782801096543305e-07,0.07523446041993863,-0.06232447027023694,2.0305335035054364e-11,3.220958384321591e-07,6.336337924616912e-05,1.0,0.013082240504907573,0.11320353049221724,0.012815039315902358,655.9721806965729
