candidate_key,geometry,geometry_deg,provenance,population_valid,finite_valid,population_loss,finite_risk,projective_separation_deg,allowance_percent,L_max,R_max,feasible,is_previous_incumbent,is_historical_full,is_stage_winner,proxy_evaluated,prescreen_evaluated,prescreen_A_full_h,prescreen_passes,prescreen_source,selection_evaluated,selection_A_full_h,selection_passes,selection_source,validation_evaluated,proxy_A_full_h,proxy_passes,proxy_source,validation_A_full_h,validation_passes,validation_source
"[0.35357490829599636,1.2547045922499684]","[0.35357490829599636,1.2547045922499684]","[20.258349987085708,71.88927767160605]","[""initial_ring_center_0_r4_3"",""initial_ring_center_4_r4_3""]",True,True,0.06928293614415995,0.06683162733250143,51.630927684520344,1.0,0.0692360118546043,0.06684759408820659,False,False,False,False,False,False,,,,False,,,,False,,,,,,
"[0.3331271041957606,1.2053392262704312]","[0.3331271041957606,1.2053392262704312]","[19.0867771118319,69.06085054685987]","[""initial_ring_center_0_r4_4"",""initial_ring_center_4_r4_4""]",True,True,0.06908366355183208,0.06678521270955765,49.97407343502797,1.0,0.0692360118546043,0.06684759408820659,True,False,False,False,True,True,24.229984485346353,True,new_corrected_nested_sweep_evaluation,False,,,,False,13.125850764604303,True,new_corrected_nested_sweep_evaluation,,,
"[0.35357490829599636,1.1559738602908938]","[0.35357490829599636,1.1559738602908938]","[20.258349987085708,66.23242342211368]","[""initial_ring_center_0_r4_5"",""initial_ring_center_4_r4_5""]",True,True,0.068857914817076,0.06650612145397597,45.974073435027975,1.0,0.0692360118546043,0.06684759408820659,True,False,False,False,True,True,31.02900478315006,True,new_corrected_nested_sweep_evaluation,False,,,,False,14.415998517759466,True,new_corrected_nested_sweep_evaluation,,,
"[0.40294027427553375,1.135526056190658]","[0.40294027427553375,1.135526056190658]","[23.0867771118319,65.06085054685987]","[""initial_ring_center_0_r4_6"",""initial_ring_center_4_r4_6""]",True,True,0.06884135244454526,0.0663216531144215,41.97407343502797,1.0,0.0692360118546043,0.06684759408820659,True,False,False,False,True,False,,,,False,,,,False,18.716197312303084,True,new_corrected_nested_sweep_evaluation,,,
"[0.45230564025507114,1.1559738602908938]","[0.45230564025507114,1.1559738602908938]","[25.915204236578088,66.23242342211368]","[""initial_ring_center_0_r4_7"",""initial_ring_center_4_r4_7""]",True,True,0.0688764821729775,0.06620394931908397,40.31721918553559,1.0,0.0692360118546043,0.06684759408820659,True,False,False,False,True,False,,,,False,,,,False,25.19032364461015,True,new_corrected_nested_sweep_evaluation,,,
"[0.4378468593154204,1.2053392262704312]","[0.4378468593154204,1.2053392262704312]","[25.0867771118319,69.06085054685987]","[""initial_ring_center_0_r2_0"",""initial_ring_center_4_r2_0""]",True,True,0.06876883365968225,0.06611256296299071,43.97407343502797,1.0,0.0692360118546043,0.06684759408820659,True,False,False,False,True,False,,,,False,,,,False,25.605017034872162,True,new_corrected_nested_sweep_evaluation,,,
"[0.4276229572653025,1.2300219092601998]","[0.4276229572653025,1.2300219092601998]","[24.500990674204996,70.47506410923296]","[""initial_ring_center_0_r2_1"",""initial_ring_center_4_r2_1""]",True,True,0.0688241065863412,0.0661731547147207,45.97407343502796,1.0,0.0692360118546043,0.06684759408820659,True,False,False,False,True,False,,,,False,,,,False,25.05610924129661,True,new_corrected_nested_sweep_evaluation,,,
"[0.40294027427553375,1.2402458113103179]","[0.40294027427553375,1.2402458113103179]","[23.0867771118319,71.06085054685987]","[""initial_ring_center_0_r2_2"",""initial_ring_center_4_r2_2""]",True,True,0.06890645615453438,0.0663173200276248,47.97407343502797,1.0,0.0692360118546043,0.06684759408820659,True,False,False,False,True,False,,,,False,,,,False,21.79643288101228,True,new_corrected_nested_sweep_evaluation,,,
"[0.3782575912857651,1.2300219092601998]","[0.3782575912857651,1.2300219092601998]","[21.672563549458804,70.47506410923296]","[""initial_ring_center_0_r2_3"",""initial_ring_center_4_r2_3""]",True,True,0.06892564635392653,0.06643219595463509,48.80250055977416,1.0,0.0692360118546043,0.06684759408820659,True,False,False,False,True,False,,,,False,,,,False,18.338000567854095,True,new_corrected_nested_sweep_evaluation,,,
"[0.36803368923564717,1.2053392262704312]","[0.36803368923564717,1.2053392262704312]","[21.0867771118319,69.06085054685987]","[""initial_ring_center_0_r2_4"",""initial_ring_center_4_r2_4""]",True,True,0.06885338510913318,0.06642441974356787,47.97407343502797,1.0,0.0692360118546043,0.06684759408820659,True,False,False,False,True,False,,,,False,,,,False,16.727872082128687,True,new_corrected_nested_sweep_evaluation,,,
"[0.3782575912857651,1.1806565432806626]","[0.3782575912857651,1.1806565432806626]","[21.672563549458804,67.64663698448678]","[""initial_ring_center_0_r2_5"",""initial_ring_center_4_r2_5""]",True,True,0.06876999184254673,0.06632244822426453,45.974073435027975,1.0,0.0692360118546043,0.06684759408820659,True,False,False,False,True,False,,,,False,,,,False,17.383078245601638,True,new_corrected_nested_sweep_evaluation,,,
"[0.40294027427553375,1.1704326412305446]","[0.40294027427553375,1.1704326412305446]","[23.0867771118319,67.06085054685987]","[""initial_ring_center_0_r2_6"",""initial_ring_center_4_r2_6""]",True,True,0.06874609612990638,0.0662200303227054,43.97407343502797,1.0,0.0692360118546043,0.06684759408820659,True,False,False,False,True,False,,,,False,,,,False,19.876769784194856,True,new_corrected_nested_sweep_evaluation,,,
"[0.4276229572653025,1.1806565432806626]","[0.4276229572653025,1.1806565432806626]","[24.500990674204996,67.64663698448678]","[""initial_ring_center_0_r2_7"",""initial_ring_center_4_r2_7""]",True,True,0.06875436920285649,0.06614577213887679,43.145646310281776,1.0,0.0692360118546043,0.06684759408820659,True,False,False,False,True,False,,,,False,,,,False,23.230330192590348,True,new_corrected_nested_sweep_evaluation,,,
"[0.42039356679547707,1.2053392262704312]","[0.42039356679547707,1.2053392262704312]","[24.0867771118319,69.06085054685987]","[""initial_ring_center_0_r1_0"",""initial_ring_center_4_r1_0""]",True,True,0.06875299674354607,0.06615007522504127,44.97407343502797,1.0,0.0692360118546043,0.06684759408820659,True,False,False,False,True,False,,,,False,,,,False,23.204132074228667,True,new_corrected_nested_sweep_evaluation,,,
"[0.4152816157704181,1.2176805677653155]","[0.4152816157704181,1.2176805677653155]","[23.793883893018446,69.76795732804642]","[""initial_ring_center_0_r1_1"",""initial_ring_center_4_r1_1""]",True,True,0.06878247027442072,0.06618367696226007,45.974073435027975,1.0,0.0692360118546043,0.06684759408820659,True,False,False,False,True,False,,,,False,,,,False,22.90947332585509,True,new_corrected_nested_sweep_evaluation,,,
"[0.40294027427553375,1.2227925187903745]","[0.40294027427553375,1.2227925187903745]","[23.0867771118319,70.06085054685987]","[""initial_ring_center_0_r1_2"",""initial_ring_center_4_r1_2""]",True,True,0.06881467718699512,0.06624920265638709,46.97407343502797,1.0,0.0692360118546043,0.06684759408820659,True,False,False,False,True,False,,,,False,,,,False,21.379374500217203,True,new_corrected_nested_sweep_evaluation,,,
