case,design_id,design_index,style,day,source_time_index,grid_nx,grid_ny,grid_point_count,converged,iterations,reported_residual,verified_l2_residual,verified_linf_residual,lambda_0,lambda_1,lambda_2,lambda_3,lambda_norm,kl_divergence,intrinsic_ess,log10_intrinsic_ess,covariance_min_eigenvalue,covariance_max_eigenvalue,covariance_condition_regularized,maximum_quadrature_weight
7,design_000279,279,longitudinal_stratified,2.5,10,256,136,34816,False,200,0.3512174386065978,0.3512174386065956,0.28937139138533063,0.29459189162329963,-0.9013399562847692,500.0,2.043926864289489,500.005076809352,0.005627864757799838,6.6944444135552e-79,-78.17428546019632,4.102418087604779e-20,0.04381673056721208,43816731.56541453,0.014761401715440617
7,design_000279,279,longitudinal_stratified,2.5,10,512,272,139264,False,200,0.3512174328222615,0.351217432822261,0.28937138716781985,0.29459186820287614,-0.901339998176035,500.0,2.043926961964014,500.005076809813,0.005627864999818742,6.733592242606284e-79,-78.17175318615816,4.1024175346898114e-20,0.04381673164666018,43816732.64486263,0.0036691917748290933
8,design_000321,321,longitudinal_stratified,2.5,10,128,68,8704,True,9,1.2215783961773594e-10,1.2215783961760326e-10,1.2215783910247154e-10,-16.452055353246834,-11.324442371226382,74.47556263350967,0.7244733904953002,77.11061802136514,5.068449859269732,2.452394674543493e-05,-4.610409635628674,3.442975591333249e-28,0.017605033978218786,17605034.978218786,0.15049060172261805
8,design_000321,321,longitudinal_stratified,2.5,10,256,136,34816,True,9,1.2215793528321356e-10,1.2215793531089454e-10,1.2215793463611081e-10,-16.406690950483696,-11.36442494291931,74.63801141184115,0.7252159727882925,77.26375830846729,5.068648611262156,2.3728036014113282e-05,-4.624738207148515,3.350777207813637e-28,0.017408034696430166,17408035.696430165,0.04510786632220512
8,design_000321,321,longitudinal_stratified,2.5,10,512,272,139264,True,9,1.221579353342077e-10,1.2215793528533518e-10,1.2215793463660283e-10,-16.40668892981172,-11.36442459274972,74.63801239901473,0.7252159707456883,77.26375878148566,5.068648574694251,2.3728037548271662e-05,-4.6247381790688,3.3507777582366097e-28,0.01740803529590129,17408036.295901287,0.011533656706052591
9,design_000392,392,lateral_discriminating,2.5,10,128,68,8704,False,200,0.00024282356136410082,0.00024282356136410082,0.0002104728509411744,1.0551036503065145,500.0,500.0,304.7611457392657,769.9873175553107,6.799343208021716e-07,0.9999986375233889,-5.91716477006938e-07,3.2621581873054495e-20,4.2043226913166795e-12,1.0042043226585582,0.05473058143810972
9,design_000392,392,lateral_discriminating,2.5,10,256,136,34816,False,200,0.0002428252593973345,0.0002428252593973345,0.00021047444798161425,1.0551270542959792,500.0,500.0,304.7630224601914,769.9880603958557,6.809664275247085e-07,0.9999986354786624,-5.926044916479636e-07,3.2450925426183496e-20,4.208126321467919e-12,1.0042081262888805,0.014655243464475564
9,design_000392,392,lateral_discriminating,2.5,10,512,272,139264,False,200,0.0002428252592854109,0.0002428252592854109,0.0002104744478626018,1.0551270547462825,500.0,500.0,304.7630226641184,769.988060476571,6.809664771133427e-07,0.9999986354785638,-5.926045344641032e-07,3.245091418392184e-20,4.208126686163815e-12,1.0042081266535763,0.0036486902631162775
10,design_000403,403,lateral_discriminating,2.5,10,128,68,8704,False,200,0.03463090022430957,0.03463090022430873,0.029177455874345837,-500.0,307.0962838612157,-42.83610043462947,4.989022602477404,588.360390754121,14.35069363121419,1.0335157523983915e-35,-34.9856828996583,3.506059082134113e-05,0.023470115913069488,669.3968061136519,0.28703807677239884
10,design_000403,403,lateral_discriminating,2.5,10,256,136,34816,False,200,0.034566275747184474,0.03456627574718493,0.02903853865811057,-500.0,307.14178894842024,-42.86074108602985,4.949370195123982,588.3856030786342,14.362041904227514,6.03196951329403e-36,-35.21954086213855,3.554306822092252e-05,0.023547734907483624,662.4941118479672,0.07786853158125266
