rank_among_eligible,design_index,design_id,style,sigma_km,fully_grid_usable,validation_mmd_risk,bootstrap_risk_se,minimum_log10_intrinsic_ess,median_log10_intrinsic_ess,worst_covariance_condition_regularized,mean_projection_kl,maximum_projection_kl,maximum_moment_residual,maximum_native_iterations,projection_failure_count,s1_x_km,s1_y_km,s2_x_km,s2_y_km,s3_x_km,s3_y_km,s4_x_km,s4_y_km
298,423,design_000423,upstream_focused,200.0,True,0.02197928162930023,0.015894934550164747,-480.0464560266834,-0.08495709104025374,13594305.739004925,1.9836298947405424,21.740722813062984,9.581688348089911e-09,24,0,-273.12286431210674,-124.80258216206653,466.1892367971715,-449.31635082258106,735.0361621699171,-1.021691841998063,-129.54772649103361,225.71510887614716
299,209,design_000209,support_random,200.0,True,0.022056394084416817,0.014937833204083014,-1390.5074203042034,-0.1001211194889675,45800114741569.516,0.702958433499429,8.638692043831828,4.717981384158912e-09,35,0,258.6283609705949,132.52877360853037,330.0243004502664,-239.76373316130721,1921.8888812515625,214.96729331931513,-93.32114027828288,-324.99590169376006
300,229,design_000229,longitudinal_stratified,200.0,True,0.022110903039868134,0.0190069406055122,-14956.593572394699,-0.061877327517330126,1247603.5316042325,2.178493187562339,26.106959639721325,5.161588926498745e-09,42,0,-528.6353837958758,222.38779525266978,82.00739622728744,-467.366752508755,567.070106780199,187.32661035500604,1047.3648297532332,-138.34823959918913
301,438,design_000438,upstream_focused,200.0,True,0.0221503295481221,0.01457735301002609,-456.83859675637814,-0.10035559030226307,3277482780.9742546,0.7945820446018347,5.4362323079920865,9.801977281299619e-09,51,0,-346.529467758626,593.690718693198,184.8928426271574,-242.9630318790958,-297.8145330859191,-252.5514081984141,752.5539019596058,458.7850334590962
302,474,design_000474,downstream_focused,200.0,True,0.02222054352859044,0.01541635216928668,-1225.657277734878,-0.1898298926003265,6473156551439.135,2.1566652531335166,22.844261492818454,9.649636379948279e-09,711,0,722.7274782344958,-151.00373739844838,1328.8668923813261,60.98586896909535,1679.19962516045,-61.92392451825913,1394.5065860101627,-407.39747795870227
303,79,design_000079,support_random,200.0,True,0.0222802397423565,0.018375727713139948,-9980.90451055844,-0.1653207507466499,930397871623.7916,2.0650772750884427,27.393973067218084,7.857430200269396e-09,63,0,286.7679910249304,310.9593470391047,34.9499602654561,-662.9801925251771,559.8035053799348,80.381341702833,1210.3756634402414,-116.46393729312564
304,144,design_000144,support_random,200.0,True,0.02232603997452937,0.019280130896981818,-99.40545404437114,-0.04509378572456219,57992.52910019116,1.6298774742848778,20.344241231394278,7.3976991502297556e-09,26,0,536.6989193767963,310.0262152082389,388.66405847491313,-222.30397502548,201.0594521703444,156.9413556009172,-157.84304721539425,-497.3500916197505
305,64,design_000064,support_random,200.0,True,0.02253824578672493,0.01505361322724233,-1696.72165273759,-0.060822716466328676,19028697331777.76,0.8451924916017386,5.795616604163906,4.7204942654009456e-09,59,0,-214.98870740377373,68.84334381256723,516.5101468245595,-278.206922808332,1131.4754936567945,287.13655457433913,-516.8261612560315,-456.1935841891325
306,68,design_000068,support_random,200.0,True,0.022539310111376692,0.014658330763343306,-2802.117927629176,-0.09278382734681517,7598006543651.759,2.0820412754246442,28.211265111290498,7.76802469510614e-09,42,0,545.1261509617154,-2.5652649403006365,1368.8918333365923,452.11978630035196,-284.1045050174538,9.407174260141218,267.0440813752943,79.90861010344568
307,450,design_000450,upstream_focused,200.0,True,0.02259172016042078,0.013559209678790414,-24.060254914995532,-0.08906640035163059,19129.290490220654,1.2649999025498948,15.388354466777653,8.119241673724453e-09,14,0,402.06460501440756,240.35443652380116,-168.66454412546597,185.07435543415988,-158.56865593946537,-276.303674261649,218.27251113319733,-558.0543227561523
