design_index,design_id,source_time_index,day,formulation,solver,preconditioner,convergence,coarse_convergence,fine_convergence,physical_relative_residual,coarse_physical_relative_residual,fine_physical_relative_residual,gauge_residual,compatibility_residual,a_tan,a_full,lower_bound_pass,coarse_action,fine_action,grid_relative_change,grid_refinement_pass,iteration_count,condition_proxy,log10_condition_proxy,minimum_log_q_mass,maximum_log_q_mass,log_q_range,unrepresentable_equilibrated_coefficient_count,accepted,density_floored_clipped_thresholded_or_truncated,final_test_accessed
88,design_000088,180,45.0,divided_log_density_central_difference,row-equilibrated sparse solve,none,False,True,False,inf,0.291006487123963,inf,nan,3.8854370363714924e-11,56213.23682203578,nan,False,357423.4025967089,nan,inf,False,0,inf,1275.9317008612109,-2947.865413531367,-9.92409944980447,2937.9413140815623,0,False,False,False
88,design_000088,180,45.0,cosine_ritz_variational_mode_5,dense eigensolved Ritz normal equations,none,True,True,True,0.2879453973062961,0.27668998200210154,0.2879453973062961,-2.752397653216195e-10,3.8854370363714924e-11,56213.23682203578,341045.1142151258,True,341045.2091877891,341045.1142151258,2.7847536694597446e-07,True,1,4395.839674594444,3.6430418444182697,-2947.865413531367,-9.92409944980447,2937.9413140815623,,False,False,False
138,design_000138,0,0.0,native_unfloored_ic0_pcg_baseline,native PCG,native IC(0),False,False,False,78056.00192398492,18876.11005555117,78056.00192398492,26428.571428571355,5.091576037741954e-09,93967.09452103483,1.0591878539806093e+19,True,2.1222994909828837e+19,1.0591878539806093e+19,1.0037045204086497,False,1200,4.49423283715579e+307,307.6526555685888,-299831.2886150896,-2.9496774897348956,299828.33893759985,,False,False,False
138,design_000138,0,0.0,equilibrated_log_conductance_finite_volume,row-equilibrated sparse solve,not attempted,False,False,False,inf,inf,inf,nan,5.091576037741954e-09,93967.09452103483,nan,False,nan,nan,inf,False,0,inf,610.3273948194726,-299831.2886150896,-2.9496774897348956,299828.33893759985,222808,False,False,False
138,design_000138,0,0.0,divided_log_density_central_difference,row-equilibrated sparse solve,none,False,True,False,inf,2205.1429145762195,inf,nan,5.091576037741954e-09,93967.09452103483,nan,False,256106269311.7694,nan,inf,False,0,inf,130213.7931188175,-299831.2886150896,-2.9496774897348956,299828.33893759985,0,False,False,False
138,design_000138,0,0.0,cosine_ritz_variational_mode_5,dense eigensolved Ritz normal equations,none,True,True,True,91.57366832977488,244.80316350370276,91.57366832977488,5.7078313907288216e-05,5.091576037741954e-09,93967.09452103483,18730728653.356106,True,154051531186.42346,18730728653.356106,7.224534882620333,False,1,437021815974.6313,11.640503117338643,-299831.2886150896,-2.9496774897348956,299828.33893759985,,False,False,False
138,design_000138,10,2.5,native_unfloored_ic0_pcg_baseline,native PCG,native IC(0),False,False,False,440203.26852870866,726271.5436291962,440203.26852870866,-32653.061224489782,3.2144233009409605e-13,2752032.439408802,5.027536894049435e+20,True,9.586651293233973e+20,5.027536894049435e+20,0.9068286310500635,False,1200,4.49423283715579e+307,307.6526555685888,-289348.412200356,-4.591353279210668,289343.82084707683,,False,False,False
138,design_000138,10,2.5,equilibrated_log_conductance_finite_volume,row-equilibrated sparse solve,not attempted,False,False,False,inf,inf,inf,nan,3.2144233009409605e-13,2752032.439408802,nan,False,nan,nan,inf,False,0,inf,7676.24134728458,-289348.412200356,-4.591353279210668,289343.82084707683,86884,False,False,False
138,design_000138,10,2.5,divided_log_density_central_difference,row-equilibrated sparse solve,none,False,True,False,inf,0.831000504786496,inf,nan,3.2144233009409605e-13,2752032.439408802,nan,False,32036192.897161603,nan,inf,False,0,inf,125660.42476668853,-289348.412200356,-4.591353279210668,289343.82084707683,0,False,False,False
138,design_000138,10,2.5,cosine_ritz_variational_mode_5,dense eigensolved Ritz normal equations,none,True,True,True,10.804877213649583,9.094518233665662,10.804877213649583,5.476517544278551e-06,3.2144233009409605e-13,2752032.439408802,483043782.6213012,True,849676707.3693926,483043782.6213012,0.7590055765928903,False,1,384910284219.60913,11.585359514940158,-289348.412200356,-4.591353279210668,289343.82084707683,,False,False,False
138,design_000138,40,10.0,native_unfloored_ic0_pcg_baseline,native PCG,native IC(0),False,True,False,1.2326147191813403e-08,9.391307419359388e-09,1.2326147191813403e-08,4.6402790906782036e-11,1.5443863223441559e-15,2820598.5442881733,3504165.510493713,True,3497525.7553203916,3504165.510493713,0.0018948177971153685,True,1200,4.49423283715579e+307,307.6526555685888,-50563.41257992685,-7.563846326816571,50555.84873360003,,False,False,False
138,design_000138,40,10.0,equilibrated_log_conductance_finite_volume,row-equilibrated sparse solve,not attempted,False,False,False,inf,inf,inf,nan,1.5443863223441559e-15,2820598.5442881733,nan,False,nan,nan,inf,False,0,inf,7462.41199941588,-50563.41257992685,-7.563846326816571,50555.84873360003,8579,False,False,False
138,design_000138,40,10.0,divided_log_density_central_difference,row-equilibrated sparse solve,none,False,True,False,inf,0.16742092660330515,inf,nan,1.5443863223441559e-15,2820598.5442881733,nan,False,3504054.309587218,nan,inf,False,0,inf,21956.126132937996,-50563.41257992685,-7.563846326816571,50555.84873360003,0,False,False,False
138,design_000138,40,10.0,cosine_ritz_variational_mode_5,dense eigensolved Ritz normal equations,none,True,True,True,0.728789534784408,0.7033290023023491,0.728789534784408,3.2641549700709375e-07,1.5443863223441559e-15,2820598.5442881733,3286101.7922345675,True,3285957.251197902,3286101.7922345675,4.398556277441147e-05,True,1,463986196204.5222,11.666505060293286,-50563.41257992685,-7.563846326816571,50555.84873360003,,False,False,False
138,design_000138,90,22.5,native_unfloored_ic0_pcg_baseline,native PCG,native IC(0),False,False,False,2.1148156974052574e-08,1.3208825130365767e-08,2.1148156974052574e-08,1.6240976817373722e-10,1.2776521669900931e-15,130481.47312389973,596367.7936777861,True,596008.5999254516,596367.7936777861,0.0006023023981885912,True,1200,4.49423283715579e+307,307.6526555685888,-6593.56782026713,-8.665563063881741,6584.902257203248,,False,False,False
