design_id,style,sigma_km,validation_mmd_risk,bootstrap_risk_se,minimum_ess_fraction,median_ess_fraction,worst_covariance_condition_raw,worst_covariance_condition_regularized,minimum_covariance_eigenvalue,projection_failure_count,conditioning_warning_count,mean_projection_kl,max_moment_residual,max_native_iterations,feasible,s1_x_km,s1_y_km,s2_x_km,s2_y_km,s3_x_km,s3_y_km,s4_x_km,s4_y_km
design_000413,lateral_discriminating,200.0,0.024992466,0.012955951,0.005088906560091791,0.8753452897081911,27968.210108147072,26111.029296840294,1.4058959223506265e-08,2,0,0.6201352417235234,0.25570921752487275,200,False,1.8889204277419935,-529.824736017374,162.23028716825914,-266.7693123669666,-87.36406332808912,201.44508435481185,265.67571770762345,529.4637215428804
design_000071,support_random,200.0,0.02500921,0.008344878,0.006177674433775767,0.637964499789154,411006.55679645814,408687.9648902493,1.7626515636315178e-07,1,0,0.8170842277923894,0.3393103930826988,200,False,-283.41606855366103,179.1338036489136,101.36634916474186,80.2801367393371,12.123744165931143,-324.50470217051367,-170.84379178627947,-107.67393741028472
design_000227,longitudinal_stratified,200.0,0.025051115,0.014286752,0.01146834260166525,0.8831998277366058,6567912876.314316,123718948.23468305,3.880821961553447e-12,3,1,0.4524640911141777,0.21784746260836585,200,False,-228.63769912687246,-324.48035104888436,212.29187739655907,-306.55764781328946,372.3218188733915,281.8330690550018,807.642757357101,227.96820694645425
design_000222,longitudinal_stratified,200.0,0.025102561,0.011142451,0.025817442018774776,0.7855753393944124,157228476185.87128,21036816.77592581,1.2996043483613374e-13,3,2,0.3539247075328854,0.3245199823955166,200,False,-150.24352263395076,-535.8809781943629,7.711279408873963,37.69573579783611,461.06456220401276,278.8170451375899,907.1060080742924,186.0227177233907
design_000213,support_random,200.0,0.025152797,0.01155496,0.005530524203995326,0.7668752086250127,135636448518209.95,24580818.699909035,3.5390684677863146e-17,4,3,0.8647863025754062,0.45683041819129616,200,False,172.2535759460133,-105.18511204709733,993.8705260835785,327.56729490406235,363.62381527396224,-296.2570201832035,713.6728147517761,267.24505821957786
design_000284,longitudinal_stratified,200.0,0.025189806,0.01548426,0.010162583550012604,0.9082793411159689,2833763828939011.0,17768386.147352137,6.233846660575276e-18,4,2,0.6285383704265857,0.40203206365490873,200,False,-17.333552628001428,-417.79136762497774,276.79154227098115,308.4781657058557,472.32199102870425,108.28261859360292,1062.168652105625,141.93973086219708
design_000432,upstream_focused,200.0,0.025429811,0.012464613,0.011349753996377028,0.5905673721836874,8171736.425339133,6562647.316268742,4.078485323948365e-09,2,0,0.49220038583429987,0.4211379749262122,200,False,-240.16156305093187,-345.01811881965284,713.7145869949088,15.6199880140897,105.81291104334349,193.30203313129743,252.9641734155498,516.9492829709657
design_000266,longitudinal_stratified,200.0,0.025683673,0.0067356494,0.014209169961264407,0.7104577857060864,8929979663424.53,34617254.5126745,3.86425448980217e-15,4,2,0.5230004136342598,0.4521975061928505,200,False,-25.469140101883564,-371.35338958910285,2.4431079128747086,-117.48134637807337,440.8869367422368,230.69349759015176,908.6323145675535,280.590038802191
design_000270,longitudinal_stratified,200.0,0.025690794,0.007877493,0.007591422213638246,0.5399482769292533,6.32857226252768e+25,62415750.75039307,2.338352219003863e-28,5,4,0.9999954199667751,0.5552861634041371,200,False,-111.73995685969773,-81.21814017480146,231.30068792090475,240.18507724823678,397.15539725701734,-122.14969218521244,1446.9208275722465,183.32294728345414
design_000024,support_random,200.0,0.025707468,0.007167364,0.005016107271344471,0.6857490020630485,3517385.3740839036,1426625.310603422,1.5199933661711752e-10,2,0,0.8306551481959596,0.43047985663392624,200,False,-258.11972822138506,91.62502827987011,590.111246055697,-251.91555578213104,-79.5955944611205,-282.6347876451688,42.823368268840056,52.631488123479045
design_000143,support_random,200.0,0.02571777,0.011019693,0.005020177633234248,0.6343087062019617,6.920443812227478e+20,125119341.67719369,1.5062467640671325e-23,5,4,0.7394921927496865,0.60685991855363,200,False,94.4306613319857,36.332272005087916,465.16333226355624,327.9457440623564,768.2552274120294,157.2605754669856,1307.8701455919713,-1.3310304349608657
design_000426,upstream_focused,200.0,0.025728632,0.014236842,0.01059199823698463,0.4070161533451272,21821.830101228767,21807.328933746478,1.503763676985467e-06,1,0,0.7118526308552844,0.15829678721566517,200,False,257.54697709322693,-493.7819396661851,-172.8265990014363,-88.55172565153435,-34.27939088086055,135.0361560026763,-153.18584240711215,551.5460437459371
design_000274,longitudinal_stratified,200.0,0.025854444,0.010898928,0.005028801331486904,0.782338971836298,5.7254677470882515e+17,19287802.45127163,3.368773051202745e-20,4,4,1.0681770787944245,0.5895515840969344,200,False,-407.1082122371125,-46.84260533630014,87.64729437929695,194.4212177554416,417.63535578826895,159.8731455996754,1184.4254297500697,-5.690253257117371
design_000105,support_random,200.0,0.025873046,0.008367671,0.005301340066649889,0.5983076702117188,5.245988290011243e+298,52459883.90012932,-3.0931351670178494e-21,4,3,1.1056447448768856,0.3003718260781598,200,False,147.8042441776338,83.51785295900532,-115.43589902893751,210.88198995441678,1292.2236992475844,95.15121743213342,-77.4785637231395,-101.69515405203973
design_000278,longitudinal_stratified,200.0,0.025876755,0.0066818865,0.00543502748281173,0.6085631800498896,37664977433429.15,18951105.589274064,3.9333104020865355e-16,4,2,0.5759219486974348,0.6699718665313427,200,False,-32.694172721081515,-87.82704034236579,286.8709490695334,222.46616735122254,484.208976692644,-118.0150380512115,977.4759643363352,304.3049140221627
design_000455,upstream_focused,200.0,0.026287338,0.012700785,0.014054177885206133,0.6949310019214759,813223939.794409,36520168.27017535,4.701942826736474e-11,3,1,0.5226774972607307,0.3202489405328016,200,False,58.846573049407084,455.6691072984322,-125.71555520931554,-211.10084390419803,640.2445355803884,-569.2324162375401,724.5691499682871,349.576825764844
design_000067,support_random,200.0,0.026458282,0.010225281,0.005009605211928118,0.6901626275571272,1.275240981312348e+19,134025603.08329332,2.6813009546227352e-21,4,4,1.0655275506489212,0.5356906577133946,200,False,-92.27995079498882,247.2147164595969,124.45653291837365,-15.093775594919094,610.6321290884059,-248.79799935714072,1228.7796158443666,31.747861270196683
design_000028,support_random,200.0,0.026481723,0.010026888,0.010876449530785079,0.6978562756975613,1338729743349788.0,173130737.06729066,1.875302729725181e-17,4,4,0.5609108074782224,0.40560198256175184,200,False,44.757072070298435,52.98390125844814,-79.4666521218852,-478.5462555386335,765.9588651061922,180.61807698783736,1117.7099218291676,-69.72290530714787
design_000043,support_random,200.0,0.026599366,0.015531946,0.005863215906200226,0.901146320919972,120308819203026.94,53368847.680300504,5.337483487452661e-17,4,4,0.7955543963803213,0.2953630569629646,200,False,519.0528185762851,553.6177178591208,-328.984816987096,92.69749317256642,1017.9631037187127,193.9891703649589,750.9143064262234,260.6780407411358
design_000171,support_random,200.0,0.026626917,0.007890043,0.011831106074975842,0.8071748925750405,4.935720980242308e+21,185844300.6361102,8.293982977202874e-24,4,5,0.38476006414619945,0.34114104867825457,200,False,-53.31720838841308,-374.3798092037546,-88.78968855022119,25.835307013983766,1345.3210677706568,-245.64161063093465,959.5570037686642,385.450266992233
