repeat,design_id,style,validation_mmd_risk,feasible,projection_failure_count,minimum_ess_fraction,max_moment_residual,failure_reason_counts
1,design_000120,support_random,0.06107099,False,6,0.005014487400832946,0.7795344358785176,"{""coordinate_support_infeasible"": 5, ""low_ess"": 3, ""moment_residual"": 6, ""native_nonconvergence"": 6}"
1,design_000121,support_random,0.053882185,False,6,0.005029914999907676,0.7724585133833259,"{""coordinate_support_infeasible"": 4, ""low_ess"": 4, ""moment_residual"": 6, ""native_nonconvergence"": 6}"
1,design_000122,support_random,0.08696686,False,8,0.012521282586895294,0.2678236412667674,"{""coordinate_support_infeasible"": 3, ""low_ess"": 1, ""moment_residual"": 8, ""native_nonconvergence"": 8}"
1,design_000123,support_random,0.14524765,False,7,0.005000072324058109,0.5978862493349432,"{""coordinate_support_infeasible"": 4, ""low_ess"": 6, ""moment_residual"": 5, ""native_nonconvergence"": 5}"
1,design_000124,support_random,0.07614571,False,7,0.010515675510591974,0.6569848026204471,"{""coordinate_support_infeasible"": 5, ""low_ess"": 3, ""moment_residual"": 7, ""native_nonconvergence"": 7}"
1,design_000125,support_random,0.054642025,False,4,0.03960970891908718,0.6876233978811334,"{""coordinate_support_infeasible"": 2, ""moment_residual"": 4, ""native_nonconvergence"": 4}"
1,design_000126,support_random,0.03851486,False,3,0.06682015125900959,0.5268196521251401,"{""coordinate_support_infeasible"": 2, ""moment_residual"": 3, ""native_nonconvergence"": 3}"
1,design_000127,support_random,0.0737657,False,6,0.005001630433550019,0.7129320673897275,"{""coordinate_support_infeasible"": 2, ""low_ess"": 4, ""moment_residual"": 5, ""native_nonconvergence"": 5}"
1,design_000128,support_random,0.02243584,False,2,0.005167479646060395,0.2586410006225914,"{""coordinate_support_infeasible"": 1, ""low_ess"": 1, ""moment_residual"": 2, ""native_nonconvergence"": 2}"
1,design_000129,support_random,0.08913047,False,7,0.0051730968579000326,0.6655994006289191,"{""coordinate_support_infeasible"": 6, ""low_ess"": 6, ""moment_residual"": 7, ""native_nonconvergence"": 7}"
1,design_000130,support_random,0.034964472,False,3,0.0063023036943173115,0.6272467820404233,"{""coordinate_support_infeasible"": 2, ""low_ess"": 1, ""moment_residual"": 3, ""native_nonconvergence"": 3}"
1,design_000131,support_random,0.074799076,False,6,0.005013778579137917,0.6823339945806319,"{""coordinate_support_infeasible"": 5, ""low_ess"": 3, ""moment_residual"": 6, ""native_nonconvergence"": 6}"
1,design_000132,support_random,0.043474644,False,5,0.010618925652580756,0.47215424004511725,"{""coordinate_support_infeasible"": 4, ""low_ess"": 1, ""moment_residual"": 5, ""native_nonconvergence"": 5}"
1,design_000133,support_random,0.1268818,False,8,0.005023570491324657,0.7764147323174829,"{""coordinate_support_infeasible"": 7, ""low_ess"": 5, ""moment_residual"": 8, ""native_nonconvergence"": 8}"
1,design_000134,support_random,0.2268418,False,13,0.0052183889929784295,0.8307936564222655,"{""coordinate_support_infeasible"": 2, ""low_ess"": 3, ""moment_residual"": 13, ""native_nonconvergence"": 13}"
1,design_000135,support_random,0.10134259,False,7,0.005286595725374574,0.8719755771298371,"{""coordinate_support_infeasible"": 6, ""low_ess"": 3, ""moment_residual"": 7, ""native_nonconvergence"": 7}"
1,design_000136,support_random,0.05149969,False,5,0.005019523715069606,0.2359494176293639,"{""coordinate_support_infeasible"": 4, ""low_ess"": 1, ""moment_residual"": 5, ""native_nonconvergence"": 5}"
1,design_000137,support_random,0.03348291,False,8,0.005000000411576601,0.4779755701895396,"{""coordinate_support_infeasible"": 7, ""low_ess"": 2, ""moment_residual"": 7, ""native_nonconvergence"": 7}"
1,design_000138,support_random,0.043088146,False,3,0.014407790034925391,0.7898980902202075,"{""coordinate_support_infeasible"": 2, ""low_ess"": 1, ""moment_residual"": 3, ""native_nonconvergence"": 3}"
