design_index,design_id,source_time_index,day,production_case_valid,diagnostic_reasons,full_action_density,tangent_action_density,log_action_robust_z_score,maximum_relative_rank_action_change,scaled_weak_relative_residual,compatibility_relative_residual,adaptive_quadrature_required,adaptive_quadrature_valid,density_modified,operator_floor,final_test_accessed
192,design_000192,13,3.2499999999999996,False,rank_sensitivity,28169131.868433073,4458754.878652863,1.5328053626124434,0.06531583604687848,6.379599065412183e-20,1.2370888796418604e-16,False,False,False,0.0,False
192,design_000192,14,3.5,False,rank_sensitivity,15204407.17265439,903391.4944829708,0.6906559048082466,0.055301253019168446,6.688227519607447e-25,4.289593572660379e-16,False,False,False,0.0,False
192,design_000192,15,3.75,False,rank_sensitivity,8712209.536933698,92333.9554345914,0.013265161230234161,0.05678599787547203,9.045574553906011e-21,1.9937169613496883e-15,False,False,False,0.0,False
192,design_000192,16,4.0,False,rank_sensitivity,5503155.532159407,176397.80956675904,0.6923047644369953,0.052971983566749564,2.758209279034285e-22,2.6678845035299824e-15,False,False,False,0.0,False
192,design_000192,28,7.0,False,rank_sensitivity,5971669.024722909,3872035.698805957,0.2489289243404312,0.050142219142967785,4.1100974953246254e-20,3.4453222042346723e-16,False,False,False,0.0,False
193,design_000193,13,3.2499999999999996,False,rank_sensitivity,125091348.68962997,5953904.346110227,3.405333223353353,0.0921742034549546,2.681865545141389e-22,1.453697191981455e-15,False,False,False,0.0,False
193,design_000193,14,3.5,False,rank_sensitivity,118392617.29240884,11296679.208547084,3.1258697965410143,0.09585621674265733,9.539612305135604e-22,1.6172186806831061e-15,False,False,False,0.0,False
193,design_000193,30,7.5,False,tangent_full_inequality,22253798.971670482,42476648.487575494,0.9747042097552635,0.02639283360290073,2.1721520780049044e-22,2.707852155194241e-15,False,False,False,0.0,False
193,design_000193,31,7.75,False,rank_sensitivity,20541269.257739373,6597829.780663722,1.3094684392760032,0.06986687943659804,0.0,9.317737615086628e-16,False,False,False,0.0,False
193,design_000193,32,8.0,False,rank_sensitivity,16338658.682323854,4131538.424700316,0.7899774484099471,0.0503420360082662,1.1625680798312886e-22,9.768809853904177e-16,False,False,False,0.0,False
202,design_000202,14,3.5,False,rank_sensitivity,225195396.8656859,75012611.08237995,3.8887494322900213,0.7544163653115227,9.17516346026875e-21,1.1345716211361925e-15,False,False,False,0.0,False
202,design_000202,15,3.75,False,rank_sensitivity,53600500.048275866,33184628.227182586,2.2122787395777896,0.41052726612755436,1.671456039646155e-20,3.000039799503338e-15,False,False,False,0.0,False
202,design_000202,16,4.0,False,rank_sensitivity,29788209.95227651,16807901.477438964,1.6439834899557486,0.157582554789922,2.2163266444776326e-24,7.807666440991215e-16,False,False,False,0.0,False
202,design_000202,30,7.5,False,rank_sensitivity,25345224.253743157,3730651.8610761883,1.090126817699492,0.19656726978718164,2.2595787128695892e-20,3.696335856955528e-17,False,False,False,0.0,False
216,design_000216,11,2.75,False,rank_sensitivity,3058668.4322857033,399906.6042573708,1.1239772006536202,0.053719092264344626,4.0509123461313344e-21,5.704769105193591e-15,False,False,False,0.0,False
216,design_000216,30,7.5,False,rank_sensitivity,194004223.85059518,11397582.397895873,2.896113866022453,0.17907435935304927,1.180178043897535e-20,9.358933991790308e-17,False,False,False,0.0,False
221,design_000221,8,2.0,False,rank_sensitivity,32395564.234409362,8088966.346888982,0.7578353114624113,0.20697641678483927,1.663046318317393e-20,5.359279114070559e-15,True,True,False,0.0,False
221,design_000221,13,3.2499999999999996,False,rank_sensitivity,5132870.940513444,917547.1720914963,0.605681798459242,0.053956487371288366,1.6243865175803745e-21,6.366649048420562e-16,False,False,False,0.0,False
