design_index,design_id,dense_target_range_valid,dense_target_joint_feasible,domain_grid_hull_maximum_violation,domain_grid_worst_target_lp_linf_residual,domain_grid_resolution,minimum_smoothed_moment,maximum_smoothed_moment,minimum_raw_moment,classification,failure_reason
245,design_000245,True,True,-0.00041137339085480667,5.551115123125783e-17,128x68,0.0010108909884009355,0.7163853636971383,0.0002100417135723889,pending_dense_projection,
340,design_000340,True,True,-6.696928589051325e-07,5.551115123125783e-17,128x68,7.397572019833325e-07,0.7995896789265617,2.60818146314887e-08,pending_dense_projection,
55,design_000055,True,True,-9.461409303741552e-08,3.832360865182679e-18,128x68,4.561924921143831e-08,0.71546284881999,7.361490334307913e-10,pending_dense_projection,
224,design_000224,True,True,-1.7556159281599018e-05,1.1102230246251565e-16,128x68,1.952028541565148e-05,0.6697783697764358,1.6631941635818762e-06,pending_dense_projection,
56,design_000056,True,True,-0.00037999326732312687,3.3306690738754696e-16,128x68,0.0008683267089427201,0.6897659516133826,0.0001687778168276715,pending_dense_projection,
252,design_000252,True,True,-1.5364761082814122e-05,1.3877787807814457e-16,128x68,2.190616121161205e-05,0.6681293071358525,1.7971670076284466e-06,pending_dense_projection,
88,design_000088,True,True,-4.145412007001429e-05,1.1102230246251565e-16,128x68,6.564790006799701e-05,0.8766622631286503,9.55966164788239e-06,pending_dense_projection,
343,design_000343,True,True,-6.363320912655786e-09,5.624007847607957e-10,128x68,9.339793057561142e-10,0.8833356818524564,5.4382024185466355e-12,pending_dense_projection,
332,design_000332,True,True,-6.044775643007531e-09,1.5373320821381666e-10,128x68,3.3524816746582184e-10,0.6806184392332503,1.4040017118967986e-12,pending_dense_projection,
326,design_000326,True,True,-9.541460015852901e-08,3.469446951953614e-18,128x68,4.823092753333085e-08,0.8528581059183036,7.955026113486462e-10,pending_dense_projection,
59,design_000059,True,True,-6.406881068960143e-09,4.907613257976455e-10,128x68,6.865105426698371e-10,0.8887080011483398,3.2725124779687633e-12,pending_dense_projection,
192,design_000192,True,True,-0.001523991543525732,5.551115123125783e-17,128x68,0.0033397943457349655,0.6228626066948547,0.0008773852583698713,pending_dense_projection,
31,design_000031,True,True,-5.5569500663359415e-09,1.2063961885170981e-12,128x68,3.3652726916915126e-12,0.8954122327370055,3.561603481417193e-15,pending_dense_projection,
329,design_000329,True,True,-9.16275420362511e-09,8.474496791546998e-12,128x68,3.390734576689762e-09,0.6801809199460642,2.8468516700683758e-11,pending_dense_projection,
0,design_000000,True,True,-5.6601977970470816e-08,5.605468649029118e-11,128x68,6.36099899832865e-11,0.7235632486122247,1.8613074375235746e-13,pending_dense_projection,
331,design_000331,True,True,-1.274189581570148e-05,7.216449660063518e-16,128x68,1.703567093510705e-05,0.7988667917736425,1.3150707429304738e-06,pending_dense_projection,
318,design_000318,True,True,-1.0211377677632494e-08,7.927455781145455e-13,128x68,5.4055949819358334e-09,0.7687930566868205,5.6205572573331157e-11,pending_dense_projection,
162,design_000162,True,True,-5.092090954005373e-05,1.1102230246251565e-16,128x68,7.046691261684501e-05,0.6980954307100176,8.56714963830253e-06,pending_dense_projection,
161,design_000161,True,True,-3.775863018184001e-07,1.1102230246251565e-16,128x68,4.903906626037407e-07,0.6793974711409477,2.0407910295013923e-08,pending_dense_projection,
105,design_000105,True,True,-5.768647466306001e-08,2.147553991663115e-12,128x68,5.105667611543956e-09,0.8726518926638042,4.7388466143140875e-11,pending_dense_projection,
322,design_000322,True,True,-2.372119568478104e-07,9.71445146547012e-17,128x68,2.6615028285369423e-07,0.8551560050230017,7.439674199936882e-09,pending_dense_projection,
276,design_000276,True,True,-5.935192835627587e-09,2.5822262082317096e-10,128x68,5.615563446952718e-11,0.3459135209552441,1.4446825364130082e-13,pending_dense_projection,
176,design_000176,True,True,-5.747348922215847e-09,8.468232066985455e-11,128x68,6.019541262884407e-14,0.8634037482044796,1.8711302994071445e-17,pending_dense_projection,
223,design_000223,True,True,-2.0770828915036014e-08,5.303815913241009e-19,128x68,1.6503453067004708e-08,0.8624988040634837,2.0321289238319512e-10,pending_dense_projection,
