design_index,design_id,day,source_time_index,fully_grid_usable,validation_mmd2
15,design_000015,42.5,170,True,0.008094206116343794
15,design_000015,45.0,180,True,0.009427470231454568
16,design_000016,0.0,0,True,0.002042749138605097
16,design_000016,2.5,10,True,0.04772899103000218
16,design_000016,5.0,20,True,0.06804462853862397
16,design_000016,7.5,30,True,0.06449459415299856
16,design_000016,10.0,40,True,0.06801167440398849
16,design_000016,12.5,50,True,0.058846910283446074
16,design_000016,15.0,60,True,0.05852334218821399
16,design_000016,17.5,70,True,0.04781136710585253
16,design_000016,20.0,80,True,0.03787254558154188
16,design_000016,22.5,90,True,0.034509381094017126
16,design_000016,25.0,100,True,0.027804992428704628
16,design_000016,27.5,110,True,0.01836977605807948
16,design_000016,30.0,120,True,0.011105241423789814
16,design_000016,32.5,130,True,0.011075189066278508
16,design_000016,35.0,140,True,0.009599047260935602
16,design_000016,37.5,150,True,0.00930708336380087
16,design_000016,40.0,160,True,0.012148141526864385
16,design_000016,42.5,170,True,0.010882955806045612
16,design_000016,45.0,180,True,0.012375566489240847
17,design_000017,0.0,0,True,0.0023977281423108532
17,design_000017,2.5,10,True,0.009387021740129644
17,design_000017,5.0,20,True,0.05926077111691562
17,design_000017,7.5,30,True,0.10719430045408376
17,design_000017,10.0,40,True,0.032652535682192764
17,design_000017,12.5,50,True,0.008157679890592462
17,design_000017,15.0,60,True,0.011801813740896177
17,design_000017,17.5,70,True,0.011170846387997493
17,design_000017,20.0,80,True,0.008205218200854096
17,design_000017,22.5,90,True,0.010589798245726393
17,design_000017,25.0,100,True,0.009065743961168883
17,design_000017,27.5,110,True,0.006236853023918689
17,design_000017,30.0,120,True,0.003309926987054174
17,design_000017,32.5,130,True,0.001045877918862168
17,design_000017,35.0,140,True,0.002300478409968837
17,design_000017,37.5,150,True,0.0037895475458082292
17,design_000017,40.0,160,True,0.007586948635905701
17,design_000017,42.5,170,True,0.008148406258814252
17,design_000017,45.0,180,True,0.010300035412217837
18,design_000018,0.0,0,True,0.0020378958799727475
18,design_000018,2.5,10,True,0.020490422577308102
18,design_000018,5.0,20,True,0.0388255984414356
18,design_000018,7.5,30,True,0.04379388604691929
18,design_000018,10.0,40,True,0.03621066567705689
18,design_000018,12.5,50,True,0.01831564799809946
18,design_000018,15.0,60,True,0.01318625022823831
18,design_000018,17.5,70,True,0.006903415525895237
18,design_000018,20.0,80,True,0.0032021225098287226
18,design_000018,22.5,90,True,0.004792210847020598
18,design_000018,25.0,100,True,0.003971596933228929
18,design_000018,27.5,110,True,0.0038197620014545496
18,design_000018,30.0,120,True,0.0027031078188523234
18,design_000018,32.5,130,True,0.0026356488349261694
18,design_000018,35.0,140,True,0.0036193110846994975
18,design_000018,37.5,150,True,0.004606531518817252
18,design_000018,40.0,160,True,0.007750504936939519
18,design_000018,42.5,170,True,0.006975690657453437
18,design_000018,45.0,180,True,0.008213487884136682
19,design_000019,0.0,0,True,0.002225158921143071
19,design_000019,2.5,10,True,0.08963453795173419
19,design_000019,5.0,20,True,0.023575849834698497
19,design_000019,7.5,30,True,0.02317661218774391
19,design_000019,10.0,40,True,0.03316100580374221
19,design_000019,12.5,50,True,0.03562742959275862
19,design_000019,15.0,60,True,0.03773233403020501
19,design_000019,17.5,70,True,0.03117193962212022
19,design_000019,20.0,80,True,0.02587832185401371
19,design_000019,22.5,90,True,0.02638627405726602
19,design_000019,25.0,100,True,0.022834110100939213
19,design_000019,27.5,110,True,0.016007466242840433
19,design_000019,30.0,120,True,0.009349208104172859
19,design_000019,32.5,130,True,0.008734468960973917
19,design_000019,35.0,140,True,0.009050821487564278
19,design_000019,37.5,150,True,0.007639765090116915
19,design_000019,40.0,160,True,0.011279584893721207
19,design_000019,42.5,170,True,0.010364034996129118
