case,design_id,design_index,style,day,source_time_index,grid_nx,grid_ny,grid_point_count,dx_km,dy_km,exact_lp_success,exact_lp_verified_linf_residual,minimum_linf_residual,minimum_l2_residual_at_linf_solution,lp_active_weight_count,lp_maximum_weight
0,design_000017,17,support_random,2.5,10,256,136,34816,14.2578125,14.338235294117647,True,5.551115123125783e-17,1.1102230246251565e-16,1.2412670766236366e-16,5,0.5536873656706537
1,design_000024,24,support_random,2.5,10,256,136,34816,14.2578125,14.338235294117647,True,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,5,0.5514872419325144
2,design_000107,107,support_random,2.5,10,256,136,34816,14.2578125,14.338235294117647,True,9.921265198276075e-11,2.143738936366546e-10,2.143738936367769e-10,5,0.40625913322303514
3,design_000159,159,support_random,2.5,10,256,136,34816,14.2578125,14.338235294117647,True,2.925891479258703e-11,1.0029199115230679e-11,1.0029734592782179e-11,5,0.4361680510835949
4,design_000199,199,support_random,2.5,10,256,136,34816,14.2578125,14.338235294117647,True,3.434248186261768e-13,5.643563854536551e-11,5.643563854539281e-11,4,0.6415710253809611
5,design_000205,205,support_random,2.5,10,256,136,34816,14.2578125,14.338235294117647,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1103585416411912e-16,5,0.6731579480790516
6,design_000215,215,support_random,2.5,10,256,136,34816,14.2578125,14.338235294117647,True,2.7755575615628914e-17,1.1102230246251565e-16,1.1443916996305594e-16,5,0.41350359636697936
7,design_000279,279,longitudinal_stratified,2.5,10,256,136,34816,14.2578125,14.338235294117647,True,1.1102230246251565e-16,1.249000902703301e-16,1.2490746576431065e-16,5,0.5337084493315971
8,design_000321,321,longitudinal_stratified,2.5,10,256,136,34816,14.2578125,14.338235294117647,True,7.895540035001889e-11,1.2216213300455226e-10,1.2216213300455232e-10,4,0.5122300855685242
9,design_000392,392,lateral_discriminating,2.5,10,256,136,34816,14.2578125,14.338235294117647,True,1.3552527156068805e-20,1.3552527156068805e-20,1.3969781973725728e-20,5,0.4729025396302479
10,design_000403,403,lateral_discriminating,2.5,10,256,136,34816,14.2578125,14.338235294117647,True,1.1102230246251565e-16,6.938893903907228e-18,9.813077866773595e-18,5,0.3246580202283075
