design_index,design_id,day,source_time_index,refinement_level,quadrature_cell_count,minimum_cell_width_x_km,minimum_cell_width_y_km,converged,iterations,reported_residual,verified_l2_residual,verified_linf_residual,lambda_0,lambda_1,lambda_2,lambda_3,lambda_norm,kl_divergence,intrinsic_ess,log10_intrinsic_ess,covariance_min_eigenvalue,covariance_max_eigenvalue,covariance_condition_regularized,maximum_quadrature_weight,solver_name,accepted_moment_residual,relative_lambda_change_from_previous,relative_kl_change_from_previous,log10_intrinsic_ess_change_from_previous,projected_moment_linf_change_from_previous,stable_under_additional_refinement,refined_parent_cell_count,refined_projected_mass
188,design_000188,2.5,10,0,139264,7.12890625,7.169117647058823,True,3,1.8162641130582156e-09,1.8162641130582156e-09,1.8150944835902049e-09,-105857537.4831242,7.537897798909223,-1000000021.025398,8060.645534651487,1005587321.1003416,7.649981645308732,2.950202813269088e-262,-261.5301481271893,-3.472193939793216e-18,0.03223387624327673,3.2233876243276726e+298,0.004068371392470974,warm_start_covariance_trust_region,True,nan,nan,nan,nan,False,2216,0.9999001135665958
188,design_000188,2.5,10,1,145912,3.564453125,3.5845588235294117,True,3,1.815332411572315e-09,1.815332411572315e-09,1.8144231835493858e-09,-105857536.99770729,7.5378580336221646,-1000000053.2478004,8060.83540839679,1005587353.09261,7.651021424289054,2.7575704733366483e-262,-261.55947337977983,3.448728658399127e-18,0.032233250812204586,7245497149247062.0,0.0010299842833358594,warm_start_covariance_trust_region,True,3.204755676863097e-08,0.00013590067556479375,0.029325252590524542,1.285541811890667e-11,True,,
195,design_000195,2.5,10,0,139264,7.12890625,7.169117647058823,True,166,7.267730490671603e-10,7.267730490671603e-10,7.266740542632988e-10,12931.297193295046,597949.2294736028,-4130102562.473543,3.8246748446821934,4130102605.7788234,23.343267289156113,0.0,-373.244018885523,7.282659733777427e-19,0.023135550572498213,1.338656834589055e+16,0.006002197180304619,native_zero_start,True,nan,nan,nan,nan,False,2343,0.9999002889502162
195,design_000195,2.5,10,1,146293,3.564453125,3.5845588235294117,True,166,8.418236723359145e-10,8.418236723359145e-10,8.417091468260196e-10,12931.21069378332,597940.2515178436,-4129992834.2345304,3.824595494041227,4129992877.5396614,23.3432423607374,0.0,-373.24810928316595,7.272170469584164e-19,0.02313527128542948,1.3394536214293438e+16,0.0015293874972125631,native_zero_start,True,2.656862678305826e-05,1.0679072910660815e-06,0.004090397642926291,1.1503509256272082e-10,True,,
196,design_000196,2.5,10,0,139264,7.12890625,7.169117647058823,True,480,9.428705800408294e-10,9.428705800408294e-10,8.727267797326022e-10,-2354046721.888252,-19.042504135599504,2713.8198339263554,138.73223476979916,2354046721.88982,18.490124696680052,1.1667716232141286e-236,-235.93301414179865,1.2753730199654573e-19,0.0475547094639544,4.217573057649501e+16,0.008101748449899214,native_zero_start,True,nan,nan,nan,nan,False,3187,0.999900222488912
196,design_000196,2.5,10,1,148825,3.564453125,3.5845588235294117,True,2,3.179036054184472e-11,3.179036054184472e-11,2.9573524185089184e-11,-2354046721.8885355,-19.042529132670925,2713.819641713842,138.73231186364924,2354046721.890104,18.489997513339585,1.1668431379151425e-236,-235.9329875234891,1.2747788450088446e-19,0.04755465541378361,4.217790527646159e+16,0.002048623489087047,warm_start_covariance_trust_region,True,1.495936486029676e-13,6.878494189925359e-06,2.6618309561854403e-05,8.43153255547513e-10,True,,
210,design_000210,2.5,10,0,139264,7.12890625,7.169117647058823,True,4,7.447273023978435e-10,7.447273023978435e-10,7.44726691457601e-10,3634.6968801761777,-1000000019.8248535,-30.613361849147115,27.352328610412936,1000000019.8314599,11.33310515875059,0.0,-586.9285012559594,7.38594802987062e-19,0.01033497719756712,5944442707300575.0,0.016203893967633443,warm_start_covariance_trust_region,True,nan,nan,nan,nan,False,1580,0.9999005245925429
210,design_000210,2.5,10,1,144004,3.564453125,3.5845588235294117,True,2,8.011284083984097e-10,8.011284083984097e-10,7.435934201653497e-10,3634.6984214782433,-1000000020.8699524,-30.613197921116967,27.35216030235432,1000000020.8765588,11.3342831365993,0.0,-586.9291495651221,6.425577585679756e-19,0.010334779521790004,6291881955371928.0,0.0040978938738045634,warm_start_covariance_trust_region,True,1.0451000419341497e-09,0.00010393051192685226,0.0006483091626705573,2.573667524756462e-10,True,,
346,design_000346,2.5,10,0,139264,7.12890625,7.169117647058823,True,1287,9.966867846973514e-10,9.966867846973514e-10,7.766006171472384e-10,11.102954990363576,2.8275726125881198,2090.412110689387,-35716826065.544205,35716826065.544266,29.42793020130096,4.328175725595689e-95,-94.36369511502087,2.347882303295347e-21,0.05044733270047755,5.032916574289019e+16,0.008359153618936271,native_zero_start,True,nan,nan,nan,nan,False,2931,0.9999003535633297
346,design_000346,2.5,10,1,148057,3.564453125,3.5845588235294117,True,1287,9.973851581155462e-10,9.973851581155462e-10,7.771871063377844e-10,11.10290251495696,2.827559507548207,2090.407100135407,-35716043076.98385,35716043076.98391,29.42785887925855,4.312112469542612e-95,-94.36530992030166,2.347466171251329e-21,0.05044679099641437,5.032864620201027e+16,0.002183926249406193,native_zero_start,True,2.1922600963058886e-05,2.423623230678327e-06,0.001614805280780729,5.864891905460468e-13,True,,
373,design_000373,2.5,10,0,139264,7.12890625,7.169117647058823,True,4,3.137825479532052e-09,3.137825479532052e-09,3.13782016012168e-09,-1000000716.4016193,549949.5021835217,-19833.239476737574,1964.2797894123564,1000000867.8223348,3.2959079219278613,0.0,-624.6856429089589,1.0124140911982606e-18,1.981736140659936e-05,9847556471243.164,0.003564105589829066,warm_start_covariance_trust_region,True,nan,nan,nan,nan,False,2171,0.9999001384384821
373,design_000373,2.5,10,1,145777,3.564453125,3.5845588235294117,True,3,3.307039648814623e-09,3.307039648814623e-09,3.1405603581754076e-09,-1000001009.3553692,549811.0014173948,-19806.533050175374,1964.0594480993518,1000001160.6993518,3.293630753873032,0.0,-624.7397574395827,1.7910154059038243e-18,1.981813791529954e-05,7100690979125.127,0.0008988414671183374,warm_start_covariance_trust_region,True,3.251421199306248e-07,0.0006913853509995658,0.054114530623792234,1.0032691462270784e-09,True,,
380,design_000380,5.0,20,0,139264,7.12890625,7.169117647058823,True,184,9.918717567869887e-10,9.918717567869887e-10,9.681630006703155e-10,-4622974581.232318,312173.8538081742,2753.5511651768506,370.1408528074277,4622974591.773175,7.206249522794707,1.5626601956886625e-213,-212.80613545011994,1.7733785651341765e-19,4.429195749431478e-06,3762043091478.5596,0.004163755829865135,native_zero_start,True,nan,nan,nan,nan,False,4096,0.999343730120134
380,design_000380,5.0,20,1,151552,3.564453125,3.5845588235294117,True,180,8.435762848691224e-10,8.435762848691224e-10,8.231060793346089e-10,-4623321145.204405,312187.77562874276,2753.595896713607,370.20570041383644,4623321155.745412,7.206764968805384,1.4329568222935965e-213,-212.84376689552178,1.767707521805119e-19,4.430034926104696e-06,3764569197438.845,0.001031989279795667,native_zero_start,True,7.495996074939901e-05,7.152252264482615e-05,0.03763144540184271,1.450569213357067e-10,True,,
468,design_000468,2.5,10,0,139264,7.12890625,7.169117647058823,True,3,1.101330340362023e-09,1.101330340362023e-09,1.0986661565169632e-09,-183343614.02922553,-13072033.892178085,-1000000036.8568763,8654.054526202499,1016752591.6682103,9.164285990459012,3.8079954364849213e-243,-242.41930358074725,-2.9536104565262405e-21,0.00012826232278520362,128642281974395.6,0.005617923733893584,warm_start_covariance_trust_region,True,nan,nan,nan,nan,False,2195,0.9999000250878699
468,design_000468,2.5,10,1,145849,3.564453125,3.5845588235294117,True,3,1.1018437210165936e-09,1.1018437210165936e-09,1.099274466134332e-09,-183343626.36093184,-13072301.636321658,-1000000795.5139759,8654.098696175037,1016753343.4912944,9.163396668251604,3.792863051153597e-243,-242.4210328380781,2.4033275574478845e-20,0.0001282872115197837,125276409057914.69,0.0015519149780709796,warm_start_covariance_trust_region,True,7.913536360922864e-07,9.705158901277947e-05,0.0017292573308509418,1.3949184906117407e-11,True,,
472,design_000472,2.5,10,0,139264,7.12890625,7.169117647058823,True,3,3.8806462543569454e-09,3.8806462543569454e-09,3.08214663383502e-09,4052.15034498175,2324.4246626933204,-1000000002.303071,-342810.0376943674,1000000061.0733416,10.845580921868702,0.0,-468.3651487379851,1.5006885010207857e-25,0.0005015251991977941,501525123934496.4,0.003100695710496557,warm_start_covariance_trust_region,True,nan,nan,nan,nan,False,2282,0.9999000325279432
