design_index,design_id,bandwidth_low_days,bandwidth_nominal_days,bandwidth_high_days,observation_time_rmse,observation_time_maximum_absolute_error,minimum_reconstructed_moment,maximum_reconstructed_moment,maximum_absolute_derivative_per_normalized_time,derivative_all_finite,coarse_derivative_energy_per_day,refined_derivative_energy_per_day,temporal_grid_refinement_relative_energy_change
347,design_000347,0.5,0.75,1.0,0.0059400907435788386,0.0898990081640923,3.2520485546204683e-05,0.8596117531347873,5.497192214624335,True,0.0811175350028769,0.08114424135946734,0.0003291220195420949
14,design_000014,0.5,0.75,1.0,0.008025521776345556,0.12282716729174092,1.5723962852533378e-07,0.536618867088265,5.840896014488082,True,0.06755669536548643,0.06762079592962533,0.0009479415800667419
150,design_000150,0.5,0.75,1.0,0.005558021366826224,0.10478600366386565,1.0758194170406512e-09,0.6561972477142559,3.2963467240282815,True,0.036267629664165885,0.03628221856653248,0.0004020951017601546
193,design_000193,0.5,0.75,1.0,0.0010837814020562026,0.0054701295650188865,1.7038684005914632e-08,0.17744389245098238,1.604203956322475,True,0.009474603569550044,0.00947489958380308,3.124194092173792e-05
281,design_000281,0.5,0.75,1.0,0.004471507668207935,0.04031818994031207,4.732379879991057e-06,0.8787673290692821,5.4966167819319445,True,0.07152027913247945,0.07153043035679237,0.00014191476637678913
312,design_000312,0.5,0.75,1.0,0.0035939840107622007,0.04854749033347244,4.075260230220312e-06,0.4740702955522929,3.196380887778839,True,0.0356737742339711,0.03568404547314397,0.0002878384173287006
121,design_000121,0.5,0.75,1.0,0.002934984771290735,0.04066295799706317,7.937585116992255e-10,0.33333247317137027,3.4240283918301797,True,0.026561200496582494,0.0265691841204619,0.000300484344690795
241,design_000241,0.5,0.75,1.0,0.005651000108443222,0.10711544518576988,2.3444846672944075e-07,0.7671400174025101,3.680221346566015,True,0.038674363562743896,0.03868768013763174,0.0003442071181438423
245,design_000245,0.5,0.75,1.0,0.006568483764694633,0.09511571512508932,0.0010108909884009355,0.7163853636971383,6.532851778828141,True,0.08278879637774357,0.08283590581873893,0.0005687079839319857
224,design_000224,0.5,0.75,1.0,0.005420248895804083,0.06483803193963567,1.952028541565148e-05,0.6697783697764358,4.285000286355907,True,0.04576104576976779,0.04577799952445779,0.0003703472162635728
307,design_000307,0.5,0.75,1.0,0.006388383530375909,0.08387696047187415,4.419360868419465e-05,0.8669930350114162,6.393290862609584,True,0.09400461832400038,0.09404955870250056,0.0004778372075337338
182,design_000182,0.5,0.75,1.0,0.006372032066492579,0.1094099096996698,2.0923592531973634e-09,0.6445438415636175,6.322745064576599,True,0.06982404796239114,0.06986840216448953,0.0006348249097491592
56,design_000056,0.5,0.75,1.0,0.008836710565679478,0.1121188221940681,0.0008683267089427201,0.6897659516133826,6.1399354385581715,True,0.10390694299834798,0.10397259018723935,0.0006313893764996701
318,design_000318,0.5,0.75,1.0,0.006091719182436804,0.08937980327232764,5.4055949819358334e-09,0.7687930566868205,4.097054981471052,True,0.05421894967884741,0.054242518376804244,0.00043450596805091375
252,design_000252,0.5,0.75,1.0,0.006783258639197308,0.09372307832074367,2.190616121161205e-05,0.6681293071358525,4.87954398199815,True,0.08078971384038054,0.08082433762608003,0.00042838316670988527
340,design_000340,0.5,0.75,1.0,0.007785862377902058,0.11283172304948336,7.397572019833325e-07,0.7995896789265617,6.726342725741998,True,0.08751966580074703,0.08757602780143257,0.0006435779527855822
218,design_000218,0.5,0.75,1.0,0.004749390846112661,0.057324382343598046,0.00021813512664389467,0.8791265438485497,6.709409371490997,True,0.0794332662646486,0.07945902261348263,0.0003241463082087111
88,design_000088,0.5,0.75,1.0,0.005266150000251409,0.05528154804924523,6.564790006799701e-05,0.8766622631286503,6.512416284547757,True,0.07621799468223764,0.07625030601709391,0.00042375351056337
31,design_000031,0.5,0.75,1.0,0.003951570672997109,0.049199559570895945,3.3652726916915126e-12,0.8954122327370055,6.4223182775372365,True,0.07148817218031679,0.07150424725900195,0.0002248129209294786
343,design_000343,0.5,0.75,1.0,0.004654223305013874,0.05698071044003869,9.339793057561142e-10,0.8833356818524564,5.533264127505331,True,0.06336474851968373,0.06337891008435455,0.00022344285586442262
326,design_000326,0.5,0.75,1.0,0.006891811122944449,0.10577169133803721,4.823092753333085e-08,0.8528581059183036,6.079199211897582,True,0.09332074125124283,0.09335653186643066,0.00038337558682055947
