design_id,style,feasible_repeat_count,feasible_all_repeats,mean_valid_fold_risk,std_valid_fold_risk,repeat_0_risk,repeat_1_risk,repeat_2_risk,repeat_0_feasible,repeat_1_feasible,repeat_2_feasible
design_000082,support_random,0,False,nan,nan,0.04114913567900658,0.039541348814964294,0.05358371511101723,False,False,False
design_000083,support_random,0,False,nan,nan,0.03056183271110058,0.042392753064632416,0.036586809903383255,False,False,False
design_000084,support_random,0,False,nan,nan,0.03018028847873211,0.04908242076635361,0.058282412588596344,False,False,False
design_000085,support_random,0,False,nan,nan,0.03645290061831474,0.04532243683934212,0.039547163993120193,False,False,False
design_000086,support_random,0,False,nan,nan,0.021942127496004105,0.037738364189863205,0.023662669584155083,False,False,False
design_000087,support_random,0,False,nan,nan,0.04665038362145424,0.053187526762485504,0.06584736704826355,False,False,False
design_000088,support_random,0,False,nan,nan,0.02786281518638134,0.033503852784633636,0.030398964881896973,False,False,False
design_000089,support_random,0,False,nan,nan,0.031791362911462784,0.05952143669128418,0.056301601231098175,False,False,False
design_000090,support_random,0,False,nan,nan,0.03412489965558052,0.041996750980615616,0.03710164874792099,False,False,False
design_000091,support_random,0,False,nan,nan,0.024606311693787575,0.03839367628097534,0.028771478682756424,False,False,False
design_000092,support_random,0,False,nan,nan,0.043792299926280975,0.04947538301348686,0.1905302107334137,False,False,False
design_000093,support_random,0,False,nan,nan,0.08076582103967667,0.057614509016275406,0.035201240330934525,False,False,False
design_000094,support_random,0,False,nan,nan,0.024937327951192856,0.03307262435555458,0.023768775165081024,False,False,False
design_000095,support_random,0,False,nan,nan,0.07609766721725464,0.04993231222033501,0.047024186700582504,False,False,False
design_000096,support_random,0,False,nan,nan,0.10046656429767609,0.1030697450041771,0.12473756074905396,False,False,False
design_000097,support_random,0,False,nan,nan,0.041254330426454544,0.04579305276274681,0.044648606330156326,False,False,False
design_000098,support_random,0,False,nan,nan,0.020497983321547508,0.133026584982872,0.18525810539722443,False,False,False
design_000099,support_random,0,False,nan,nan,0.04279504716396332,0.04266875609755516,0.030674131587147713,False,False,False
design_000100,support_random,0,False,nan,nan,0.0689205601811409,0.029292624443769455,0.027856431901454926,False,False,False
design_000101,support_random,0,False,nan,nan,0.14723077416419983,0.09610502421855927,0.11792778968811035,False,False,False
design_000102,support_random,0,False,nan,nan,0.11474782228469849,0.0645519345998764,0.05332858860492706,False,False,False
design_000103,support_random,0,False,nan,nan,0.07014230638742447,0.045995041728019714,0.0445471815764904,False,False,False
design_000104,support_random,0,False,nan,nan,0.03959503397345543,0.09073406457901001,0.043891340494155884,False,False,False
design_000105,support_random,0,False,nan,nan,0.02587304636836052,0.035187751054763794,0.037071727216243744,False,False,False
design_000106,support_random,0,False,nan,nan,0.03935324400663376,0.04674386978149414,0.05989452451467514,False,False,False
design_000107,support_random,0,False,nan,nan,0.05025557056069374,0.07019826024770737,0.0656716376543045,False,False,False
design_000108,support_random,0,False,nan,nan,0.02377149648964405,0.048208825290203094,0.02572494186460972,False,False,False
design_000109,support_random,0,False,nan,nan,0.04313718527555466,0.05778994783759117,0.05026698857545853,False,False,False
design_000110,support_random,0,False,nan,nan,0.033027540892362595,0.035283975303173065,0.02571389451622963,False,False,False
design_000111,support_random,0,False,nan,nan,0.034658003598451614,0.041887883096933365,0.02242487482726574,False,False,False
design_000112,support_random,0,False,nan,nan,0.056726738810539246,0.05801840126514435,0.05921846255660057,False,False,False
design_000113,support_random,0,False,nan,nan,0.021778635680675507,0.026707621291279793,0.016342313960194588,False,False,False
design_000114,support_random,0,False,nan,nan,0.05045399069786072,0.04747544601559639,0.04059108346700668,False,False,False
design_000115,support_random,0,False,nan,nan,0.022486628964543343,0.028770849108695984,0.28028175234794617,False,False,False
design_000116,support_random,0,False,nan,nan,0.022277381271123886,0.039310649037361145,0.02605358324944973,False,False,False
design_000117,support_random,0,False,nan,nan,0.10363491624593735,0.09114184230566025,0.07133366912603378,False,False,False
design_000118,support_random,0,False,nan,nan,0.05383768305182457,0.05040778964757919,0.027123121544718742,False,False,False
design_000119,support_random,0,False,nan,nan,0.08085016906261444,0.0719405859708786,0.04669554904103279,False,False,False
design_000120,support_random,0,False,nan,nan,0.05826171487569809,0.061070989817380905,0.04594533517956734,False,False,False
design_000121,support_random,0,False,nan,nan,0.037714459002017975,0.053882185369729996,0.03246862068772316,False,False,False
design_000122,support_random,0,False,nan,nan,0.04663136973977089,0.0869668573141098,0.13591380417346954,False,False,False
design_000123,support_random,0,False,nan,nan,0.036473680287599564,0.1452476531267166,0.13239479064941406,False,False,False
design_000124,support_random,0,False,nan,nan,0.07451862841844559,0.0761457085609436,0.051956359297037125,False,False,False
design_000125,support_random,0,False,nan,nan,0.048672307282686234,0.054642025381326675,0.044304993003606796,False,False,False
design_000126,support_random,0,False,nan,nan,0.04674665257334709,0.03851485997438431,0.026328230276703835,False,False,False
design_000127,support_random,0,False,nan,nan,0.07401531934738159,0.07376570254564285,0.11267182976007462,False,False,False
design_000128,support_random,0,False,nan,nan,0.023217158392071724,0.022435840219259262,0.026580750942230225,False,False,False
design_000129,support_random,0,False,nan,nan,0.129611074924469,0.0891304686665535,0.10457239300012589,False,False,False
design_000130,support_random,0,False,nan,nan,0.03100663051009178,0.03496447205543518,0.03210342302918434,False,False,False
design_000131,support_random,0,False,nan,nan,0.0791604295372963,0.0747990757226944,0.08474055677652359,False,False,False
design_000132,support_random,0,False,nan,nan,0.04516619071364403,0.04347464442253113,0.03522695228457451,False,False,False
design_000133,support_random,0,False,nan,nan,0.0763179287314415,0.12688179314136505,0.09487135708332062,False,False,False
design_000134,support_random,0,False,nan,nan,0.09937231242656708,0.22684180736541748,0.29248908162117004,False,False,False
design_000135,support_random,0,False,nan,nan,0.1503985971212387,0.1013425886631012,0.06778695434331894,False,False,False
design_000136,support_random,0,False,nan,nan,0.032586924731731415,0.05149969086050987,0.03545883670449257,False,False,False
design_000137,support_random,0,False,nan,nan,0.03507198393344879,0.033482909202575684,0.0340278223156929,False,False,False
design_000138,support_random,0,False,nan,nan,0.035030122846364975,0.043088145554065704,0.030345972627401352,False,False,False
design_000139,support_random,0,False,nan,nan,0.027790671214461327,0.030638117343187332,0.023361144587397575,False,False,False
design_000140,support_random,0,False,nan,nan,0.031727179884910583,0.04298293963074684,0.05892529711127281,False,False,False
design_000142,support_random,0,False,nan,nan,0.026810159906744957,0.04122746363282204,0.037009965628385544,False,False,False
design_000143,support_random,0,False,nan,nan,0.02571777068078518,0.03030974045395851,0.03841502219438553,False,False,False
design_000144,support_random,0,False,nan,nan,0.05713966488838196,0.04088280722498894,0.03733161836862564,False,False,False
design_000145,support_random,0,False,nan,nan,0.051038116216659546,0.049697455018758774,0.043834932148456573,False,False,False
design_000146,support_random,0,False,nan,nan,0.018652046099305153,0.024485653266310692,0.016460835933685303,False,False,False
design_000147,support_random,0,False,nan,nan,0.07431723177433014,0.04855448380112648,0.08281710743904114,False,False,False
design_000148,support_random,0,False,nan,nan,0.028627505525946617,0.04140422120690346,0.026880180463194847,False,False,False
design_000149,support_random,0,False,nan,nan,0.03438444063067436,0.04347759485244751,0.04389574006199837,False,False,False
design_000150,support_random,0,False,nan,nan,0.024637212976813316,0.04578990861773491,0.03098616749048233,False,False,False
design_000151,support_random,0,False,nan,nan,0.036543238908052444,0.0346306674182415,0.03781510517001152,False,False,False
design_000152,support_random,0,False,nan,nan,0.023026693612337112,0.034927912056446075,0.03278161212801933,False,False,False
design_000153,support_random,0,False,nan,nan,0.04542838782072067,0.06645398586988449,0.05079234018921852,False,False,False
design_000154,support_random,0,False,nan,nan,0.027093961834907532,0.03642921522259712,0.0318203829228878,False,False,False
design_000155,support_random,0,False,nan,nan,0.045650333166122437,0.038949090987443924,0.032823752611875534,False,False,False
design_000156,support_random,0,False,nan,nan,0.13221217691898346,0.15955793857574463,0.12312900274991989,False,False,False
design_000157,support_random,0,False,nan,nan,0.036858174949884415,0.04537405073642731,0.04281048849225044,False,False,False
design_000158,support_random,0,False,nan,nan,0.04729093238711357,0.05020876228809357,0.035935286432504654,False,False,False
design_000159,support_random,0,False,nan,nan,0.058729857206344604,0.058297108858823776,0.04343252629041672,False,False,False
design_000160,support_random,0,False,nan,nan,0.04139207676053047,0.034573011100292206,0.03421749919652939,False,False,False
design_000161,support_random,0,False,nan,nan,0.029324233531951904,0.043350886553525925,0.03887832909822464,False,False,False
design_000162,support_random,0,False,nan,nan,0.03099079802632332,0.039458151906728745,0.03097587823867798,False,False,False
design_000163,support_random,0,False,nan,nan,0.042372383177280426,0.03564460575580597,0.02822890691459179,False,False,False
design_000164,support_random,0,False,nan,nan,0.05366869270801544,0.039047807455062866,0.039935532957315445,False,False,False
design_000165,support_random,0,False,nan,nan,0.045443639159202576,0.056676577776670456,0.08831509947776794,False,False,False
design_000166,support_random,0,False,nan,nan,0.09123390913009644,0.06494910269975662,0.07794006913900375,False,False,False
design_000167,support_random,0,False,nan,nan,0.05081040784716606,0.05449217930436134,0.033622294664382935,False,False,False
design_000168,support_random,0,False,nan,nan,0.033392809331417084,0.03662167116999626,0.025249958038330078,False,False,False
design_000169,support_random,0,False,nan,nan,0.048986658453941345,0.03153233602643013,0.03479287028312683,False,False,False
design_000170,support_random,0,False,nan,nan,0.021953031420707703,0.03051222302019596,0.023454876616597176,False,False,False
design_000171,support_random,0,False,nan,nan,0.026626916602253914,0.04383833706378937,0.04451695829629898,False,False,False
design_000172,support_random,0,False,nan,nan,0.0486174114048481,0.05926823616027832,0.060567039996385574,False,False,False
design_000173,support_random,0,False,nan,nan,0.08810792863368988,0.07263536751270294,0.06816136091947556,False,False,False
design_000174,support_random,0,False,nan,nan,0.06006808578968048,0.05436651408672333,0.055299531668424606,False,False,False
design_000175,support_random,0,False,nan,nan,0.0903768464922905,0.09463468194007874,0.07811310142278671,False,False,False
design_000176,support_random,0,False,nan,nan,0.032396167516708374,0.05826079845428467,0.0549718514084816,False,False,False
design_000177,support_random,0,False,nan,nan,0.04514668881893158,0.02892637811601162,0.03094486892223358,False,False,False
design_000178,support_random,0,False,nan,nan,0.03433948755264282,0.03587004542350769,0.016945013776421547,False,False,False
design_000179,support_random,0,False,nan,nan,0.06402255594730377,0.04565291851758957,0.05117851868271828,False,False,False
design_000180,support_random,0,False,nan,nan,0.04006843641400337,0.06343143433332443,0.3243637681007385,False,False,False
design_000181,support_random,0,False,nan,nan,0.018191592767834663,0.03328802064061165,0.02977307140827179,False,False,False
design_000182,support_random,0,False,nan,nan,0.026627734303474426,0.038606636226177216,0.0429498665034771,False,False,False
