case,design_id,design_index,style,day,source_time_index,original_failure_reason,original_newton_residual,nominal_particle_count,unique_reference_paths,duplicate_paths_collapsed,coordinate_support_margin,exact_lp_success,minimum_linf_residual,minimum_l2_residual_at_linf_solution,active_weight_count,maximum_weight,lp_status
7,design_000279,279,longitudinal_stratified,2.5,10,native_nonconvergence;moment_residual;coordinate_support_infeasible,0.35113001341074024,2000,200,1800,-0.0033672109987070977,False,0.005225746923713187,0.00905125919999075,3,0.5191499725836505,Optimization terminated successfully. (HiGHS Status 7: Optimal)
7,design_000279,279,longitudinal_stratified,2.5,10,native_nonconvergence;moment_residual;coordinate_support_infeasible,0.35113001341074024,10000,200,9800,-0.0033672109987070977,False,0.005225746923713187,0.00905125919999075,3,0.5191499725836505,Optimization terminated successfully. (HiGHS Status 7: Optimal)
7,design_000279,279,longitudinal_stratified,2.5,10,native_nonconvergence;moment_residual;coordinate_support_infeasible,0.35113001341074024,50000,200,49800,-0.0033672109987070977,False,0.005225746923713187,0.00905125919999075,3,0.5191499725836505,Optimization terminated successfully. (HiGHS Status 7: Optimal)
7,design_000279,279,longitudinal_stratified,2.5,10,native_nonconvergence;moment_residual;coordinate_support_infeasible,0.35113001341074024,200000,200,199800,-0.0033672109987070977,False,0.005225746923713187,0.00905125919999075,3,0.5191499725836505,Optimization terminated successfully. (HiGHS Status 7: Optimal)
8,design_000321,321,longitudinal_stratified,2.5,10,native_nonconvergence;moment_residual;low_ess;coordinate_support_infeasible,0.15423816859408265,2000,200,1800,-1.2149374565666934e-10,False,0.027353744043076306,0.03897314328007762,2,0.5259202491182952,Optimization terminated successfully. (HiGHS Status 7: Optimal)
8,design_000321,321,longitudinal_stratified,2.5,10,native_nonconvergence;moment_residual;low_ess;coordinate_support_infeasible,0.15423816859408265,10000,200,9800,-1.2149374565666934e-10,False,0.027353744043076306,0.03897314328007762,2,0.5259202491182952,Optimization terminated successfully. (HiGHS Status 7: Optimal)
8,design_000321,321,longitudinal_stratified,2.5,10,native_nonconvergence;moment_residual;low_ess;coordinate_support_infeasible,0.15423816859408265,50000,200,49800,-1.2149374565666934e-10,False,0.027353744043076306,0.03897314328007762,2,0.5259202491182952,Optimization terminated successfully. (HiGHS Status 7: Optimal)
8,design_000321,321,longitudinal_stratified,2.5,10,native_nonconvergence;moment_residual;low_ess;coordinate_support_infeasible,0.15423816859408265,200000,200,199800,-1.2149374565666934e-10,False,0.027353744043076306,0.03897314328007762,2,0.5259202491182952,Optimization terminated successfully. (HiGHS Status 7: Optimal)
9,design_000392,392,lateral_discriminating,2.5,10,native_nonconvergence;moment_residual;coordinate_support_infeasible,0.00024177778997609765,2000,200,1800,-0.0001645480110650882,False,0.0001645480110650882,0.00020076509909351282,1,1.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
9,design_000392,392,lateral_discriminating,2.5,10,native_nonconvergence;moment_residual;coordinate_support_infeasible,0.00024177778997609765,10000,200,9800,-0.0001645480110650882,False,0.0001645480110650882,0.00020076509909351282,1,1.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
