left_design_id,right_design_id,hungarian_matched_rms_km,hausdorff_km,symmetric_average_nearest_sensor_km
design_000235,design_000138,320.5155496041934,442.71721215700677,181.21405594917152
design_000235,design_000500,350.97978985770084,518.3617080279666,289.75402299296655
design_000235,design_000014,177.83101529685024,245.44964851270544,150.28135889312796
design_000235,design_000325,313.0929755868467,467.97792224109185,256.60168646454997
design_000235,design_000347,306.84862759408225,373.6473398746758,251.59616645107423
design_000235,design_000281,286.09555963491215,405.62646543762645,246.14635383600842
design_000235,design_000085,228.168936652139,319.87619549848404,191.15545949944124
design_000235,design_000193,419.1234207254438,656.6927097003556,301.86159258933867
design_000235,design_000121,397.11855846625974,604.5329527980768,282.4870618477823
design_000235,design_000241,195.40425964837218,318.0029706166183,171.50931980241182
design_000235,design_000307,299.2354986191023,503.23098606754724,216.0101825489828
design_000235,design_000312,316.84904043983613,548.3682125770906,238.0267103487338
design_000235,design_000182,199.8107799093748,246.08273441391222,196.12859499617446
design_000235,design_000205,320.58747963411844,470.430224133227,256.79166205963173
design_000235,design_000218,257.0258945422927,339.6132176286781,217.71667365914453
design_000235,design_000202,402.60487096213643,388.818463246349,186.36402932804344
design_000235,design_000245,296.3977199240954,438.91986439608075,190.0287731288164
design_000235,design_000340,147.37726364954395,242.26467496052572,128.19402147745134
design_000235,design_000055,177.11135983744393,256.6131569463947,161.21801595683718
design_000235,design_000224,367.17928278546157,559.285933586083,252.94536839362047
design_000235,design_000056,258.99685482293387,405.79846074798144,177.66533118470673
design_000235,design_000252,243.44936181240163,338.32461929164793,221.16893972729184
design_000235,design_000088,316.3947717151596,447.7423685042454,283.3626600504905
design_000235,design_000343,304.50592452889833,373.9912554963553,238.3510909785841
design_000235,design_000332,215.68996736898964,256.6087626284392,208.91327776711464
design_000235,design_000326,174.68462316831057,253.55083353458957,166.83644575644863
design_000235,design_000059,267.2328483723384,389.2651177989672,228.2793278507414
design_000235,design_000192,411.65664949975314,494.9407555070163,180.57933283006216
design_000235,design_000031,437.86981359380906,410.90432484924133,194.49027961839647
design_000235,design_000329,219.1946499223996,294.30072506881544,213.16062482222543
design_000235,design_000000,250.49004451931273,319.06683779243644,227.77215190490472
design_000235,design_000331,208.55628290547713,300.1690443336867,186.01684796350867
design_000235,design_000318,186.4817738039977,258.1139201421385,174.71500100786625
design_000235,design_000162,286.90253851732126,352.7947293241589,217.55425676249746
design_000235,design_000161,223.89645132734708,332.0421166480365,204.93231971218057
design_000235,design_000105,372.0252798193594,441.11868670586955,229.01949724042905
design_000235,design_000322,215.9779139762381,269.15403737577844,208.83073485583847
design_000235,design_000276,228.13640542344302,318.2401540768038,212.4194262014127
design_000235,design_000176,398.73421200145737,535.3267324557629,320.5057036448948
design_000235,design_000223,311.11187162173155,487.9857149230193,236.34559092619293
design_000235,design_000143,298.24605497554325,347.1857636557671,215.76389586727362
design_000235,design_000069,659.642919365761,507.3210372628393,229.18339844022327
design_000235,design_000168,315.95003169836343,469.81862688378595,210.63541371865645
design_000235,design_000292,331.7478198802208,561.7248321233488,194.71944719311898
design_000235,design_000038,393.59548424048836,453.81192416003114,196.58210914532373
design_000235,design_000251,324.11335366405206,417.35442450773803,307.5800386589543
design_000235,design_000013,592.9067344433611,495.48951308014983,283.1185233948819
design_000235,design_000342,260.35265524348733,277.72790449008653,176.6883951752864
design_000235,design_000270,275.07509335400425,326.0753363329684,244.28672283358912
design_000235,design_000200,663.7916150592782,847.7190515734782,370.68243121096356
design_000235,design_000012,142.73114837612553,255.10163001266238,115.99585584483982
design_000235,design_000286,220.73483250545945,366.70876110428026,170.93509773538705
design_000235,design_000221,241.10637880498712,306.700360103528,181.02172210040874
design_000235,design_000272,259.1234562347655,340.86040112439485,217.77059171676257
design_000235,design_000139,313.8731104652361,412.63439287945914,204.67312904627576
design_000235,design_000167,232.10614371558577,286.4857717916079,227.86562278185093
design_000235,design_000255,243.66089012589572,357.20915112817886,210.3166654462915
design_000235,design_000032,323.87399263254844,368.5177044773531,276.85006772501487
design_000267,design_000324,214.11478007105305,324.1987724025132,181.9540506728199
design_000267,design_000150,307.24482824982675,262.26901827867283,175.60509949672496
design_000267,design_000266,281.49462050853276,288.099717457128,189.0478695762412
design_000267,design_000004,454.59496127390514,553.7309400440961,248.2730002962992
design_000267,design_000186,227.63775624442636,282.5509809282177,146.7908467214183
design_000267,design_000138,345.6306354270556,468.39878791259787,201.84902569646016
design_000267,design_000500,329.1997682990229,454.3928728414191,264.4774208055709
design_000267,design_000014,202.26961541603777,277.9710226521349,189.7994218543658
design_000267,design_000325,296.22039372445454,445.0700478961763,250.34027747394617
design_000267,design_000347,264.1588000435497,287.9548471628633,207.51026185651762
design_000267,design_000281,257.4765549425186,381.3840456152769,202.54271620933355
design_000267,design_000085,222.5896118736739,281.56245331942574,196.35966111323737
design_000267,design_000193,447.3976006751081,679.2072917372357,354.25912795230323
design_000267,design_000121,362.07477200828936,447.1198722809515,279.641619731084
design_000267,design_000241,308.5437391808245,502.41597328336337,230.54970204024374
design_000267,design_000307,346.09022261127365,527.6577393189892,229.03631547028874
design_000267,design_000312,272.8249095045449,389.80010185241355,253.41012809407982
design_000267,design_000182,227.64012753877466,295.79271784791194,220.92971479930668
design_000267,design_000205,319.0025975272591,499.1000172206298,247.33407889976024
design_000267,design_000218,266.2338295604051,385.2221593936542,181.29794407173597
design_000267,design_000202,393.75957687530877,399.9006443263191,227.70869062905328
design_000267,design_000245,316.25249595972855,468.69370904436005,204.8536598957486
design_000267,design_000340,194.64821429748994,270.0601608813364,177.41402880621087
design_000267,design_000055,150.66254615942967,191.62385529463705,137.0589923849547
design_000267,design_000224,316.2667523670088,401.995641156424,240.06972889032122
design_000267,design_000056,287.22502738975385,464.55572262536526,186.22738191287334
design_000267,design_000252,224.37437701352087,301.00178625175795,211.3539910563027
design_000267,design_000088,267.2738263825158,368.68703683048915,225.37668469404917
design_000267,design_000343,433.66032458906693,562.6550114905598,256.32009894526976
design_000267,design_000332,208.10588711573007,315.8303161364298,194.2532195715434
design_000267,design_000326,115.2928878703605,165.39283847515904,109.55296140907724
design_000267,design_000059,233.4744341395432,415.91848601079977,168.12843527682088
design_000267,design_000192,440.6313998962131,543.5672671160831,229.98460547055612
design_000267,design_000031,429.8006195527164,430.3025791776323,165.83686784706356
design_000267,design_000329,228.1444093685073,375.79047446362534,182.37337890917632
design_000267,design_000000,283.12853324933405,407.49428596242296,250.7303937586984
design_000267,design_000331,235.61016522212358,294.59556071062127,205.9568358132186
design_000267,design_000318,264.1991762380687,335.4301801765571,250.72285770926476
design_000267,design_000162,288.1734928139762,326.5388057754148,211.21705976801343
design_000267,design_000161,158.0846667274361,224.70456685426444,148.79951872704055
