case,design_id,design_index,style,day,source_time_index,particle_count,unique_reference_particles,old_minimum_linf_residual,coordinate_support_margin,classification,native_failure_reason,exact_lp_success,exact_lp_verified_linf_residual,minimum_linf_residual,minimum_l2_residual_at_linf_solution,lp_active_weight_count,lp_maximum_weight,native_converged,native_iterations,native_reported_residual,native_verified_l2_residual,native_ess_fraction,native_effective_sample_size,native_covariance_min_eigenvalue,native_covariance_max_eigenvalue,native_covariance_condition_regularized,native_multiplier_norm,native_maximum_weight,native_healthy
15,design_000215,215,support_random,7.5,30,50000,50000,5.551115123125783e-17,0.0034609187941724968,A_support_repaired,,True,1.1102230246251565e-16,2.7755575615628914e-16,2.7894041986119625e-16,5,0.429241331435409,True,7,6.393639873313916e-13,6.42507323038162e-13,0.027874974983095685,1393.7487491547843,1.94430292957034e-05,0.11348427386632284,5836.458747333804,12.679441888770562,0.008051468910210509,True
16,design_000302,302,longitudinal_stratified,7.5,30,50000,50000,0.03519778365343418,0.1047000312082495,C_convex_hull_failure,native_nonconvergence;moment_residual;low_ess,False,nan,0.003316393265752615,0.0066327865315047516,4,0.5423868796893265,False,200,0.37982096587400205,0.3798209658739985,0.001029799624011955,51.489981200597754,3.929543228435365e-06,0.2473924253180736,62941.02670804447,543.2196765746929,0.13166999839564186,False
17,design_000354,354,lateral_discriminating,7.5,30,50000,50000,0.0026363191594456215,0.011745134161998079,B_feasible_but_unhealthy,low_ess,True,0.0,5.551115123125783e-17,5.594315114139762e-17,5,0.5116547511667565,True,9,9.959893733870131e-11,9.959719042912664e-11,0.002582932681824837,129.14663409124185,0.0003919385623972254,0.08173087117680784,208.52927343419012,94.58070519955197,0.07127960788010021,False
18,design_000387,387,lateral_discriminating,10.0,40,50000,50000,5.551115123125783e-17,0.0027777256592985463,A_support_repaired,,True,3.469446951953614e-18,2.7755575615628914e-17,3.1031676915590914e-17,5,0.5465013917995681,True,8,1.11077781014877e-12,1.1104647677555462e-12,0.037614861872492446,1880.7430936246224,4.56447105446905e-05,0.08934375501194933,1957.3308191681062,58.65739972771329,0.008718348234430549,True
19,design_000409,409,lateral_discriminating,10.0,40,50000,50000,2.7755575615628914e-17,0.0031509317430615177,B_feasible_but_unhealthy,low_ess,True,2.7755575615628914e-17,2.7755575615628914e-17,3.9254707164949277e-17,5,0.4026686813820134,True,8,3.6539176532703674e-13,3.6415297602637556e-13,0.015356479312051781,767.823965602589,3.770225038414738e-05,0.11822662215229934,3135.714346846038,71.69627972436993,0.018865887745470985,False
0,design_000017,17,support_random,2.5,10,200000,200000,0.050100214388372755,-6.677459003069324e-07,C_convex_hull_failure,native_nonconvergence;moment_residual;low_ess,False,nan,0.012062195596021064,0.020892335633961666,3,0.467274550244547,False,200,0.7960939800825133,0.7960939800824994,0.0001894559860404867,37.89119720809734,1.2075059476555353e-18,0.034393331618928755,34393332.5773986,745.9572828138472,0.06278792265643934,False
1,design_000024,24,support_random,2.5,10,200000,200000,0.009525557272001217,-0.0007792838601579574,C_convex_hull_failure,native_nonconvergence;moment_residual;low_ess,False,nan,0.009479050490545288,0.018958100981086783,4,0.7771239393520294,False,200,0.20375542499822386,0.20375542499822363,0.0016158989765205846,323.1797953041169,1.4621315754111311e-05,0.09370887130432,6408.62048666759,500.4048447248716,0.02913135203065696,False
2,design_000107,107,support_random,2.5,10,200000,200000,0.034707032126016474,-0.027475301092546138,C_convex_hull_failure,native_nonconvergence;moment_residual;low_ess,False,nan,0.029020037410521213,0.05026417923257234,3,0.8543283216567483,False,200,0.18956530431714347,0.18956530431714338,0.01666184430992725,3332.3688619854497,6.776004552038754e-21,0.005918680076000592,5918681.075960487,500.4681526270003,0.008848093371027098,False
3,design_000159,159,support_random,2.5,10,200000,200000,0.007875870798066856,-3.7013214827727835e-10,C_convex_hull_failure,native_nonconvergence;moment_residual,False,nan,0.0077777101376606565,0.013471389124971787,3,0.8800858042098144,False,200,0.2509905396363557,0.25099053963635815,0.03379733465673182,6759.466931346364,8.437993441547092e-27,0.02092979260478032,20929793.604780316,506.9619568399912,0.006092862249149944,False
4,design_000199,199,support_random,2.5,10,200000,200000,3.4657412085321936e-13,-3.465381088791452e-13,B_feasible_but_unhealthy,low_ess,True,3.4690970788624016e-13,3.4691413051155015e-13,3.4691413495283347e-13,4,0.36343961560021537,True,8,3.473607192609172e-13,3.4704836435757047e-13,0.0015167865526182103,303.35731052364207,-6.071532165918853e-18,0.14068671888434636,140686720.7385303,49.9231996912862,0.03201663529628296,False
5,design_000205,205,support_random,2.5,10,200000,200000,0.00589509583524539,-0.005369977353446316,C_convex_hull_failure,native_nonconvergence;moment_residual,False,nan,0.00586226504543963,0.010153740910861415,3,0.5359616291525383,False,200,0.06748939759571815,0.06748939759573663,0.9974918603049298,199498.37206098594,3.0552049704492397e-21,0.01894673317798006,18946734.177922174,501.0611191984205,9.521563280647155e-06,False
