case,design_id,design_index,style,day,source_time_index,grid_nx,grid_ny,grid_point_count,converged,iterations,reported_residual,verified_l2_residual,verified_linf_residual,lambda_0,lambda_1,lambda_2,lambda_3,lambda_norm,kl_divergence,intrinsic_ess,log10_intrinsic_ess,covariance_min_eigenvalue,covariance_max_eigenvalue,covariance_condition_regularized,maximum_quadrature_weight,solver_tier
6,design_000215,215,support_random,2.5,10,512,272,139264,True,40,2.0078746922566644e-13,2.001780582983171e-13,1.7319479184152442e-13,210.00476313658723,238.97469297308072,-27.524933578337365,23.85924403343796,320.2152243663179,21.88394135483016,1.2229340753165223e-47,-46.912596953836925,9.535199415108786e-06,0.029213408156016096,3063.422636667129,0.005347397262436553,inherited_phase2
7,design_000279,279,longitudinal_stratified,2.5,10,128,68,8704,True,38,1.3295167064961476e-13,1.3294879795558706e-13,1.1823875212257917e-13,1.7139091081638924,4.9172569300125115,1058.257436060834,-1599967.0842042048,1599967.434191341,6.418708723316468,2.4577660920043537e-95,-94.60945945171221,5.211834085226214e-13,0.16417770334564202,314406204153.70917,0.05276709120569334,high_dynamic_range_retry
7,design_000279,279,longitudinal_stratified,2.5,10,256,136,34816,True,29,3.3794021905639244e-09,3.379404174452298e-09,3.0233417991354372e-09,1.7089067582532664,5.019718430176791,1045.6295173588323,-1496768.399389509,1496768.7646327468,6.4130996957780795,1.7374827054328975e-97,-96.76007950959968,2.3243789973303343e-13,0.16343865197456492,700137604739.7584,0.01537389677984009,high_dynamic_range_retry
7,design_000279,279,longitudinal_stratified,2.5,10,512,272,139264,True,29,3.0111395527519e-09,3.0111403419290516e-09,2.6936938235522234e-09,1.708670354853117,5.019293573262787,1045.628471938016,-1496638.2513550648,1496638.6166293318,6.4131680236648085,2.252532034896035e-97,-96.64732902388734,2.4160186401236517e-13,0.16344123508191288,673701481014.109,0.003863927896997315,high_dynamic_range_retry
8,design_000321,321,longitudinal_stratified,2.5,10,128,68,8704,True,9,1.2215783961773594e-10,1.2215783961760326e-10,1.2215783910247154e-10,-16.452055353246834,-11.324442371226382,74.47556263350967,0.7244733904953002,77.11061802136514,5.068449859269732,2.452394674543493e-05,-4.610409635628674,3.442975591333249e-28,0.017605033978218786,17605034.978218786,0.15049060172261805,inherited_phase2
8,design_000321,321,longitudinal_stratified,2.5,10,256,136,34816,True,9,1.2215793528321356e-10,1.2215793531089454e-10,1.2215793463611081e-10,-16.406690950483696,-11.36442494291931,74.63801141184115,0.7252159727882925,77.26375830846729,5.068648611262156,2.3728036014113282e-05,-4.624738207148515,3.350777207813637e-28,0.017408034696430166,17408035.696430165,0.04510786632220512,inherited_phase2
8,design_000321,321,longitudinal_stratified,2.5,10,512,272,139264,True,9,1.221579353342077e-10,1.2215793528533518e-10,1.2215793463660283e-10,-16.40668892981172,-11.36442459274972,74.63801239901473,0.7252159707456883,77.26375878148566,5.068648574694251,2.3728037548271662e-05,-4.6247381790688,3.3507777582366097e-28,0.01740803529590129,17408036.295901287,0.011533656706052591,inherited_phase2
9,design_000392,392,lateral_discriminating,2.5,10,128,68,8704,True,416,8.645384062677828e-09,8.645384067331197e-09,7.812105661528842e-09,-323064082.3065927,247090.2129675131,-119394.75358929443,7244.453116615375,323064198.9415781,16.930031656793865,0.0,-832.4587383691315,2.0547360396284294e-16,2.3561968163396995e-06,1954581842.0196,0.03919228365069591,high_dynamic_range_retry
9,design_000392,392,lateral_discriminating,2.5,10,256,136,34816,True,467,8.704990095334656e-09,8.704990114310229e-09,7.53593173361813e-09,-354043697.29023784,256963.49287662574,-121449.90195688632,7265.493944164488,354043811.4471772,16.75427021978807,0.0,-823.822418200602,1.2029537771455241e-16,2.5688590405914854e-06,2293019406.03563,0.03624733301190077,high_dynamic_range_retry
9,design_000392,392,lateral_discriminating,2.5,10,512,272,139264,True,465,8.82211507237625e-09,8.82211508128903e-09,7.626468821725742e-09,-363064631.4021065,258020.9539724524,-118529.10734691714,7197.2961538641775,363064742.5059483,16.722527038874624,0.0,-824.216360904321,7.209936423255144e-17,2.6040499901133434e-06,2428925972.7128177,0.015905927295073286,high_dynamic_range_retry
10,design_000403,403,lateral_discriminating,2.5,10,128,68,8704,True,7,7.817888243557096e-10,7.817898758223977e-10,6.039122535383967e-10,-530.8138130638308,311.0409665119582,-43.49643169742825,4.45891557119774,616.7832751352266,13.066350806640394,3.0155792181760705e-36,-35.52062925828411,3.073473833044968e-05,0.03600053316612052,1171.3303942231244,0.252365307978602,high_dynamic_range_retry
10,design_000403,403,lateral_discriminating,2.5,10,256,136,34816,True,7,3.1429107139546197e-09,3.1429102399977986e-09,2.4295870870716385e-09,-530.4458204361505,310.9535574414132,-43.49121422899261,4.436443165712039,616.4219748246535,13.0736787408401,2.2708928730821207e-36,-35.64380335267003,3.161339448057475e-05,0.03619712310186286,1144.9932440175207,0.07384812465006461,high_dynamic_range_retry
10,design_000403,403,lateral_discriminating,2.5,10,512,272,139264,True,7,3.142796212207365e-09,3.1427985749591984e-09,2.42950104478723e-09,-530.4458119276616,310.95355411970536,-43.49121351866773,4.436443621217536,616.4219657804248,13.073678711603401,2.265904160141556e-36,-35.644758463228975,3.161339877297743e-05,0.03619712533285954,1144.9931591239156,0.019372711352754507,high_dynamic_range_retry
11,design_000424,424,upstream_focused,2.5,10,128,68,8704,True,20,2.2007235581506353e-15,2.322363928470733e-15,1.9984014443252818e-15,201.7621592621373,61.72388685022652,175.7793040737302,-42.72475487777661,277.92368653648543,24.844246688246102,1.5090578819033926e-44,-43.82129410196785,0.0004288101500695188,0.11360111114130891,264.9210780150934,0.06158126987429758,inherited_phase2
11,design_000424,424,upstream_focused,2.5,10,256,136,34816,True,20,4.552617755836825e-15,4.207058870180843e-15,3.6637359812630166e-15,201.704053322467,61.642912073409356,175.81539765442864,-42.73852786483428,277.88848402199176,24.848333867877017,1.7748557212282173e-44,-43.750836945156024,0.00042844777391960775,0.11370071702017517,265.37762491417345,0.016394804453395622,inherited_phase2
11,design_000424,424,upstream_focused,2.5,10,512,272,139264,True,20,6.648749507502913e-15,4.419835762464798e-15,3.885780586188048e-15,201.70405330309254,61.64291203452877,175.81539765759825,-42.73852786438524,277.8884840012405,24.848333826864874,1.7747259641898107e-44,-43.75086869693457,0.0004284477741804505,0.1137007170481509,265.377624817905,0.00420680490776769,inherited_phase2
12,design_000460,460,upstream_focused,2.5,10,128,68,8704,True,9,4.5260784251124015e-10,4.5260801375312754e-10,3.927491665223215e-10,-67.08331531289843,16.1467969208241,-71.77238809338154,-16.567042449415474,100.92885034676557,6.699267188873677,3.6408701774187035e-05,-4.438794806437071,0.0003246873628273327,0.06534321947939072,201.2490374166562,0.09807262387898423,inherited_phase2
12,design_000460,460,upstream_focused,2.5,10,256,136,34816,True,9,6.689050286895805e-11,6.689124907540224e-11,5.764205779357212e-11,-65.5039337427814,15.786891492767165,-70.53257347463197,-16.430143156829082,98.91807116948527,6.692638485677942,5.420336596439012e-05,-4.2659737434547615,0.0003198285016743494,0.06528371834220222,204.12037976619848,0.028437868520925964,inherited_phase2
12,design_000460,460,upstream_focused,2.5,10,512,272,139264,True,9,6.68932263470121e-11,6.689433143184887e-11,5.764505539573861e-11,-65.5039939314179,15.786880874460422,-70.53258489671339,-16.43026384573913,98.9181375227229,6.692639209995761,5.420251080422591e-05,-4.26598059532205,0.00031982823182669627,0.0652836655766999,204.12038700725992,0.006998273808598323,inherited_phase2
13,design_000363,363,lateral_discriminating,5.0,20,128,68,8704,True,6,1.7587650912752227e-09,1.7587654539839813e-09,1.2444035246694796e-09,23.74795193848618,4.254401905023625,14.113209411074466,8.00090589360447,29.07339560218713,2.9875024007608673,0.00039788271682272467,-3.400244925270651,0.0017909593417748458,0.05418674805290262,30.25569455055796,0.029659285305527423,inherited_phase2
13,design_000363,363,lateral_discriminating,5.0,20,256,136,34816,True,6,1.7587609680024546e-09,1.7587605383481314e-09,1.2444002980838142e-09,23.74795122670011,4.254401471643223,14.113209319880173,8.00090535130954,29.07339476385607,2.9875023212493805,0.00039785811278886024,-3.400271781743879,0.001790959329852209,0.054186744251238254,30.25569262927771,0.007524326388272276,inherited_phase2
13,design_000363,363,lateral_discriminating,5.0,20,512,272,139264,True,6,1.7587615747810611e-09,1.758761296921913e-09,1.2444001384892545e-09,23.74795122670015,4.254401471643133,14.113209319880264,8.00090535130932,29.073394763856072,2.9875023212493934,0.00039785811278884327,-3.400271781743897,0.0017909593298521388,0.05418674425123803,30.255692629278773,0.0018978839649676838,inherited_phase2
14,design_000400,400,lateral_discriminating,5.0,20,128,68,8704,True,6,1.512446868741112e-11,1.5124508543509264e-11,9.815332574492075e-12,17.42940829869947,7.805505974361796,17.87369685600594,-5.3271060458571196,26.693768847481536,3.0156526984672185,0.0037147242659388608,-2.430073417226547,0.00165060170237609,0.04553755922024705,27.58844399969443,0.027004082148075426,inherited_phase2
14,design_000400,400,lateral_discriminating,5.0,20,256,136,34816,True,6,1.512471330881598e-11,1.5124376528851864e-11,9.815322166151219e-12,17.42940890607161,7.805505867898301,17.87369707684368,-5.3271061015351355,26.69376937190824,3.0156526255841434,0.003714716578502472,-2.430074315978222,0.0016506016550828795,0.045537557153039906,27.58844353776554,0.007075640945748035,inherited_phase2
