design_index,design_id,rank,validation_risk,bootstrap_SE,bootstrap_CI_low,bootstrap_CI_high,bootstrap_rank_median,bootstrap_rank_CI_low,bootstrap_rank_CI_high,near_optimal,maximum_KL,integrated_KL_uniform,minimum_intrinsic_ESS,minimum_log10_intrinsic_ess,maximum_lambda_norm,maximum_covariance_condition,maximum_projection_residual,sensor_1_x_km,sensor_1_y_km,sensor_2_x_km,sensor_2_y_km,sensor_3_x_km,sensor_3_y_km,sensor_4_x_km,sensor_4_y_km
395,design_000395,400,0.02876291883586831,0.015364209599757346,0.013673520110979796,0.07283352268749725,399.0,206.95000000000002,413.0,False,12.462720268174293,1.5148164639806858,0.0,-914.6607499839616,125562699.73263982,14567663390.350203,9.609125912036428e-09,1135.2648037423783,-608.9722900033107,981.4462485532748,-309.4758501911341,935.26124717843,145.1042476896079,953.7512526302678,585.0539159582654
392,design_000392,401,0.02898322404012087,0.015146199370532394,0.014157666907100882,0.07211316108845334,401.5,224.47500000000002,416.0,False,16.722527038874624,1.7636192234869417,0.0,-824.216360904321,363064742.5059483,2428925972.7128177,9.012338992793717e-09,1226.0491055934033,-551.4217621209367,992.8880543337713,-174.11004398882486,1029.251316825575,224.89754036649862,971.9917150599722,574.3970932882866
300,design_000300,402,0.02912923408422709,0.012473673826811327,0.018105715083363793,0.06703050359416048,396.0,325.425,448.04999999999995,False,5.60134460719651,0.5137720896119,0.0,-3155.334642982678,7618.454514164238,10166790052035.742,7.539709311488341e-09,-254.85925310326786,-435.0531248357861,207.7703799181399,-13.616095661044135,289.369606448411,485.1791885171437,1434.0553932157645,518.044902764048
491,design_000491,403,0.029227543703072834,0.015266091908434552,0.014612406586332267,0.07298029949134514,402.0,217.0,416.0,False,16.50856853611904,1.7729930808379695,0.0,-4441.275063707669,202486950.72694,244350487527.1379,8.41232556584021e-09,897.9387728464751,-508.13061797502576,873.3376178363885,-15.537732192591761,1642.3640428335311,-123.60388738872939,1135.486945250398,-360.85198891448454
215,design_000215,404,0.02923463438196112,0.016591084104539768,0.012110327701557452,0.07605600232209095,401.0,134.95000000000002,428.04999999999995,False,21.88394135400829,1.5674809259989646,1.2229340753922819e-47,-46.912596953810024,320.2152244211555,72665.14821871881,8.687459299456851e-09,-491.20336787414516,-614.3814313647158,480.72800755788535,191.16485913891202,-48.00659724587334,164.45068403805573,340.5518472003284,-242.86490651498042
473,design_000473,405,0.029298246542322288,0.013347169259695668,0.017249671674184223,0.06761464425237881,398.0,290.475,437.0,False,21.628935519158105,1.940706604044194,0.0,-13996.12343717379,2315733232.212076,30120609073.601917,4.610108817327748e-09,1049.8380181974126,176.19046244606557,1094.4713243094575,-247.94847072728527,1663.592512099091,483.26789256873576,1404.581543518812,359.06841787508995
408,design_000408,406,0.029548972457733212,0.01727642819259205,0.011782113724880425,0.07812316841316022,403.0,130.95000000000002,451.0999999999999,False,22.76512027235598,1.987947089147606,0.0,-9720.285657981176,23767.004035512844,1279.735214457365,6.562357729359964e-09,512.4418458705987,-525.337506226456,861.6108259840539,-144.03618613013492,465.3029015628187,187.94468940334505,534.6755101001752,602.7231009364968
487,design_000487,407,0.02972191352059543,0.013611308865677942,0.01707854705941634,0.06909758084615633,402.0,313.425,433.525,False,10.31693483928016,1.401326898536521,0.0,-5739.088837808866,337970722.2723748,5938258274.250923,9.42010379720783e-09,991.9676540485514,83.07076124297669,1742.0499384922725,-192.8821351813222,1395.1165637717868,-176.2076154348087,1232.0301933557748,-380.590077584221
232,design_000232,408,0.029763524116105878,0.015341303143336881,0.015706129714050835,0.07318506962467634,402.0,235.95000000000002,446.525,False,15.85226263683131,1.135645143963594,0.0,-968.416505784453,2358.539869225375,101559536718803.88,9.896057049562394e-09,-417.9817937077812,-431.29783805922466,72.90861715754173,-309.11588517092366,400.98635744753585,215.4874585862411,1839.0962290445711,550.5062306299437
352,design_000352,409,0.029913791767857367,0.017653875272052907,0.011176334673601433,0.08006896338354763,407.0,120.7500000000001,450.525,False,25.585903654308844,1.966720170883675,1.305690860865164e-87,-86.88415963570469,1893.186972810646,20132.53259837825,9.890748991395034e-09,470.83373112936795,-588.680948154892,469.5056274872936,-221.68392615665778,546.1137347920851,221.13599656517,621.6178606232788,567.0626020965643
