design_index,design_id,dense_target_range_valid,dense_target_joint_feasible,domain_grid_hull_maximum_violation,domain_grid_worst_target_lp_linf_residual,domain_grid_resolution,minimum_smoothed_moment,maximum_smoothed_moment,minimum_raw_moment,classification,failure_reason,dense_projection_valid,multiplier_dynamics_valid,tangent_action_valid,full_action_valid,gram_rank_constant,gram_rank_values,tangent_rank_sensitivity_valid,maximum_relative_tangent_rank_action_change,tangent_rank_tolerance_actions,maximum_moment_residual,maximum_soft_projection_stationarity_residual,minimum_covariance_eigenvalue,maximum_covariance_condition,maximum_gram_compatibility_residual,tangent_action,bandwidth_sensitivity_valid
326,design_000326,True,True,-9.541460015852901e-08,3.469446951953614e-18,128x68,4.823092753333085e-08,0.8528581059183036,7.955026113486462e-10,pending_dense_projection,,True,True,True,False,False,3;4,True,0.0072133150417087386,1e-10:1122927.5919394228;1e-12:1128475.5764497551;1e-14:1131027.6224291092,0.05047357460588584,8.988407121174393e-10,2.500000001234928e-05,3298.9935254185325,4.189606099923352e-06,1122927.5919394228,False
85,design_000085,True,True,-6.848027647719835e-06,2.220446049250313e-16,128x68,9.988508768233678e-06,0.7390659737390264,8.006267506967167e-07,pending_dense_projection,,True,True,True,False,False,3;4,True,0.00012134941774889492,1e-10:2609984.2288177102;1e-12:2610300.948884211;1e-14:2610300.948884211,0.06578640012414576,9.748112562301764e-10,2.5000027418690004e-05,5243.99073520932,2.0215094613348355e-06,2609984.22881771,True
105,design_000105,True,True,-5.768647466306001e-08,2.147553991663115e-12,128x68,5.105667611543956e-09,0.8726518926638042,4.7388466143140875e-11,pending_dense_projection,,True,True,True,False,False,3;4,True,0.00019562915898413617,1e-10:714139.45265410957;1e-12:714209.84987287864;1e-14:714279.15915462968,0.027175995555019438,9.756315152895383e-10,2.500000000023547e-05,4263.78362763643,3.178768246058198e-07,714139.4526541096,True
176,design_000176,True,True,-5.747348922215847e-09,8.468232066985455e-11,128x68,6.019541262884407e-14,0.8634037482044796,1.8711302994071445e-17,pending_dense_projection,,True,True,True,False,False,3;4,True,0.0009134193149096436,1e-10:678942.40875221137;1e-12:679081.41390756867;1e-14:679562.56786207692,0.045845865199338,9.70581284865927e-10,2.5e-05,5443.9057283407765,5.296472994671517e-07,678942.4087522114,False
55,design_000055,True,True,-9.461409303741552e-08,3.832360865182679e-18,128x68,4.561924921143831e-08,0.71546284881999,7.361490334307913e-10,pending_dense_projection,,True,True,True,False,False,3;4,True,0.019731464574401374,1e-10:1295208.7755866044;1e-12:1314262.1446277304;1e-14:1320765.1416585452,0.05608309870996341,9.881271017623332e-10,2.5000000008990673e-05,3411.9067207823464,1.618552628820399e-05,1295208.7755866044,True
500,design_000500,True,True,-5.4256457169802276e-08,1.6325393325270998e-11,128x68,1.8660877097114877e-11,0.8134279268077376,3.101036530806554e-14,pending_dense_projection,,True,True,True,False,False,3;4,True,0.00012657053348714544,1e-10:1933565.8933394544;1e-12:1933565.8933394544;1e-14:1933810.625806107,0.04746339948877254,9.470236478930372e-10,2.5000000000000042e-05,4091.4975387208533,6.258947989365937e-08,1933565.8933394544,False
331,design_000331,True,True,-1.274189581570148e-05,7.216449660063518e-16,128x68,1.703567093510705e-05,0.7988667917736425,1.3150707429304738e-06,pending_dense_projection,,True,True,True,False,False,3;4,True,0.00010595327815238763,1e-10:964285.79108453449;1e-12:964387.96032517566;1e-14:964387.96032517566,0.03585093485044984,7.719598525486233e-10,2.500009453542065e-05,3356.0550191935718,3.3260969310577636e-06,964285.7910845345,True
162,design_000162,True,True,-5.092090954005373e-05,1.1102230246251565e-16,128x68,7.046691261684501e-05,0.6980954307100176,8.56714963830253e-06,pending_dense_projection,,True,True,True,False,True,4,True,0.0,1e-10:1137095.8362640457;1e-12:1137095.8362640457;1e-14:1137095.8362640457,0.037227361810943854,7.321890368421459e-10,2.5000891105618807e-05,5258.561765293362,1.5174517075258809e-15,1137095.8362640457,True
329,design_000329,True,True,-9.16275420362511e-09,8.474496791546998e-12,128x68,3.390734576689762e-09,0.6801809199460642,2.8468516700683758e-11,pending_dense_projection,,True,True,True,False,False,3;4,True,0.09725981330675681,1e-10:1141507.4781756478;1e-12:1252530.2823912781;1e-14:1252530.2823912781,0.03815658660922773,9.260413624544745e-10,2.5000000000207145e-05,3064.687413055773,2.949090229977543e-05,1141507.4781756478,True
0,design_000000,True,True,-5.6601977970470816e-08,5.605468649029118e-11,128x68,6.36099899832865e-11,0.7235632486122247,1.8613074375235746e-13,pending_dense_projection,,True,True,True,False,False,3;4,True,0.002816094165198879,1e-10:1350562.0607538049;1e-12:1354365.3706928326;1e-14:1354365.3706928326,0.03811217456911811,9.75766146068073e-10,2.5000000000000133e-05,3773.310851852933,3.5690553801435464e-06,1350562.0607538049,False
