design_index,design_id,nominal_bandwidth_days,nominal_tangent_action,bandwidth_sensitivity_evaluable,low_bandwidth_days,low_multiplier_dynamics_valid,low_tangent_action_valid,low_tangent_action,low_relative_lambda_change,low_relative_lambda_dot_change,low_relative_tangent_action_change,high_bandwidth_days,high_multiplier_dynamics_valid,high_tangent_action_valid,high_tangent_action,high_relative_lambda_change,high_relative_lambda_dot_change,high_relative_tangent_action_change,bandwidth_sensitivity_valid,not_evaluable_reason
430,design_000430,0.75,946170.2818195058,True,0.5,True,True,986729.0176977363,0.17720356685136812,0.38971839952757636,0.04286621198906723,1.0,True,True,956888.7877768755,0.11297542502092243,0.2476672488255585,0.011328305447046777,True,
65,design_000065,0.75,790157.8315319226,True,0.5,True,True,895636.8216094055,0.15757409127855224,0.40694502641461555,0.13349103921805716,1.0,True,True,784416.3374550928,0.14319169384479305,0.30940190620904673,0.00726626231837556,True,
332,design_000332,0.75,nan,False,0.5,,,,,,,1.0,,,,,,,False,nominal multiplier/tangent readiness failed
330,design_000330,0.75,644030.8636253588,True,0.5,True,True,719957.0423051121,0.19625305212442187,0.5890573303857483,0.1178921430136935,1.0,True,True,599114.8420840303,0.11994519226231369,0.40947742779600116,0.06974203268534154,False,
221,design_000221,0.75,930132.6983350175,True,0.5,True,True,1040501.4806155605,0.15434413600513314,0.2556873631276587,0.1186591789301768,1.0,True,True,875007.1265180021,0.15751527589852016,0.24542333957941337,0.05926635190408084,True,
32,design_000032,0.75,5811040.317541724,True,0.5,True,True,4532669.546607703,0.1505531181233037,0.3811332008127175,0.21999000197520868,1.0,True,True,1503760.121950573,0.14067818111831104,0.40655564118944226,0.7412235951261276,False,
168,design_000168,0.75,1063048.5067146055,True,0.5,True,True,1065800.251083493,0.1583107230392443,0.4338278135504287,0.002588540740621408,1.0,True,True,1102596.0554282921,0.09393982728289063,0.3108898278710758,0.03720201708942703,True,
435,design_000435,0.75,936458.6265739356,True,0.5,True,True,962473.0345637513,0.16312850564230078,0.3734413066989239,0.02777955934368425,1.0,True,True,904444.870579757,0.0968925298665526,0.2348919632310787,0.03418598012311762,True,
126,design_000126,0.75,829214.4133621934,True,0.5,True,True,1088067.6455075783,0.159531068260319,0.5051255777633314,0.3121668267870787,1.0,True,True,897254.5617802299,0.10961200565755684,0.25803111028994136,0.08205374547477529,False,
449,design_000449,0.75,878210.6192412835,True,0.5,True,True,854873.6563617471,0.1773405434784659,0.44679338813662994,0.026573309828225544,1.0,True,True,992253.9871336237,0.09393390162505987,0.24661294135516512,0.12985878944491264,True,
12,design_000012,0.75,1313326.6570432961,True,0.5,True,True,1161123.3383976235,0.11907515889439496,0.29278334130785766,0.11589144089127781,1.0,True,True,1265827.393515946,0.10764338376528258,0.31013585430152135,0.03616713577891242,True,
236,design_000236,0.75,1085423.1650233697,True,0.5,True,True,1036385.031639383,0.16281963730734142,0.4662369809107067,0.0451788159348256,1.0,True,True,1205009.0294510988,0.0656398352143653,0.18288789798336888,0.11017441702117561,True,
283,design_000283,0.75,668597.1748167125,True,0.5,True,True,723465.9158846859,0.19959532086909174,0.5515099391204361,0.08206546951535505,1.0,True,True,628936.3306211462,0.19267777746488507,0.5337376740398605,0.0593194911516621,False,
