panel_label,design_index,design_id,source_time_index,day,grid_nx,grid_ny,dx_km,formulation,converged,scientifically_valid,action,weak_action,action_identity_relative_error,tangent_action,tangent_lower_bound,direct_ritz_action,direct_ritz_qr_svd_status,direct_ritz_certification_status,scaled_relative_residual,original_conservative_relative_residual,score_form_relative_residual,weighted_mean_potential,iteration_count,solve_seconds,preconditioner,solver_error,minimum_log_q_mass,maximum_log_q_mass,log_q_range,minimum_log_face_conductance,maximum_log_face_conductance,log_conductance_range,minimum_scaled_log_coefficient,genuine_scaled_conductance_underflow_count,genuine_scaled_rhs_underflow_count,score_magnitude_median,score_magnitude_p95,score_magnitude_maximum,centered_cell_peclet_maximum,centered_cell_peclet_above_one_fraction,projected_multiplier_recovery_max_abs_error,reference_log_density_centered_max_abs_error,reference_log_density_centered_rms_error,density_modified,operator_regularized,precision,production_run,final_test_accessed
requested_day_0.25_control,218,design_000218,1,0.25,511,273,7.142857142857143,analytic_score_centered_difference,0,0,9279626.645853415,8978840.701641193,0.03241358253854191,3619788.696440696,1,8334476.39764948,fail,unresolved,0.014639082371538211,1.170283215663741,0.00024053762638047064,3.756888757757565e-10,5,0.08938913599922671,SuperLU ILU of centered score operator,,-299470.65685432893,-4.739178428927454,299465.9176759,,,,,0,0,67.39600854057197,220.636683067371,276.63269459054993,987.9739092519641,0.9945592567901765,2.176880897764022e-11,3.7834979593753815e-10,4.330578967909019e-11,0,0,float64,0,0
requested_day_1_control,218,design_000218,4,1.0,511,273,7.142857142857143,log_row_scaled_conservative_fv,0,0,,,Infinity,3929515.911452241,0,9038027.76339518,fail,unresolved,Infinity,Infinity,,,0,0.0,not attempted,genuine float64 underflow remains after exact relative row scaling,-297735.79041163047,-4.803551624135617,297730.98686000635,-297666.2002354909,-8.738958299229413,297657.4612771917,-4616.494127285259,107543,36576,,,,,,2.4223290040481515e-11,4.783942131325603e-10,4.743099314476716e-11,0,0,float64,0,0
requested_day_1_control,218,design_000218,4,1.0,511,273,7.142857142857143,analytic_score_centered_difference,0,0,9124042.837015176,9186683.416560069,0.0068186283019153115,3929515.911452241,1,9038027.76339518,fail,unresolved,0.017603463950882654,0.705881684567282,0.000202238939594985,-1.537728302246495e-11,6,0.11150956600249629,SuperLU ILU of centered score operator,,-297735.79041163047,-4.803551624135617,297730.98686000635,,,,,0,0,43.07287953599467,329.53839974117386,767.5552649277914,2741.268803313541,0.9895701167716824,2.4223290040481515e-11,4.783942131325603e-10,4.743099314476716e-11,0,0,float64,0,0
requested_day_2_control,218,design_000218,8,2.0,511,273,7.142857142857143,log_row_scaled_conservative_fv,0,0,,,Infinity,14690434.45537708,0,54460991.72062524,fail,unresolved,Infinity,Infinity,,,0,0.0,not attempted,genuine float64 underflow remains after exact relative row scaling,-293461.50978965143,-4.817831693660986,293456.69195795775,-293101.429953469,-8.753254018006686,293092.676699451,-11995.889168200723,75947,26151,,,,,,6.255440609947982e-12,1.0868461686186492e-09,6.576563610156994e-11,0,0,float64,0,0
requested_day_2_control,218,design_000218,8,2.0,511,273,7.142857142857143,analytic_score_centered_difference,0,0,4448.378990667726,-88454.4434988233,1.0502900568327798,14690434.45537708,0,54460991.72062524,fail,unresolved,16.77649898721641,1.0503477823233134,0.900884833768616,-6.483464587512683e-15,2000,78.13934327500101,diagonal (ILU unavailable: RuntimeError) of centered score operator,,-293461.50978965143,-4.817831693660986,293456.69195795775,,,,,0,0,23.024090687620845,408.31972149554315,1991.005204948418,7110.732874815779,0.9761797237335398,6.255440609947982e-12,1.0868461686186492e-09,6.576563610156994e-11,0,0,float64,0,0
requested_day_3_control,218,design_000218,12,3.0,511,273,7.142857142857143,log_row_scaled_conservative_fv,0,0,,,Infinity,2861238.9519506507,0,8657779.543019613,fail,unresolved,Infinity,Infinity,,,0,0.0,not attempted,genuine float64 underflow remains after exact relative row scaling,-283196.4087927839,-4.997403244786852,283191.41138953913,-281990.0124299648,-8.937919342752904,281981.074510622,-24657.602753374522,54629,18951,,,,,,1.552535877635819e-11,2.115484676323831e-09,1.0444259356653322e-10,0,0,float64,0,0
requested_day_3_control,218,design_000218,12,3.0,511,273,7.142857142857143,analytic_score_centered_difference,0,0,480.4252615954563,-36913.467701346235,1.0130149046272867,2861238.9519506507,0,8657779.543019613,fail,unresolved,6.190803168350153,1.0218118675068093,0.9986955946479361,4.560876417185803e-15,2000,97.00069435499972,diagonal (ILU unavailable: RuntimeError) of centered score operator,,-283196.4087927839,-4.997403244786852,283191.41138953913,,,,,0,0,11.98573816773762,364.7818541417971,4463.488978816313,15941.032067201118,0.9586962287549372,1.552535877635819e-11,2.115484676323831e-09,1.0444259356653322e-10,0,0,float64,0,0
control_for_median_rank_failure,218,design_000218,16,4.0,511,273,7.142857142857143,log_row_scaled_conservative_fv,0,0,,,Infinity,5885375.124386484,0,11355031.782976272,pass,certified,Infinity,Infinity,,,0,0.0,not attempted,genuine float64 underflow remains after exact relative row scaling,-261945.9196664666,-5.576716469063921,261940.34294999752,-258987.23282671807,-9.512381064821827,258977.72044565325,-41082.05730891254,39224,13579,,,,,,1.2946088645549025e-11,3.4824552130885422e-09,1.4979861057262028e-10,0,0,float64,0,0
control_for_median_rank_failure,218,design_000218,16,4.0,511,273,7.142857142857143,analytic_score_centered_difference,0,0,57.00992000487939,-14640.353933021837,1.0038940260779003,5885375.124386484,0,11355031.782976272,pass,certified,2.4092951144368686,1.0041217828797648,1.1011618334000677,-5.52451410301273e-16,2000,72.98379252299856,diagonal (ILU unavailable: RuntimeError) of centered score operator,,-261945.9196664666,-5.576716469063921,261940.34294999752,,,,,0,0,6.4932996415325785,272.43475489637126,8038.961356887142,28710.576274596937,0.9293491896231623,1.2946088645549025e-11,3.4824552130885422e-09,1.4979861057262028e-10,0,0,float64,0,0
control_for_maximum_rank_failure,218,design_000218,20,5.0,511,273,7.142857142857143,log_row_scaled_conservative_fv,0,0,,,Infinity,1333467.683772397,0,17941686.206721444,pass,certified,Infinity,Infinity,,,0,0.0,not attempted,genuine float64 underflow remains after exact relative row scaling,-225606.7162511948,-6.160343187864903,225600.55590800694,-220299.46377099157,-10.093770802814136,220289.37000018876,-54120.84896767905,28280,9835,,,,,,4.263256414560601e-12,4.8990358436640236e-09,2.0335854774880954e-10,0,0,float64,0,0
control_for_maximum_rank_failure,218,design_000218,20,5.0,511,273,7.142857142857143,analytic_score_centered_difference,0,0,186.03655483555522,-21277.57803986067,1.0087433144170375,1333467.683772397,0,17941686.206721444,pass,certified,2.2242910714220945,1.005522846317703,1.0011461304828053,8.473313711876608e-16,2000,87.38660484700085,diagonal (ILU unavailable: RuntimeError) of centered score operator,,-225606.7162511948,-6.160343187864903,225600.55590800694,,,,,0,0,3.7407448342785563,183.38508516344763,11874.7112566104,42409.68305932286,0.895170713174627,4.263256414560601e-12,4.8990358436640236e-09,2.0335854774880954e-10,0,0,float64,0,0
requested_day_7.5_control,218,design_000218,30,7.5,511,273,7.142857142857143,log_row_scaled_conservative_fv,0,0,,,Infinity,2469686.4140949193,0,3634097.0635969504,pass,certified,Infinity,Infinity,,,0,0.0,not attempted,genuine float64 underflow remains after exact relative row scaling,-115741.24339570777,-7.254934674867824,115733.9884610329,-111804.99095545743,-11.193330012445111,111793.79762544497,-41005.29410394076,12802,4535,,,,,,6.496136961686716e-12,4.884867621512967e-09,1.8163856511654646e-10,0,0,float64,0,0
requested_day_7.5_control,218,design_000218,30,7.5,511,273,7.142857142857143,analytic_score_centered_difference,0,0,304.54385874605657,-23995.46645464265,1.012691724885687,2469686.4140949193,0,3634097.0635969504,pass,certified,3.3493000236838117,1.0094654421489595,3.214004899222487,3.564611127163179e-15,2000,99.6654571600011,diagonal (ILU unavailable: RuntimeError) of centered score operator,,-115741.24339570777,-7.254934674867824,115733.9884610329,,,,,0,0,1.270950933367707,65.26122246094344,12243.079919775399,43725.28542776928,0.7893378637018559,6.496136961686716e-12,4.884867621512967e-09,1.8163856511654646e-10,0,0,float64,0,0
