near_optimal_rank,design_index,design_id,style,validation_risk,risk_difference_from_best,bootstrap_risk_se,bootstrap_risk_ci_lower,bootstrap_risk_ci_upper,s1_x_km,s1_y_km,s2_x_km,s2_y_km,s3_x_km,s3_y_km,s4_x_km,s4_y_km
40,329,design_000329,longitudinal_stratified,0.008869822949856582,0.003345114118625545,0.00694167885109028,0.00787496822895491,0.03481938017492676,-75.68535290002659,-461.70921592383075,72.20194891566564,80.59921246559382,567.6470638379728,284.3098700882197,1255.3286698504442,360.4587625921169
41,0,design_000000,manual,0.008945531883058036,0.003420823051826999,0.005086868868444619,0.00839836893241284,0.028167263734922926,-150.0,-150.0,350.0,-100.0,850.0,-50.0,1450.0,50.0
42,331,design_000331,longitudinal_stratified,0.008953266435355777,0.0034285576041247403,0.005917776663904694,0.008148618761920365,0.031711602414877985,-5.687532927690556,-173.6292300789002,276.34976195473575,194.60320276355068,281.19960812994043,-192.07253400784776,943.0581487664679,133.65607102418807
43,318,design_000318,longitudinal_stratified,0.008986528876260714,0.003461820045029677,0.005014926049070813,0.008586221999032192,0.02799768050676109,-129.32217049007556,-304.9170157371253,76.84968685157446,18.50539919348876,516.1516111832213,-124.91843485656443,1293.8014988585624,23.7947183455337
44,162,design_000162,support_random,0.009009699746489833,0.003484990915258796,0.007914795810246449,0.0064868112504933,0.03725045459007936,830.0053563094924,271.85922134045614,391.23720416204173,-241.84953464672247,72.1607750805467,-183.20327929518683,185.076392042746,54.258114443028234
45,161,design_000161,support_random,0.009100038777929585,0.003575329946698548,0.005881805791603577,0.00769288303522773,0.031443778616186864,1024.5263963847108,405.99405016916165,44.17234952604954,83.76048644873197,656.8928381335346,95.7528573169335,-164.32981628880867,-162.6666128195161
46,105,design_000105,support_random,0.009117808281024134,0.0035930994497930975,0.004959893746587704,0.008555279872060886,0.028387359326608182,147.8042441776338,83.51785295900532,-115.43589902893751,210.88198995441678,1292.2236992475844,95.15121743213342,-77.4785637231395,-101.69515405203973
47,322,design_000322,longitudinal_stratified,0.00923048518666901,0.0037057763554379734,0.00617087830719699,0.008839312962354698,0.033294786256855835,-30.562023743102166,-7.151726769641456,260.6314458110276,-136.10012416089887,417.28561867805035,318.56616422519767,1097.111145879114,287.27094531927
48,276,design_000276,longitudinal_stratified,0.009281591143979867,0.00375688231274883,0.007329875129151378,0.0073808793474271035,0.03533100152360445,-54.364036659017124,-368.66483820054975,405.2690040335438,-131.1426717465523,709.2449854028666,338.8586702770793,1451.8663028961032,101.93188788892482
49,176,design_000176,support_random,0.009362283078144726,0.003837574246913689,0.006206370953597197,0.008806911344552264,0.032912611474354335,1664.2484029345344,164.30507409876697,432.250224939445,146.890045285305,-196.27368220252734,241.84181674730502,24.456345763429365,-60.71020664562789
50,223,design_000223,longitudinal_stratified,0.009491185985609524,0.003966477154378487,0.005849481636155863,0.008938969570700176,0.03178018270260154,-545.9633210990346,-316.9275643204888,-55.08453803436943,-17.254820283737786,515.7804360224798,195.71429937042984,1218.0893151895941,270.9222839337147
51,143,design_000143,support_random,0.009563711899375747,0.00403900306814471,0.007846234132773357,0.007256611941014866,0.038218925030778325,94.4306613319857,36.332272005087916,465.16333226355624,327.9457440623564,768.2552274120294,157.2605754669856,1307.8701455919713,-1.3310304349608657
52,69,design_000069,support_random,0.009670412422581261,0.004145703591350225,0.008927504166036165,0.006200190356952278,0.03926155010720156,692.2547751452149,139.07266792831172,235.15777775707943,32.79034854189583,1376.0480227704093,216.61219470666938,1637.594261788725,151.88041027828984
53,168,design_000168,support_random,0.009720737333476798,0.0041960285022457616,0.009115404753454077,0.005763271751659886,0.04054837858731987,497.6346447929642,74.27204688665307,812.8809099337667,166.77699039451693,1352.4079255894355,1.4587350520240818,186.68528134892196,125.25160872082229
54,292,design_000292,longitudinal_stratified,0.009842506953483477,0.00431779812225244,0.00942066417973115,0.005649206738881025,0.04145601517235708,-165.59940750634996,348.4272754076244,191.5593956364716,-78.34501572968534,416.72058690736503,145.08825265229942,1060.7606520332222,46.61969512585547
55,38,design_000038,support_random,0.009870424041537013,0.004345715210305976,0.005391663004409085,0.009149047614014829,0.029916607966712867,-168.49480366897572,-509.00399017691706,697.6395810325207,-33.01222907842883,140.11499508925172,49.558144300633074,-86.69110312395934,-194.12771707390945
56,251,design_000251,longitudinal_stratified,0.009896821777566673,0.004372112946335636,0.006018780498890108,0.009234843220182873,0.032947832463387554,-49.88499779949579,-30.641900873624515,182.66391002069798,-367.3281151496363,579.0660904073804,-289.5000189366087,1301.3561839106458,318.11026425667654
