seed,method,resample,generation_seed,oracle_seed,mmd2,maximum_moment_error,generated_q4_change,generation_minus_tv,generation_plus_tv,oracle_minus_tv,oracle_plus_tv
402,fiber_aware,5,40240005,40250005,0.01393929987202741,0.0163298876085478,0.5966133457264804,0.42609515725856334,0.3674136163906483,0.08942273100574216,0.09201285523445395
402,fiber_aware,6,40240006,40250006,0.00849607896734314,0.011735777186344581,0.6147376550376799,0.3735842724146887,0.3573872514657608,0.10874406349853007,0.11003513912989246
402,fiber_aware,7,40240007,40250007,0.007822808590248975,0.011591985181957608,0.5853312233601089,0.44935762861992307,0.4132475321512434,0.09856189392875751,0.09320946184768951
402,fiber_aware,8,40240008,40250008,0.02226636721373773,0.019490419086332502,0.6273975521937385,0.35298517016196523,0.3728153224325874,0.10940267551437483,0.10184680168385721
402,fiber_aware,9,40240009,40250009,0.019594202028034524,0.026752058465420628,0.5992272247406435,0.3637373349613567,0.3959765194866834,0.07801503316721305,0.09265615339208225
402,fiber_aware,10,40240010,40250010,0.020795905257994157,0.021205838584409522,0.6133476520147239,0.4018319987869908,0.37752924315379605,0.10534181997629301,0.11762531373578373
402,fiber_aware,11,40240011,40250011,0.008906607907989833,0.014660718967814264,0.6072828301592292,0.3626505098125524,0.4758234772327176,0.09930235709746874,0.09541917817733271
402,fiber_aware,12,40240012,40250012,0.010103495306095833,0.01655698787231055,0.5901659011980859,0.37393303585148835,0.3666679021308824,0.10097276368710631,0.10831560585114897
402,fiber_aware,13,40240013,40250013,0.009768758826662949,0.0140377983887965,0.6031458896316618,0.43659371225623594,0.3194051189072982,0.11128686392149048,0.10287669570734635
402,fiber_aware,14,40240014,40250014,0.006343297367628037,0.011474636307173559,0.6018753058300741,0.37568419047207724,0.41931559234414556,0.09117306379556081,0.1018234138991796
402,fiber_aware,15,40240015,40250015,0.012332330247147,0.014188096485635581,0.6161986199650188,0.397789967836436,0.39374183363150483,0.105395855250832,0.10675250964679892
402,fiber_aware,16,40240016,40250016,0.017693934899101094,0.020442267951241978,0.6242022964528158,0.3485176311010213,0.3918484952364488,0.08716246571955583,0.0938498864117511
402,fiber_aware,17,40240017,40250017,0.011594571264036152,0.014859207505500484,0.5886481662820789,0.3973177505985085,0.31824941804964485,0.08973022430899408,0.08739577795102493
402,fiber_aware,18,40240018,40250018,0.011952120349419199,0.016656295665500056,0.614578565251549,0.3801189003862139,0.3707327386850682,0.09045283626946368,0.09087009318559
402,fiber_aware,19,40240019,40250019,0.017377136028796952,0.0203862377403365,0.6087647658378842,0.4047416657937396,0.3735967861699526,0.10524677825336996,0.09358771858343201
403,geometric_sinkhorn,0,34403,35403,0.006096865130594958,0.008429524689173788,0.6072645786603867,0.37789393066314375,0.3642712854498482,0.09409039690632348,0.09794795115663543
403,geometric_sinkhorn,1,40340001,40350001,0.008505863041132128,0.009210946822347157,0.5941165403294956,0.40264047913757667,0.35795731945087317,0.0976899086058276,0.10680893169173813
403,geometric_sinkhorn,2,40340002,40350002,0.011022580026167045,0.01387916574896902,0.6180778743660844,0.36390965085644533,0.382253357989523,0.10792481681828214,0.08899796402423044
403,geometric_sinkhorn,3,40340003,40350003,0.010920323628560602,0.01608047388259042,0.610209279175344,0.3511088375593588,0.4278258127834807,0.09418196632113662,0.10554631959071831
403,geometric_sinkhorn,4,40340004,40350004,0.011871822866498988,0.010565096524197123,0.6241221214992743,0.3366299046335717,0.41581345975792533,0.11670694548001545,0.09821668121649446
403,geometric_sinkhorn,5,40340005,40350005,0.006813410820371207,0.01032811177995013,0.6051942497364371,0.36384455516502856,0.3891240801877057,0.0914140899933911,0.10058648318016057
403,geometric_sinkhorn,6,40340006,40350006,0.010211729110562756,0.014691195148260042,0.5961724057959721,0.3803166620569739,0.38085707193400253,0.0877747766490304,0.09851057844556071
403,geometric_sinkhorn,7,40340007,40350007,0.01505014841186475,0.018609147487177437,0.5953314944569578,0.37521351871140085,0.36124642981910793,0.09596816956656785,0.08458177970947817
403,geometric_sinkhorn,8,40340008,40350008,0.011449031058407111,0.014808989120181804,0.6061770616503719,0.40136756722465555,0.3498024031427166,0.09750096720858908,0.0964055948011053
