allowance_percent,method,A_full_h,A_tan_h,A_hid_h,hidden_fraction_A_hid_over_A_full,aggregate_full_moment_residual_norm,aggregate_tangent_moment_residual_norm,aggregate_hidden_nullspace_residual_norm,aggregate_orthogonality_residual,aggregate_pythagorean_residual,aggregate_hierarchy_raw_violation,maximum_full_moment_residual,maximum_tangent_moment_residual,maximum_hidden_nullspace_residual,maximum_absolute_orthogonality_residual,maximum_absolute_pythagorean_residual,maximum_raw_hierarchy_violation,maximum_full_action_reproduction_error,maximum_full_moment_residual_after_stabilization,aggregate_violation_count,trial_violation_count,time_trial_violation_count,trial_count,invalid_trial_count,time_trial_count,minimum_gram_rank,first_failing_condition,tolerance,passes,geometry,result_path,evaluation_key,phase
0.5,full,7.367562517489542,0.4397803283876427,6.927782189101909,0.9403085718860671,6.487447962871699e-14,2.6107107787633382e-17,6.48605577825208e-14,-4.4770058670144886e-15,-9.122498763336477e-15,-6.927782189101899,3.5184224771423596e-11,1.640284007536548e-14,3.5184557952558597e-11,9.53968067735067e-12,1.9042545318370685e-11,-0.14634681472855554,3.487075832708797e-05,3.5184224771423596e-11,0,0,0,64,0,1344,4,,1e-06,True,"[1.072627025330538,0.39629276988018886,0.4862417499456417,0.76,1.76,0.24,0.27193975368651135,0.6185063530148714]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_0p5pct/result.json,"[1.072627025330538,0.39629276988018886,0.4862417499456417,0.76,1.76,0.24,0.27193975368651135,0.6185063530148714]",validation
1.0,law,21.037210410059195,0.44509417532429996,20.59211623473484,0.9788425287075357,4.922379601513157e-14,3.9747454016818995e-17,4.919959375043466e-14,3.2664395999241646e-14,6.274848262516345e-14,-20.592116234734895,8.004650805018865e-11,1.3628775914405143e-14,8.004623007663068e-11,3.262390704805718e-11,6.184563972055912e-11,-0.13321475726021575,0.00112319767504232,8.004650805018865e-11,0,0,0,64,0,1344,4,,1e-06,True,"[1.077489121283271,0.3889629313939575,0.47979845508739744,0.76,1.76,0.24,0.2573360930133317,0.6029558273745432]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_1pct/result.json,"[1.077489121283271,0.3889629313939575,0.47979845508739744,0.76,1.76,0.24,0.2573360930133317,0.6029558273745432]",validation
1.0,tangent,7.952424959713949,0.4305323052271509,7.521892654486786,0.9458615067217624,1.1565779176637033e-14,1.1802689017709946e-16,1.1555343011852382e-14,6.170309897738689e-15,1.2594753798916841e-14,-7.521892654486798,1.968036341887145e-11,9.448736060027885e-15,1.9680142968805648e-11,3.860880365413877e-12,7.702283255639486e-12,-0.08561290730333963,1.648814868815407e-05,1.968036341887145e-11,0,0,0,64,0,1344,4,,1e-06,True,"[1.0544485259659548,0.39014881126645495,0.4518302121299058,0.7486302446169791,1.76,0.24,0.26200407904762774,0.5778474299245894]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_1pct/result.json,"[1.0544485259659548,0.39014881126645495,0.4518302121299058,0.7486302446169791,1.76,0.24,0.26200407904762774,0.5778474299245894]",validation
1.0,full,8.58973270845723,0.438667763352648,8.15106494510457,0.9489311509168663,3.6990188010931e-14,4.430471884989479e-17,3.7008300164445744e-14,6.491204158168723e-15,1.2534613104409074e-14,-8.151064945104583,6.443899518557199e-11,1.6160660905366345e-14,6.443955168639896e-11,2.651186215008039e-11,5.206857167650014e-11,-0.11826691480555515,8.593691563874017e-05,6.443899518557199e-11,0,0,0,64,0,1344,4,,1e-06,True,"[1.0548735620183505,0.40254903114931073,0.47001144928369853,0.76,1.76,0.24,0.24,0.6108855638010898]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_1pct/result.json,"[1.0548735620183505,0.40254903114931073,0.47001144928369853,0.76,1.76,0.24,0.24,0.6108855638010898]",validation
2.0,law,21.037210410059195,0.44509417532429996,20.59211623473484,0.9788425287075357,4.922379601513157e-14,3.9747454016818995e-17,4.919959375043466e-14,3.2664395999241646e-14,6.274848262516345e-14,-20.592116234734895,8.004650805018865e-11,1.3628775914405143e-14,8.004623007663068e-11,3.262390704805718e-11,6.184563972055912e-11,-0.13321475726021575,0.00112319767504232,8.004650805018865e-11,0,0,0,64,0,1344,4,,1e-06,True,"[1.077489121283271,0.3889629313939575,0.47979845508739744,0.76,1.76,0.24,0.2573360930133317,0.6029558273745432]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_2pct/result.json,"[1.077489121283271,0.3889629313939575,0.47979845508739744,0.76,1.76,0.24,0.2573360930133317,0.6029558273745432]",validation
2.0,tangent,8.587801004511721,0.41802526173530374,8.169775742776396,0.9513233642098007,3.4784602084040264e-14,7.172791596006226e-17,3.481763064766539e-14,9.994686842118781e-15,2.020476884759259e-14,-8.169775742776416,1.985446273442669e-11,1.7401617059110868e-14,1.9853901480979623e-11,3.6882753795541845e-12,7.37188088351104e-12,-0.09991812473646748,1.5769250012453995e-05,1.985446273442669e-11,0,0,0,64,0,1344,4,,1e-06,True,"[1.0583572359886948,0.379515462139108,0.47542873067551833,0.76,1.75785680165307,0.24,0.2891384498245748,0.5718839385784013]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_2pct/result.json,"[1.0583572359886948,0.379515462139108,0.47542873067551833,0.76,1.75785680165307,0.24,0.2891384498245748,0.5718839385784013]",validation
2.0,full,6.2734954055508805,0.41723254305857593,5.85626286249229,0.933492811250102,1.810747344173456e-14,1.619287679879246e-17,1.810671876470343e-14,7.253690405913707e-15,1.4266149025998777e-14,-5.856262862492304,3.0607329972941004e-11,2.54973648054979e-14,3.0607218901910514e-11,8.294372133565986e-12,1.63140612130519e-11,-0.12415627422543808,0.00026042841176376896,3.0607329972941004e-11,0,0,0,64,0,1344,4,,1e-06,True,"[1.083266484208336,0.4335724691450472,0.5072910999384581,0.7496981260966648,1.76,0.24,0.28086653584287785,0.639628829394016]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_2pct/result.json,"[1.083266484208336,0.4335724691450472,0.5072910999384581,0.7496981260966648,1.76,0.24,0.28086653584287785,0.639628829394016]",validation
3.0,law,21.037210410059195,0.44509417532429996,20.59211623473484,0.9788425287075357,4.922379601513157e-14,3.9747454016818995e-17,4.919959375043466e-14,3.2664395999241646e-14,6.274848262516345e-14,-20.592116234734895,8.004650805018865e-11,1.3628775914405143e-14,8.004623007663068e-11,3.262390704805718e-11,6.184563972055912e-11,-0.13321475726021575,0.00112319767504232,8.004650805018865e-11,0,0,0,64,0,1344,4,,1e-06,True,"[1.077489121283271,0.3889629313939575,0.47979845508739744,0.76,1.76,0.24,0.2573360930133317,0.6029558273745432]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_3pct/result.json,"[1.077489121283271,0.3889629313939575,0.47979845508739744,0.76,1.76,0.24,0.2573360930133317,0.6029558273745432]",validation
3.0,tangent,8.587801004511721,0.41802526173530374,8.169775742776396,0.9513233642098007,3.4784602084040264e-14,7.172791596006226e-17,3.481763064766539e-14,9.994686842118781e-15,2.020476884759259e-14,-8.169775742776416,1.985446273442669e-11,1.7401617059110868e-14,1.9853901480979623e-11,3.6882753795541845e-12,7.37188088351104e-12,-0.09991812473646748,1.5769250012453995e-05,1.985446273442669e-11,0,0,0,64,0,1344,4,,1e-06,True,"[1.0583572359886948,0.379515462139108,0.47542873067551833,0.76,1.75785680165307,0.24,0.2891384498245748,0.5718839385784013]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_3pct/result.json,"[1.0583572359886948,0.379515462139108,0.47542873067551833,0.76,1.75785680165307,0.24,0.2891384498245748,0.5718839385784013]",validation
3.0,full,6.2734954055508805,0.41723254305857593,5.85626286249229,0.933492811250102,1.810747344173456e-14,1.619287679879246e-17,1.810671876470343e-14,7.253690405913707e-15,1.4266149025998777e-14,-5.856262862492304,3.0607329972941004e-11,2.54973648054979e-14,3.0607218901910514e-11,8.294372133565986e-12,1.63140612130519e-11,-0.12415627422543808,0.00026042841176376896,3.0607329972941004e-11,0,0,0,64,0,1344,4,,1e-06,True,"[1.083266484208336,0.4335724691450472,0.5072910999384581,0.7496981260966648,1.76,0.24,0.28086653584287785,0.639628829394016]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_3pct/result.json,"[1.083266484208336,0.4335724691450472,0.5072910999384581,0.7496981260966648,1.76,0.24,0.28086653584287785,0.639628829394016]",validation
