candidate_rank,pair_id,observation_dimension,t,target_hull_feasible,target_hull_lp_residual,calibration_converged,maximum_standardized_residual,ess_fraction,maximum_weight
13,v6_F0300_k06050__v6_F0280_k05825,2,0.30000000000000004,False,,False,,,
13,v6_F0300_k06050__v6_F0280_k05825,2,0.4,False,,False,,,
13,v6_F0300_k06050__v6_F0280_k05825,2,0.5,False,,False,,,
13,v6_F0300_k06050__v6_F0280_k05825,2,0.6,True,1.1102230246251565e-16,True,4.404043796313317e-11,0.0053547074175501015,0.12303075617355821
13,v6_F0300_k06050__v6_F0280_k05825,2,0.7000000000000001,True,1.1102230246251565e-16,True,2.3314683517128287e-15,0.01032785937524733,0.0818092215687038
13,v6_F0300_k06050__v6_F0280_k05825,2,0.8,True,1.1102230246251565e-16,True,3.3029134982598407e-13,0.034708042140424014,0.04031490643895477
13,v6_F0300_k06050__v6_F0280_k05825,2,0.9,True,0.0,True,1.3433698597964394e-13,0.3753926046248863,0.005179568780121344
14,v6_F0300_k06025__v6_F0280_k05825,3,0.1,True,5.551115123125783e-17,False,2.372423368868226e-10,0.01097293057373389,0.07333845023373091
14,v6_F0300_k06025__v6_F0280_k05825,3,0.2,True,1.1102230246251565e-16,True,7.02344848946268e-11,0.004087889830036596,0.15311218262844686
14,v6_F0300_k06025__v6_F0280_k05825,3,0.30000000000000004,True,1.1102230246251565e-16,True,1.0114131754335176e-13,0.0048156516324024965,0.1261256686620754
14,v6_F0300_k06025__v6_F0280_k05825,3,0.4,True,5.551115123125783e-17,True,4.440892098500626e-16,0.006967136644027538,0.09672595185309463
14,v6_F0300_k06025__v6_F0280_k05825,3,0.5,True,1.1102230246251565e-16,True,2.1094237467877974e-15,0.011053389287213073,0.06562273709202678
14,v6_F0300_k06025__v6_F0280_k05825,3,0.6,True,2.220446049250313e-16,True,3.184119634624949e-13,0.00810576308001191,0.10040404829224063
14,v6_F0300_k06025__v6_F0280_k05825,3,0.7000000000000001,True,1.1102230246251565e-16,True,5.10702591327572e-15,0.008427695799254781,0.13282325661353
14,v6_F0300_k06025__v6_F0280_k05825,3,0.8,True,1.1102230246251565e-16,True,2.6078139647722764e-11,0.050470253188631256,0.036784539603406774
14,v6_F0300_k06025__v6_F0280_k05825,3,0.9,True,0.0,False,1.546326289236788e-09,0.45502159404516523,0.004009416510993025
