objective,model_seed,strength,normalized_strength,tangent_local_mmd,tangent_rollout_mmd,mfsi_rollout_mmd,velocity_gap,angular_error,min_ess,mean_ess,mean_projection_distortion,mean_lambda_norm,max_moment_error
fiber_high,20260819,0.42732700520437683,0.829719693008878,0.08018063600375461,0.09373412297984013,0.07977836543775967,0.3221345406572114,0.08556980187348766,0.28686253881566337,0.6490206832886415,0.2156216511406225,0.5391085034852287,0.0020201485263332594
fiber_low,20260810,0.07336298754500503,0.14007327067602,0.05694220432591539,0.08142263011161334,0.06939817526377448,0.26824443708678936,0.03732585903137244,0.7545404125547976,0.9018045323101205,0.04766679237887785,0.31488666625968975,0.0012784839733525624
fiber_low,20260811,0.07246301738682752,0.1401632369011076,0.057089609590931636,0.08416689408256987,0.05965105270937234,0.14408168924913634,0.03856050356053695,0.7559908789599111,0.9015601720642726,0.05068255399554498,0.3365038836204877,0.0010530883026482608
fiber_low,20260812,0.0729135311173981,0.14142378887185098,0.057310077961493865,0.09790711756392143,0.10011954988119225,0.3251358776067227,0.03874713417723008,0.7796056465557545,0.910688875841432,0.04188274921064341,0.27101968103550295,0.00148575904683412
fiber_low,20260813,0.07370897415114143,0.14282202613937064,0.056429605724895006,0.10489140914286965,0.10548334702480382,0.32957763659241346,0.03727400739277687,0.7821962941649927,0.9112741576780156,0.04860145901442684,0.3305698818301267,0.0017173303542893565
fiber_low,20260814,0.0733056823325141,0.14086640983412219,0.058405239371983796,0.0835106417074484,0.0637345938017648,0.20448811251354448,0.047272429304125965,0.7574096556236452,0.9004130237164091,0.049527628480465026,0.3243865820279844,0.0013567855431586185
fiber_low,20260815,0.07566766190866904,0.1482423123848638,0.057863556054911,0.10254088651483587,0.07981254536665341,0.4108184089098469,0.049729311560783036,0.765382020878056,0.9038449921003678,0.04511470912213485,0.28745849735329004,0.0017398322414528128
fiber_low,20260816,0.07271424936599213,0.1421808562357227,0.05638617929783811,0.10703113659046941,0.06408551949005585,0.25413254590920087,0.08316357375486509,0.7812754096767167,0.9095484489609367,0.043443623979709654,0.2788912608289783,0.002102894636728363
fiber_low,20260818,0.07571568124841319,0.14685804357191,0.059323569015972355,0.09350802436429122,0.06373349219572437,0.19334920719999263,0.039896322333472914,0.7606366336593522,0.9017577926556954,0.04864799270287034,0.3139357260359894,0.0012372414619876747
fiber_medium,20260810,0.24963707217918665,0.48073848366283134,0.0667957897748406,0.10141491893801968,0.07854274007262825,0.7302533389934582,0.0510370472005144,0.4462433844877302,0.7479943570208925,0.133781452179044,0.4483206230574675,0.000788261819271437
fiber_medium,20260811,0.25050142719887714,0.4845760060388889,0.06758685049814991,0.10476323022015152,0.06962901537081204,0.28777549970411626,0.04481060353859632,0.4465088113939374,0.7467173303550837,0.13897879527158824,0.4649443711064153,0.0010188763027874307
