model,t,learned_mean,direct_mean,learned_m2,direct_m2,maximum_standardized_phi_error,phi_threshold,raw_field_mmd2,raw_mmd_threshold,downsampled_field_mmd2,downsampled_mmd_threshold,phi_gate_pass,raw_mmd_gate_pass,downsampled_mmd_gate_pass,learned_smooth_tv,direct_smooth_tv,learned_anisotropy,direct_anisotropy,learned_soft_area,direct_soft_area,learned_soft_perimeter,direct_soft_perimeter,learned_radial_power_low,direct_radial_power_low,learned_radial_power_middle,direct_radial_power_middle,learned_radial_power_high,direct_radial_power_high,projected_phi_residual_max,projected_ess_fraction,learned_field_minimum,learned_field_maximum
v8_control_C,1.0,0.13338798,0.1287295,0.02819608,0.027704086,0.37149832220672585,1.768383378805901,0.01078176498413086,0.028728270530700678,0.0067473649978637695,0.024050498008728022,True,True,True,0.042789128,0.040239107,3.6731508,1052.8717,0.39390266,0.39524022,0.17092197,0.16109139,0.6357460021972656,0.62520432472229,0.001701556146144867,0.00151246867608279,1.4909614947100636e-05,1.3154920452507213e-05,7.771561172376096e-16,0.9999760451648751,-0.020877784118056297,0.9236008524894714
v9_global_spectral,0.0,0.12892622,0.12837516,0.027804283,0.027576933,0.06913851986660768,0.15636255023162426,0.005000710487365723,0.03301115036010742,0.0024976730346679688,0.016378784179687498,True,True,True,0.04892047,0.048567045,0.19800308,0.2056301,0.3592741,0.35837248,0.1831431,0.18226488,0.6230013370513916,0.6176924705505371,0.0027581958565860987,0.002802738919854164,3.4068340028170496e-05,3.346627636346966e-05,4.440892098500626e-16,0.9975790573905602,0.001086775679141283,0.4245336651802063
v9_global_spectral,0.046875,0.12857555,0.12833266,0.02707436,0.026985127,0.0271358692812409,0.22490745433772552,0.007081389427185059,0.03151533603668213,0.00285184383392334,0.01714224815368652,True,True,True,0.047611147,0.048469774,0.2021897,0.18825647,0.35763794,0.35742393,0.18235508,0.18499191,0.6065977215766907,0.602924108505249,0.002640003804117441,0.0026200299616903067,4.3941890908172354e-05,0.00013647100422531366,6.417089082333405e-14,0.5154936373523501,-0.006531247403472662,0.42840376496315
v9_global_spectral,0.1015625,0.1282583,0.12896761,0.0263485,0.026884886,0.16311769458771241,0.20142681891223851,0.004733085632324219,0.02734978199005127,0.003118753433227539,0.017247867584228516,True,True,True,0.046553854,0.050645687,0.20508966,0.17577037,0.35611686,0.36155835,0.18234739,0.1980893,0.589062511920929,0.593340277671814,0.0026929916348308325,0.0027408418245613575,8.963869913714007e-05,0.0005104267620481551,1.911248936892207e-12,0.24454449472467094,-0.02869747392833233,0.4481542706489563
v9_global_spectral,0.1484375,0.1280597,0.1283739,0.025860373,0.02672901,0.26415697607459565,0.34741647416660937,0.00686335563659668,0.03435525894165038,0.001618504524230957,0.019447898864746092,True,True,True,0.046131227,0.053630244,0.20610778,0.15759882,0.35538903,0.3638982,0.18346804,0.22130679,0.5761448740959167,0.5795088410377502,0.0028716912493109703,0.0030250742565840483,0.0001558250078232959,0.0010166969150304794,3.042011087472929e-14,0.3546343959878966,-0.08449158817529678,0.4796341061592102
v9_global_spectral,0.203125,0.12786502,0.12869982,0.025406105,0.026981156,0.4789810029714032,0.25847208921699233,0.006450533866882324,0.02898612022399902,0.00285184383392334,0.01624188423156738,False,True,True,0.04603676,0.057820767,0.20695892,0.13223426,0.35475147,0.37259123,0.1868092,0.26553664,0.56288081407547,0.5695327520370483,0.00319104827940464,0.003607256570830941,0.0002574451209511608,0.001763977576047182,1.3528023146136547e-10,0.6242195028082835,-0.14967256784439087,0.525023341178894
v9_global_spectral,0.25,0.12773462,0.12862016,0.025118731,0.02728543,0.658904402600345,0.43463516050076734,0.008492708206176758,0.03417747020721435,0.003605961799621582,0.016512537002563474,False,True,True,0.04624003,0.061658725,0.20781817,0.1270185,0.35475823,0.37968785,0.19139579,0.30664617,0.5533430576324463,0.5617855787277222,0.003542613238096237,0.004088824614882469,0.0003571934357751161,0.0024726444389671087,2.1312458464706197e-09,0.8877179247251857,-0.202693372964859,0.5645297765731812
v9_global_spectral,0.296875,0.12769128,0.12773749,0.024916701,0.027353914,0.7411690339948238,0.524267859362602,0.00895082950592041,0.025380659103393554,0.002626657485961914,0.014310574531555176,False,True,True,0.046570208,0.06520618,0.20906042,0.1036212,0.35520282,0.38204354,0.19698125,0.34831852,0.5456021428108215,0.5481879115104675,0.003928703255951405,0.004711623303592205,0.0004586461291182786,0.003182479413226247,3.002953441466616e-11,0.993636375842855,-0.24944691359996796,0.5998175740242004
v9_global_spectral,0.3515625,0.12767196,0.12747894,0.024757028,0.027734388,0.9054303707166912,0.33854088048823744,0.008656740188598633,0.028758859634399413,0.003004312515258789,0.015244579315185545,False,True,True,0.047008224,0.06879233,0.21200585,0.09799104,0.35615757,0.38782772,0.20391887,0.38558254,0.5386147499084473,0.5410014390945435,0.004338639788329601,0.005330775398761034,0.0005672874976880848,0.003930205013602972,2.220446049250313e-16,0.9281996200150384,-0.28785836696624756,0.6292043328285217
v9_global_spectral,0.3984375,0.12765673,0.12749709,0.024655877,0.028189955,1.0747313231233413,0.3062081759821191,0.012623786926269531,0.030178618431091306,0.004083514213562012,0.013944149017333984,False,True,True,0.047294687,0.07133492,0.21545717,0.09618774,0.35696846,0.3918557,0.20915966,0.40518463,0.5338684916496277,0.5408375859260559,0.004655816126614809,0.00571280624717474,0.0006431787041947246,0.004432416055351496,6.661338147750939e-16,0.6762316812879543,-0.3145137429237366,0.6461052894592285
